sample,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52
0,66,58,104,94,92,113,103,104,89,75,62,75,68,63,56,50,63,29,37,32,34,30,20,21,25,13,11,7,4,4,5,7,3,2,3,1,1,1,3,1,3,0,0,0,0,1,0,0,0,0,0,0,0
1,36,76,88,93,128,108,82,90,109,92,65,59,69,58,58,68,42,39,41,34,30,37,22,18,21,11,10,11,5,5,4,6,2,4,1,2,2,1,3,0,1,1,1,0,0,0,0,0,0,0,0,0,0
2,28,56,86,111,136,124,119,85,88,73,71,73,61,71,53,48,53,41,37,26,28,24,27,18,12,18,11,9,9,9,2,3,1,5,3,8,0,0,1,2,1,0,0,0,2,0,0,0,0,0,0,0,0
3,36,66,94,123,114,114,97,90,79,88,82,61,67,53,63,49,53,48,37,33,34,19,25,22,13,14,3,14,4,7,4,9,5,0,1,1,4,0,2,1,1,2,0,1,0,0,0,0,0,0,0,0,0
4,32,81,88,104,116,110,82,98,82,87,91,61,77,58,54,51,48,47,30,30,37,24,21,20,18,17,14,10,7,9,6,4,3,2,4,0,3,0,1,2,1,1,1,0,0,0,1,0,0,0,0,0,0
5,26,68,92,112,111,114,114,100,76,76,75,63,61,57,59,54,51,46,40,41,29,33,25,17,13,13,17,10,6,8,5,4,2,1,2,1,3,2,4,1,0,0,0,1,0,0,0,0,0,0,0,0,0
6,38,71,94,112,120,112,95,86,84,82,75,58,83,60,49,53,45,48,42,22,35,32,19,29,19,9,9,8,7,6,7,6,3,3,2,2,1,1,2,1,1,0,0,1,0,1,0,0,0,0,0,0,0
7,30,71,107,116,114,92,90,95,89,90,86,71,69,77,40,44,40,36,37,31,31,25,30,26,16,17,10,11,6,6,4,4,4,5,3,3,1,1,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0
8,35,74,98,117,104,114,104,94,69,81,77,63,82,63,53,55,43,47,38,37,29,27,17,13,11,15,17,11,7,7,2,4,6,4,6,2,3,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0
9,43,63,118,113,95,99,105,96,76,89,75,71,76,49,45,40,54,40,34,40,35,28,25,23,19,12,6,16,9,7,5,4,5,4,6,1,0,1,0,3,1,0,0,1,1,0,0,0,0,0,0,0,0
10,35,80,95,95,105,122,90,89,91,85,95,64,72,62,42,45,49,36,45,47,36,30,19,20,13,11,9,9,5,9,4,2,5,2,3,2,4,2,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0
11,32,67,100,112,100,101,113,114,96,74,73,69,72,75,50,42,37,33,36,35,31,26,26,21,13,10,11,10,10,11,6,4,7,6,0,2,0,1,3,2,1,0,0,0,1,0,0,0,0,0,0,0,0
12,41,63,101,115,114,111,103,91,80,80,77,67,74,54,49,54,57,44,37,39,28,30,21,14,11,15,11,8,7,6,6,3,4,3,1,2,2,1,3,1,1,1,2,0,0,0,1,0,0,0,0,0,0
13,38,60,95,113,125,102,107,93,84,90,71,72,61,62,62,51,45,30,33,34,27,38,22,28,17,9,11,8,12,7,4,8,1,1,2,0,2,3,0,2,0,0,2,0,0,0,0,0,0,1,0,0,0
14,35,73,97,107,118,110,107,95,100,82,80,67,57,55,52,47,47,35,32,39,23,35,31,14,19,15,7,14,5,6,8,3,4,5,1,0,3,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0
15,46,77,114,113,108,110,97,89,69,85,75,63,61,47,58,55,53,43,34,34,32,25,30,21,20,12,11,7,3,13,5,0,3,1,4,3,2,1,1,2,1,3,1,0,0,1,0,0,0,0,0,0,0
16,41,74,97,92,108,115,106,76,86,91,79,60,59,56,63,52,48,51,38,37,28,22,24,23,18,16,15,11,4,7,8,3,5,5,0,5,2,1,1,1,3,0,1,0,0,1,0,0,0,0,0,0,0
17,35,76,100,116,115,103,95,91,93,79,69,65,71,75,50,43,43,44,42,36,30,20,25,19,21,13,12,10,9,3,6,1,4,5,4,0,3,0,1,1,2,0,3,0,0,0,0,0,0,0,0,0,0
18,37,78,82,114,116,106,101,95,87,81,68,64,67,72,63,53,52,47,30,24,34,23,19,24,14,11,7,10,10,9,14,2,3,4,3,2,2,1,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0
19,26,69,100,114,107,120,103,90,95,67,89,73,52,67,51,53,49,46,31,30,32,28,20,28,20,12,7,8,7,9,8,6,2,2,1,5,1,1,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0
20,42,67,88,117,118,110,106,87,102,70,83,55,53,55,61,49,53,44,33,42,30,29,24,15,15,14,14,7,10,12,7,6,4,2,1,0,4,1,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0
21,39,66,99,115,98,100,110,99,105,93,80,52,73,61,47,52,40,47,43,26,37,28,27,10,12,9,8,12,6,9,7,4,2,6,4,0,2,2,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0
22,40,70,88,118,123,98,79,106,88,76,80,80,57,54,53,48,56,40,42,33,28,34,18,24,13,12,14,7,12,8,3,4,2,9,3,1,2,3,2,3,1,0,1,0,0,0,0,0,0,0,0,0,0
23,38,62,102,113,105,114,114,88,83,85,72,63,68,60,68,42,45,45,35,35,28,32,25,19,10,13,9,18,9,4,6,3,4,3,0,4,1,3,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0
24,35,82,89,116,111,99,100,105,88,83,77,54,71,65,68,61,42,38,48,30,18,27,31,17,10,11,10,6,5,6,6,4,1,7,5,1,1,0,0,1,2,0,1,1,0,0,0,0,0,0,0,0,0
25,33,69,97,111,111,106,97,110,90,81,83,100,62,53,40,47,38,38,50,19,35,20,26,24,20,17,8,7,6,4,9,2,2,4,1,4,3,2,2,0,0,0,0,1,0,0,0,1,0,0,0,0,0
26,33,90,85,113,116,97,99,107,93,85,57,57,64,71,61,56,51,28,35,34,32,25,28,21,15,9,14,10,11,9,4,3,3,3,1,4,0,2,3,1,1,0,1,0,0,1,0,0,0,0,0,0,0
27,27,72,105,105,102,109,89,120,92,77,66,71,63,75,61,51,33,38,45,26,35,28,32,14,16,16,16,12,6,4,9,4,3,2,0,0,3,2,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0
28,30,77,102,101,99,126,108,95,78,96,72,65,50,53,65,55,52,36,35,32,40,24,33,17,14,12,9,8,8,6,5,7,4,2,1,4,2,2,2,3,1,1,1,0,0,0,0,0,0,0,0,0,0
29,32,61,114,125,97,114,99,76,86,69,76,63,82,59,57,55,51,42,37,33,33,24,25,22,22,20,6,15,8,5,5,5,5,1,0,4,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,1,0
30,38,78,89,117,121,96,94,115,84,71,67,62,65,62,62,64,34,44,34,49,31,27,19,14,17,20,8,6,4,11,4,4,1,4,5,3,3,1,2,1,1,0,0,0,0,0,1,0,0,0,0,0,0
31,35,66,100,115,109,100,116,94,79,97,73,63,75,50,55,60,49,36,31,32,30,35,17,21,17,12,8,13,8,7,3,5,6,4,2,2,3,0,1,2,1,0,0,0,0,0,0,0,0,1,0,0,0
32,39,67,98,116,110,102,86,83,98,68,90,77,70,62,54,50,49,44,43,41,33,22,23,20,16,11,13,5,11,7,2,3,1,5,3,1,2,2,2,0,0,0,1,1,0,2,0,0,0,0,0,0,0
33,37,71,99,113,109,111,98,97,78,72,80,75,74,61,57,40,43,44,36,26,39,24,24,22,20,18,14,11,6,3,7,6,0,5,1,4,0,4,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0
34,26,56,105,116,128,94,115,97,72,92,78,71,70,71,52,48,42,35,33,38,30,21,22,17,15,25,11,9,3,7,5,4,1,3,5,5,4,2,1,2,1,0,0,0,0,1,0,0,0,0,0,0,0
35,43,78,88,97,108,99,104,93,112,86,75,70,76,55,48,53,40,46,43,29,36,22,19,22,17,6,13,7,15,7,5,5,5,3,1,0,2,0,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0
36,37,74,96,100,112,120,115,91,78,88,84,76,71,48,57,39,41,42,38,27,29,26,31,25,18,13,14,3,4,6,5,2,4,3,2,2,2,1,4,1,1,1,0,1,0,0,1,0,0,0,0,0,0
37,34,81,73,124,108,116,88,103,80,72,67,78,66,80,53,43,48,44,46,34,34,26,24,13,27,12,10,10,7,3,5,4,5,0,7,3,2,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
