k1,k2,sk,lb,ub,pval
0,0,0.01919,0.010594,0.014885,1.0
1,0,0.798407,0.693627,0.742647,1.0
2,0,0.769608,0.729167,0.775735,0.90975
2,1,0.733456,0.69424,0.742647,0.86625
3,0,0.721201,0.68076,0.729167,0.90525
3,1,0.634804,0.597426,0.650123,0.786
3,2,0.746936,0.711397,0.758578,0.867
4,0,0.664828,0.640931,0.690564,0.515
4,1,0.556373,0.527574,0.58027,0.52425
4,2,0.699142,0.675245,0.723039,0.5075
4,3,0.844363,0.81924,0.860294,0.69725
5,0,0.735294,0.703431,0.751225,0.6995
5,1,0.688113,0.672181,0.723039,0.245
5,2,0.807598,0.719363,0.76777,1.0
5,3,0.727328,0.693015,0.740196,0.7955
5,4,0.69424,0.666054,0.715686,0.6185
6,0,0.743873,0.704657,0.753064,0.87375
6,1,0.657475,0.625613,0.677696,0.65075
6,2,0.78799,0.737132,0.783701,0.99425
6,3,0.809436,0.782475,0.824755,0.68
6,4,0.825368,0.801471,0.84375,0.56325
6,5,0.793631,0.714023,0.763013,1.0
7,0,0.671569,0.64277,0.691176,0.6455
7,1,0.553309,0.527574,0.579657,0.4495
7,2,0.708333,0.677083,0.724877,0.68475
7,3,0.849877,0.826593,0.86826,0.611
7,4,0.947917,0.930147,0.956495,0.712
7,5,0.703001,0.66932,0.719535,0.76
7,6,0.845683,0.809553,0.851194,0.91425
8,0,0.566789,0.528186,0.585784,0.72825
8,1,0.588235,0.577206,0.633578,0.11275
8,2,0.570466,0.517157,0.57598,0.9535
8,3,0.453431,0.418505,0.479167,0.60175
8,4,0.384804,0.347426,0.409926,0.645
8,5,0.582364,0.507042,0.565217,0.99875
8,6,0.503368,0.438457,0.500306,0.9865
8,7,0.379669,0.344152,0.406001,0.58475
9,0,0.643995,0.627451,0.68076,0.1795
9,1,0.577206,0.568015,0.623162,0.084
9,2,0.688113,0.651348,0.702819,0.792
9,3,0.734069,0.704044,0.754902,0.59325
9,4,0.772059,0.739583,0.790441,0.6865
9,5,0.693815,0.639314,0.691978,0.984
9,6,0.753215,0.706062,0.756889,0.95325
9,7,0.776485,0.742192,0.795468,0.667
9,8,0.57869,0.433558,0.491733,1.0
10,0,0.702206,0.655637,0.706495,0.93625
10,1,0.63174,0.61152,0.664828,0.32425
10,2,0.714461,0.674632,0.724265,0.8605
10,3,0.708946,0.688725,0.740809,0.2655
10,4,0.721201,0.694853,0.749387,0.4745
10,5,0.714023,0.658298,0.709124,0.99125
10,6,0.777097,0.699326,0.750153,1.0
10,7,0.730557,0.698102,0.752603,0.596
10,8,0.622168,0.469075,0.527863,1.0
10,9,0.740968,0.643601,0.694427,1.0
11,0,0.669118,0.653186,0.703431,0.22925
11,1,0.570466,0.547181,0.599877,0.47025
11,2,0.709559,0.6875,0.73652,0.388
11,3,0.841299,0.821078,0.86152,0.49225
11,4,0.93076,0.908701,0.939951,0.76375
11,5,0.698102,0.678506,0.728108,0.36
11,6,0.822413,0.808941,0.849969,0.209
11,7,0.935089,0.920392,0.947949,0.51375
11,8,0.389467,0.360073,0.421923,0.4465
11,9,0.765462,0.740355,0.791182,0.51725
11,10,0.726883,0.700551,0.753827,0.46225
12,0,0.661765,0.643382,0.693627,0.28225
12,1,0.556985,0.53125,0.583946,0.43225
12,2,0.70098,0.678309,0.726716,0.39625
12,3,0.837623,0.821691,0.862745,0.2965
12,4,0.938113,0.922181,0.95098,0.578
12,5,0.690753,0.669933,0.719535,0.3735
12,6,0.832211,0.808328,0.848745,0.6115
12,7,0.947336,0.932639,0.958359,0.56825
12,8,0.380894,0.350276,0.412737,0.5005
12,9,0.77526,0.742192,0.793631,0.716
12,10,0.725658,0.697489,0.751378,0.493
12,11,0.95346,0.911819,0.941825,1.0
13,0,0.651348,0.635417,0.684436,0.25925
13,1,0.539216,0.519608,0.571691,0.2925
13,2,0.690564,0.672181,0.720588,0.35475
13,3,0.840686,0.823529,0.865196,0.32175
13,4,0.95098,0.935049,0.961397,0.571
13,5,0.686467,0.661972,0.712186,0.4625
13,6,0.829149,0.807103,0.848745,0.54925
13,7,0.960196,0.946111,0.968769,0.59175
13,8,0.369259,0.337416,0.399265,0.512
13,9,0.778322,0.743417,0.796081,0.70175
13,10,0.726271,0.694427,0.750153,0.55475
13,11,0.951623,0.923454,0.951623,0.97825
13,12,0.978567,0.937538,0.963258,1.0
14,0,0.699568,0.67219,0.724784,0.50575
14,1,0.632565,0.611671,0.668588,0.31525
14,2,0.753602,0.695965,0.747839,0.99325
14,3,0.752161,0.733429,0.782421,0.33675
14,4,0.775937,0.747839,0.799712,0.57375
14,5,0.793948,0.677954,0.731988,1.0
14,6,0.801153,0.739914,0.789625,0.99725
14,7,0.7817,0.751441,0.804035,0.57225
14,8,0.494236,0.450288,0.513689,0.80275
14,9,0.714697,0.670029,0.724063,0.8965
14,10,0.717579,0.667147,0.721182,0.95625
14,11,0.770173,0.755043,0.806196,0.26
14,12,0.76513,0.751441,0.803314,0.1845
14,13,0.773055,0.74928,0.801153,0.3955
15,0,0.659942,0.626801,0.679395,0.672
15,1,0.545389,0.516571,0.569885,0.62725
15,2,0.695245,0.661383,0.712536,0.68025
15,3,0.849424,0.819164,0.863833,0.74375
15,4,0.946686,0.934438,0.963256,0.368
15,5,0.692363,0.65634,0.709654,0.766
15,6,0.835014,0.801873,0.845821,0.85525
15,7,0.9683,0.945245,0.970461,0.9485
15,8,0.358069,0.333573,0.398415,0.3145
15,9,0.775937,0.739914,0.793948,0.699
15,10,0.724063,0.691643,0.74928,0.5925
15,11,0.929395,0.922911,0.951729,0.19
15,12,0.947406,0.935879,0.962536,0.367
15,13,0.963977,0.95245,0.976225,0.4445
15,14,0.793228,0.75,0.801873,0.892
16,0,0.65562,0.631844,0.683718,0.48925
16,1,0.543948,0.516571,0.569885,0.52375
16,2,0.685159,0.666427,0.716859,0.3145
16,3,0.847983,0.818444,0.862392,0.68475
16,4,0.948127,0.932277,0.960375,0.5575
16,5,0.68804,0.657781,0.711095,0.61175
16,6,0.824928,0.803314,0.847262,0.52075
16,7,0.95245,0.943804,0.96902,0.28725
16,8,0.362392,0.336455,0.400576,0.37325
16,9,0.777378,0.739914,0.795389,0.73125
16,10,0.716859,0.691643,0.75,0.385
16,11,0.95245,0.920749,0.950288,0.99
16,12,0.956052,0.935159,0.961816,0.8755
16,13,0.971182,0.948847,0.973343,0.92325
16,14,0.777378,0.74928,0.802594,0.50875
16,15,0.963977,0.951009,0.974784,0.5575
17,0,0.648415,0.622478,0.674352,0.48375
17,1,0.535303,0.507205,0.560519,0.52225
17,2,0.683718,0.661383,0.711095,0.47925
17,3,0.846542,0.822046,0.865994,0.62425
17,4,0.95245,0.941643,0.96902,0.3445
17,5,0.680836,0.652738,0.705331,0.56575
17,6,0.826369,0.799712,0.84366,0.64425
17,7,0.963977,0.95245,0.976225,0.4965
17,8,0.350865,0.32781,0.39121,0.2935
17,9,0.777378,0.742075,0.79755,0.69225
17,10,0.716859,0.689481,0.747839,0.4305
17,11,0.943804,0.926513,0.955331,0.65125
17,12,0.964697,0.942363,0.9683,0.92775
17,13,0.982709,0.960375,0.981988,0.9855
17,14,0.777378,0.74928,0.802594,0.54
17,15,0.974063,0.959654,0.981988,0.6305
17,16,0.985591,0.958213,0.979827,0.999
18,0,0.659105,0.645616,0.695892,0.16925
18,1,0.566524,0.549356,0.602698,0.2115
18,2,0.697118,0.678112,0.726548,0.35075
18,3,0.805641,0.790926,0.833844,0.28825
18,4,0.889025,0.86634,0.904353,0.62825
18,5,0.688725,0.666667,0.717525,0.4125
18,6,0.790441,0.78125,0.824755,0.1265
18,7,0.887255,0.875,0.912377,0.24125
18,8,0.411765,0.377451,0.438113,0.5985
18,9,0.748162,0.716299,0.767157,0.64025
18,10,0.708333,0.684436,0.737745,0.39625
18,11,0.884804,0.860294,0.898897,0.69775
18,12,0.898284,0.870711,0.908088,0.868
18,13,0.907475,0.879289,0.916667,0.86925
18,14,0.746215,0.730353,0.781543,0.212
18,15,0.8969,0.875991,0.915645,0.55125
18,16,0.894016,0.874549,0.913482,0.484
18,17,0.901226,0.880317,0.91925,0.56275
19,0,0.659718,0.637646,0.686695,0.44625
19,1,0.545064,0.527284,0.578786,0.2755
19,2,0.690374,0.670141,0.719191,0.3315
19,3,0.835684,0.812998,0.855303,0.495
19,4,0.93133,0.917842,0.947885,0.407
19,5,0.679534,0.662377,0.713235,0.279
19,6,0.816789,0.797794,0.840074,0.392
19,7,0.939338,0.926471,0.954657,0.38525
19,8,0.378064,0.348039,0.408701,0.49675
19,9,0.764706,0.737745,0.789216,0.54775
19,10,0.71875,0.693015,0.747549,0.47425
19,11,0.93076,0.905637,0.936887,0.86225
19,12,0.941789,0.918505,0.948529,0.84575
19,13,0.955882,0.933824,0.960784,0.88425
19,14,0.763518,0.745494,0.797404,0.30125
19,15,0.947368,0.930786,0.960346,0.519
19,16,0.947368,0.929344,0.958904,0.61175
19,17,0.958904,0.939438,0.966835,0.78575
19,18,0.936887,0.862745,0.901348,1.0
20,0,0.71875,0.679534,0.727941,0.88575
20,1,0.618873,0.591912,0.645833,0.4595
20,2,0.753064,0.708333,0.755515,0.95925
20,3,0.807598,0.783701,0.826593,0.58575
20,4,0.845588,0.823529,0.865196,0.47425
20,5,0.725658,0.691978,0.740968,0.76725
20,6,0.812002,0.787508,0.829149,0.6635
20,7,0.856093,0.832823,0.873239,0.56475
20,8,0.443968,0.413962,0.474587,0.48425
20,9,0.721984,0.708512,0.758114,0.17175
20,10,0.729945,0.69259,0.742192,0.81675
20,11,0.842621,0.829149,0.868953,0.294
20,12,0.84752,0.828536,0.869565,0.39325
20,13,0.853031,0.832823,0.873239,0.49675
20,14,0.776657,0.73415,0.783862,0.9105
20,15,0.856628,0.827089,0.870317,0.72
20,16,0.850865,0.82781,0.871037,0.526
20,17,0.850865,0.829971,0.873199,0.494
20,18,0.808211,0.795956,0.838848,0.19725
20,19,0.839461,0.821691,0.863358,0.37125
21,0,0.685662,0.655025,0.705882,0.6435
21,1,0.577206,0.54902,0.601103,0.56625
21,2,0.721201,0.689951,0.738358,0.681
21,3,0.83701,0.81924,0.859681,0.358
21,4,0.919118,0.905025,0.936275,0.382
21,5,0.709737,0.679731,0.729333,0.66025
21,6,0.842621,0.810165,0.851194,0.86625
21,7,0.935701,0.91733,0.945499,0.725
21,8,0.396203,0.361911,0.42376,0.53725
21,9,0.7624,0.737293,0.788732,0.45275
21,10,0.736069,0.700551,0.75444,0.70825
21,11,0.909982,0.901408,0.933252,0.21875
21,12,0.924679,0.907532,0.938763,0.49825
21,13,0.936314,0.919167,0.948561,0.61225
21,14,0.783862,0.752882,0.804755,0.65925
21,15,0.935879,0.917147,0.948127,0.6685
21,16,0.931556,0.913545,0.945245,0.5095
21,17,0.934438,0.920749,0.951729,0.38575
21,18,0.871936,0.85723,0.895833,0.296
21,19,0.915441,0.901961,0.934436,0.344
21,20,0.905695,0.827312,0.867728,1.0
22,0,0.666054,0.640931,0.690564,0.57625
22,1,0.551471,0.526961,0.579044,0.486
22,2,0.704044,0.673407,0.721201,0.68025
22,3,0.840686,0.821691,0.863971,0.39375
22,4,0.942402,0.928309,0.956495,0.467
22,5,0.691366,0.665034,0.71586,0.534
22,6,0.831598,0.805879,0.848745,0.64675
22,7,0.956522,0.938763,0.96387,0.755
22,8,0.376607,0.343539,0.404776,0.557
22,9,0.773423,0.742805,0.794856,0.637
22,10,0.72872,0.696265,0.750153,0.621
22,11,0.930802,0.91733,0.946111,0.426
22,12,0.945499,0.931415,0.957746,0.568
22,13,0.960808,0.944887,0.968769,0.688
22,14,0.776657,0.75,0.801873,0.516
22,15,0.960375,0.944524,0.969741,0.67875
22,16,0.957493,0.941643,0.967579,0.6285
22,17,0.964697,0.950288,0.974784,0.56875
22,18,0.889093,0.872549,0.909926,0.38375
22,19,0.941176,0.924632,0.954044,0.518
22,20,0.876301,0.829761,0.87079,0.99325
22,21,0.964483,0.912431,0.94305,1.0
23,0,0.686275,0.658701,0.709559,0.513
23,1,0.594975,0.566176,0.619485,0.60175
23,2,0.723039,0.695466,0.74326,0.67825
23,3,0.81924,0.79902,0.841299,0.4735
23,4,0.880515,0.867034,0.903799,0.316
23,5,0.715248,0.680955,0.73117,0.78275
23,6,0.812615,0.794856,0.837722,0.41875
23,7,0.890998,0.876914,0.913043,0.38125
23,8,0.427434,0.383956,0.445805,0.773
23,9,0.745867,0.722596,0.774036,0.441
23,10,0.733007,0.693203,0.747091,0.8295
23,11,0.8812,0.863442,0.900184,0.474
23,12,0.888549,0.868953,0.905083,0.5095
23,13,0.897734,0.876301,0.913043,0.601
23,14,0.771614,0.739914,0.790346,0.66875
23,15,0.893372,0.876081,0.914986,0.50275
23,16,0.889049,0.871758,0.910663,0.361
23,17,0.896254,0.876081,0.914986,0.49725
23,18,0.854167,0.828431,0.869485,0.73375
23,19,0.880515,0.863971,0.901961,0.435
23,20,0.874464,0.804654,0.846295,1.0
23,21,0.896509,0.862217,0.898347,0.962
23,22,0.896509,0.872015,0.908757,0.71775
24,0,0.667892,0.636029,0.685662,0.6685
24,1,0.549632,0.52451,0.57598,0.499
24,2,0.698529,0.672181,0.720588,0.52725
24,3,0.84375,0.824142,0.865809,0.45675
24,4,0.943015,0.932598,0.959559,0.30325
24,5,0.690753,0.663197,0.714023,0.53875
24,6,0.832211,0.808328,0.849357,0.6485
24,7,0.955909,0.944274,0.967544,0.50775
24,8,0.37477,0.340478,0.402327,0.566
24,9,0.776485,0.742192,0.794856,0.67675
24,10,0.730557,0.698102,0.753827,0.66675
24,11,0.933864,0.921004,0.948561,0.409
24,12,0.949786,0.933864,0.960196,0.61175
24,13,0.965095,0.950398,0.973056,0.71425
24,14,0.776657,0.74928,0.801153,0.49
24,15,0.964697,0.947406,0.972622,0.71375
24,16,0.958934,0.947406,0.971902,0.48275
24,17,0.96902,0.956052,0.978386,0.5855
