k1,k2,stat,lb,ub,pval
0,0,0.004998,0.003255,0.003833,1.0
1,0,0.03984,0.010762,0.027964,1.0
2,0,0.009562,0.009772,0.026693,0.02175
2,1,0.005383,0.010393,0.026506,0.00025
3,0,0.008221,0.00156,0.015184,0.49875
3,1,0.003771,0.001551,0.013922,0.103
3,2,0.006582,0.001954,0.015391,0.26575
4,0,-0.000281,-0.001517,0.005389,0.11925
4,1,-7.3e-05,-0.001382,0.004424,0.1285
4,2,-0.000254,-0.00133,0.005608,0.0955
4,3,0.002823,-0.002187,0.005551,0.753
5,0,0.002477,0.00729,0.024308,0.00125
5,1,-0.006716,0.008418,0.025276,0.0
5,2,0.029694,0.00823,0.02499,0.99825
5,3,0.002788,0.000726,0.014812,0.08725
5,4,0.000581,-0.002075,0.005487,0.2555
6,0,0.008183,0.003982,0.018081,0.222
6,1,0.001806,0.003367,0.015667,0.0055
6,2,0.016139,0.005196,0.019112,0.86575
6,3,0.003576,0.000776,0.014037,0.156
6,4,0.000418,-0.001782,0.005573,0.2295
6,5,0.025596,0.003426,0.017892,1.0
7,0,0.002378,-0.000787,0.004666,0.65975
7,1,-0.00069,-0.000934,0.003574,0.04
7,2,0.003259,-0.000517,0.005019,0.793
7,3,0.002324,-0.0018,0.005288,0.6295
7,4,0.001136,-0.001889,0.003194,0.68075
7,5,0.003428,-0.001151,0.004894,0.82675
7,6,0.00661,-0.000952,0.005746,0.992
8,0,0.004222,-4.6e-05,0.017498,0.1465
8,1,-0.009884,0.001604,0.019588,0.0
8,2,0.010614,-0.000306,0.015194,0.775
8,3,0.001594,-0.002791,0.00977,0.2635
8,4,0.00295,-0.00247,0.004083,0.90325
8,5,0.01996,-0.001212,0.015393,0.99825
8,6,0.016125,-0.002171,0.010158,1.0
8,7,0.001636,-0.001891,0.003453,0.74625
9,0,-0.005796,-0.001411,0.014298,0.002
9,1,-0.00947,-0.000874,0.015243,0.0
9,2,0.005255,-0.000713,0.014994,0.3615
9,3,0.000546,-0.003916,0.010404,0.22125
9,4,0.002346,-0.003034,0.005138,0.758
9,5,0.01247,-0.002041,0.014587,0.9225
9,6,0.009408,-0.003598,0.011,0.9125
9,7,0.001567,-0.002298,0.004977,0.5775
9,8,0.058859,-0.004039,0.012798,1.0
10,0,0.011327,0.001077,0.017978,0.68175
10,1,-0.001656,0.001708,0.018731,0.003
10,2,0.007702,0.001377,0.017845,0.342
10,3,-0.003785,-0.0027,0.01221,0.00975
10,4,-0.000886,-0.002635,0.005601,0.1335
10,5,0.013734,-0.0004,0.017,0.885
10,6,0.024999,-0.001516,0.013798,1.0
