	Mean	MCSE	StdDev	5%	50%	95%	N_Eff	N_Eff/s	R_hat
theta[1,1]	-1.0	0.0054	0.46	-1.8	-1.0	-0.32	7048.0	2.0	1.0
theta[1,2]	-0.21	0.0034	0.32	-0.76	-0.2	0.3	8561.0	2.4	1.0
theta[1,3]	1.2	0.0024	0.23	0.86	1.2	1.6	8561.0	2.4	1.0
theta[1,4]	0.17	0.0032	0.28	-0.3	0.18	0.61	7395.0	2.0	1.0
theta[1,5]	1.3	0.0026	0.23	0.96	1.3	1.7	8078.0	2.2	1.0
theta[1,6]	-0.53	0.0047	0.37	-1.2	-0.5	0.033	6261.0	1.7	1.0
theta[1,7]	0.86	0.0025	0.23	0.48	0.86	1.2	8644.0	2.4	1.0
theta[1,8]	0.77	0.0025	0.24	0.38	0.78	1.2	8547.0	2.4	1.0
theta[1,9]	0.94	0.0027	0.23	0.55	0.94	1.3	7280.0	2.0	1.0
theta[1,10]	0.57	0.0027	0.25	0.15	0.57	0.96	8363.0	2.3	1.0
theta[1,11]	1.3	0.0025	0.23	0.9	1.3	1.6	7953.0	2.2	1.0
theta[1,12]	-1.1	0.0051	0.46	-1.9	-1.1	-0.39	7910.0	2.2	1.0
theta[1,13]	2.9	0.0034	0.29	2.5	2.9	3.4	7242.0	2.0	1.0
theta[1,14]	1.5	0.0026	0.22	1.1	1.5	1.8	6932.0	1.9	1.0
theta[1,15]	1.1	0.0027	0.24	0.68	1.1	1.5	7463.0	2.1	1.0
theta[1,16]	-0.67	0.0044	0.38	-1.3	-0.65	-0.079	7524.0	2.1	1.0
theta[1,17]	-0.39	0.0036	0.34	-0.98	-0.37	0.15	8855.0	2.5	1.0
theta[1,18]	0.61	0.0026	0.25	0.2	0.61	1.0	9123.0	2.5	1.0
theta[1,19]	-0.63	0.0044	0.38	-1.3	-0.61	-0.052	7372.0	2.0	1.0
theta[1,20]	-0.64	0.0044	0.39	-1.3	-0.62	-0.035	7825.0	2.2	1.0
theta[1,21]	-1.3	0.0055	0.49	-2.1	-1.2	-0.52	7855.0	2.2	1.0
theta[1,22]	-0.35	0.0039	0.34	-0.93	-0.33	0.17	7605.0	2.1	1.0
theta[1,23]	0.18	0.0029	0.28	-0.29	0.19	0.62	8838.0	2.4	1.0
theta[1,24]	-1.3	0.006	0.5	-2.2	-1.3	-0.53	6972.0	1.9	1.0
theta[1,25]	-0.26	0.0036	0.32	-0.81	-0.24	0.25	8295.0	2.3	1.0
theta[1,26]	-1.4	0.0066	0.53	-2.4	-1.4	-0.59	6627.0	1.8	1.0
theta[1,27]	-0.14	0.0032	0.31	-0.67	-0.12	0.35	9465.0	2.6	1.0
theta[1,28]	0.8	0.0025	0.24	0.4	0.81	1.2	8910.0	2.5	1.0
theta[1,29]	0.68	0.0027	0.24	0.29	0.69	1.1	7892.0	2.2	1.0
theta[1,30]	-0.66	0.0046	0.39	-1.3	-0.64	-0.065	7023.0	1.9	1.0
theta[1,31]	0.79	0.0028	0.24	0.39	0.79	1.2	7209.0	2.0	1.0
theta[1,32]	-0.65	0.0044	0.37	-1.3	-0.62	-0.081	7223.0	2.0	1.0
theta[1,33]	-0.17	0.0036	0.31	-0.71	-0.16	0.31	7650.0	2.1	1.0
theta[1,34]	-0.6	0.0043	0.37	-1.2	-0.58	-0.027	7634.0	2.1	1.0
theta[1,35]	1.3	0.0026	0.24	0.87	1.3	1.6	8279.0	2.3	1.0
theta[1,36]	-0.69	0.0047	0.39	-1.4	-0.67	-0.1	6781.0	1.9	1.0
