k1,k2,mu,lb,ub,pval
0,0,0.034096,0.032996,0.035037,1.0
1,0,0.009242,-0.053547,0.072513,0.5765
2,0,0.00762,-0.042297,0.055547,0.569
2,1,-0.001012,-0.042624,0.038954,0.49325
3,0,0.010178,-0.033867,0.059294,0.62025
3,1,-0.00927,-0.044455,0.021387,0.3735
3,2,0.028988,0.00629,0.053623,0.817
4,0,-0.002809,-0.033812,0.026006,0.465
4,1,0.000636,-0.02265,0.021272,0.508
4,2,-0.010923,-0.030736,0.008353,0.33625
4,3,0.042126,0.024595,0.061634,0.88675
5,0,0.013828,-0.019516,0.050622,0.66025
5,1,-0.025336,-0.059104,0.009211,0.2005
5,2,0.201476,0.171774,0.228807,1.0
5,3,0.015361,-0.005124,0.036144,0.69525
5,4,0.000869,-0.017529,0.016211,0.4935
6,0,0.035485,-0.003242,0.067997,0.847
6,1,0.012468,-0.01632,0.039705,0.66375
6,2,0.101185,0.072546,0.130527,0.99875
6,3,0.00218,-0.024746,0.028877,0.53175
6,4,-0.009507,-0.036718,0.014057,0.3885
6,5,0.159046,0.129947,0.184899,1.0
7,0,0.030017,0.004271,0.053002,0.87025
7,1,-0.018135,-0.034033,-0.001132,0.19325
7,2,0.041549,0.026254,0.056438,0.961
7,3,0.010201,-0.013936,0.035186,0.6125
7,4,0.036514,0.007677,0.063879,0.78025
7,5,0.045439,0.031475,0.059736,0.9645
7,6,0.104129,0.07682,0.130059,0.9995
8,0,0.022878,-0.017328,0.065727,0.76375
8,1,-0.015832,-0.054821,0.028409,0.31925
8,2,0.016377,-0.021115,0.052009,0.699
8,3,0.017276,-0.016135,0.051088,0.72425
8,4,0.029369,0.002008,0.059137,0.87475
8,5,-0.016162,-0.057991,0.024852,0.30825
8,6,-0.018099,-0.050503,0.012889,0.25725
8,7,-0.000431,-0.022896,0.023785,0.48125
9,0,-0.033854,-0.068255,0.002362,0.137
9,1,-0.007213,-0.040673,0.02387,0.4075
9,2,0.021759,-0.009027,0.050525,0.77225
9,3,0.019337,-0.006846,0.047047,0.74325
9,4,0.02629,-0.002309,0.053316,0.81375
9,5,-0.003212,-0.035583,0.029584,0.45175
9,6,-0.07425,-0.1127,-0.037299,0.02
9,7,-0.016971,-0.052429,0.020936,0.31325
9,8,0.056307,0.025352,0.087434,0.9935
10,0,0.060213,0.023586,0.097045,0.968
10,1,0.001083,-0.033652,0.033016,0.51075
10,2,0.001843,-0.029176,0.03261,0.5295
10,3,-0.044498,-0.071524,-0.020287,0.06925
10,4,-0.035119,-0.061751,-0.010678,0.1255
10,5,-0.027655,-0.062607,0.004809,0.19375
10,6,0.052068,0.010537,0.095104,0.916
10,7,-0.029707,-0.05969,-0.001167,0.17475
10,8,0.042006,0.005738,0.078269,0.94575
10,9,-0.093204,-0.139344,-0.043184,0.0065
11,0,-0.050362,-0.081871,-0.015016,0.049
11,1,0.008479,-0.016594,0.033139,0.628
11,2,-0.026974,-0.051035,-0.003888,0.172
11,3,-0.002015,-0.026694,0.021455,0.479
11,4,0.054535,0.029393,0.076696,0.9
11,5,-0.039469,-0.061287,-0.019855,0.0875
11,6,-0.065618,-0.094358,-0.032896,0.04025
11,7,-0.025954,-0.065398,0.010987,0.31375
11,8,-0.003046,-0.035554,0.030753,0.4555
11,9,0.005858,-0.022541,0.033105,0.5835
11,10,0.003386,-0.02145,0.030601,0.54375
12,0,-0.039762,-0.072018,-0.007204,0.08725
12,1,-0.000804,-0.024717,0.023571,0.47925
12,2,-0.024143,-0.048404,-0.002114,0.19825
12,3,-0.050994,-0.075264,-0.029394,0.076
12,4,-0.012332,-0.035551,0.010294,0.396
12,5,-0.046522,-0.064992,-0.02622,0.05
12,6,0.028625,0.000526,0.057825,0.79125
12,7,-0.023046,-0.059408,0.016555,0.33525
12,8,-0.000596,-0.030435,0.030492,0.48125
12,9,0.037834,0.010247,0.065528,0.88325
12,10,-0.016837,-0.042488,0.008745,0.30075
12,11,0.31378,0.28907,0.34039,1.0
13,0,-0.045545,-0.077,-0.008759,0.0645
13,1,-0.04853,-0.076188,-0.017784,0.0245
13,2,-0.04069,-0.064209,-0.017452,0.06925
13,3,-0.057134,-0.079251,-0.033847,0.05425
13,4,-0.028557,-0.053599,-0.003296,0.27875
13,5,-0.022631,-0.040594,-0.003409,0.193
13,6,0.01117,-0.017569,0.038002,0.61725
13,7,-0.033116,-0.069816,0.007959,0.2815
