name	Mean	MCSE	StdDev	5%	50%	95%	N_Eff	N_Eff/s	R_hat
theta[1,1]	-0.335	0.00677	0.335	-0.908	-0.326	0.215	2442.0	0.718	1.0
theta[2,1]	-0.246	0.0141	0.844	-1.69	-0.216	1.08	3599.0	1.06	1.0
theta[3,1]	-0.393	0.0132	0.812	-1.78	-0.364	0.859	3757.0	1.1	0.999
theta[4,1]	-0.238	0.0139	0.924	-1.77	-0.236	1.27	4410.0	1.3	1.0
theta[5,1]	-1.1	0.0115	0.677	-2.31	-1.05	-0.101	3441.0	1.01	1.0
theta[6,1]	1.01	0.0119	0.71	-0.123	0.997	2.22	3543.0	1.04	1.0
theta[7,1]	-0.269	0.0129	0.751	-1.61	-0.196	0.834	3412.0	1.0	1.0
theta[8,1]	-0.933	0.00858	0.524	-1.82	-0.907	-0.118	3732.0	1.1	1.0
theta[9,1]	-0.214	0.013	0.843	-1.72	-0.155	1.06	4236.0	1.25	1.0
theta[10,1]	1.32	0.0115	0.638	0.252	1.33	2.35	3092.0	0.909	1.0
theta[11,1]	-0.0547	0.0136	0.93	-1.63	-0.0335	1.41	4703.0	1.38	0.999
theta[1,2]	0.336	0.00616	0.287	-0.152	0.353	0.792	2170.0	0.638	1.0
theta[2,2]	1.06	0.00853	0.5	0.227	1.07	1.88	3445.0	1.01	1.0
theta[3,2]	0.692	0.0134	0.746	-0.529	0.67	1.93	3083.0	0.906	1.0
theta[4,2]	1.32	0.0111	0.637	0.242	1.33	2.35	3291.0	0.967	1.0
theta[5,2]	-1.2	0.00948	0.606	-2.26	-1.16	-0.274	4090.0	1.2	1.0
theta[6,2]	-1.24	0.0115	0.683	-2.38	-1.24	-0.122	3506.0	1.03	1.0
theta[7,2]	-0.295	0.0118	0.658	-1.48	-0.242	0.679	3116.0	0.916	1.0
theta[8,2]	-0.484	0.00844	0.492	-1.25	-0.515	0.365	3405.0	1.0	1.0
theta[9,2]	1.99	0.00852	0.505	1.2	1.96	2.88	3510.0	1.03	1.0
theta[10,2]	-0.378	0.012	0.78	-1.76	-0.321	0.78	4215.0	1.24	1.0
theta[11,2]	-0.108	0.0134	0.902	-1.63	-0.0848	1.34	4545.0	1.34	1.0
theta[1,3]	-0.664	0.00825	0.405	-1.35	-0.647	-0.0297	2402.0	0.706	1.0
theta[2,3]	-0.088	0.0152	0.859	-1.58	-0.052	1.24	3199.0	0.94	0.999
theta[3,3]	-0.53	0.0133	0.846	-1.92	-0.503	0.813	4055.0	1.19	0.999
theta[4,3]	-0.105	0.0136	0.923	-1.65	-0.0723	1.37	4612.0	1.36	0.999
