sample,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52
0,49,36,74,71,65,71,77,69,62,51,38,43,43,33,33,32,37,19,24,19,20,16,12,13,15,5,5,1,2,1,2,3,2,0,1,1,0,1,1,1,2,0,0,0,0,1,0,0,0,0,0,0,0
1,34,45,74,70,69,60,71,66,76,50,46,38,39,41,38,29,42,27,18,24,12,11,17,5,10,12,6,1,4,3,2,2,1,1,1,3,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2,29,53,84,74,80,64,72,55,52,53,43,48,36,36,31,32,34,21,25,17,21,16,14,12,12,7,8,5,4,1,0,1,1,1,1,1,1,2,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0
3,21,50,70,76,83,71,69,71,72,48,56,32,42,32,33,31,34,25,24,17,15,11,16,11,8,7,4,4,2,4,2,1,2,2,0,1,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0
4,22,40,65,87,81,58,78,65,62,55,39,41,51,55,26,32,29,22,22,15,21,23,10,8,4,8,5,5,3,4,5,1,2,1,1,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,28,43,82,81,58,80,60,73,59,60,50,32,50,35,37,31,23,25,20,29,14,24,13,12,6,1,3,1,5,5,0,0,2,1,0,1,2,0,0,2,1,0,1,0,0,1,0,0,0,0,0,0,0
6,30,46,64,90,79,69,73,60,50,54,49,55,37,39,31,32,19,26,25,14,16,17,13,9,13,8,5,5,7,2,2,3,0,1,3,0,2,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0
7,25,52,70,87,70,69,70,59,79,44,49,49,39,39,21,38,24,21,19,14,17,23,12,12,12,6,7,2,7,1,1,2,2,0,2,1,1,0,1,0,1,1,1,0,0,1,0,0,0,0,0,0,0
8,25,57,66,65,85,83,62,56,78,60,30,40,33,48,23,26,27,34,27,17,19,19,11,9,15,5,2,9,3,3,3,3,2,1,0,0,0,0,1,2,0,0,0,1,0,1,0,0,0,0,0,0,0
9,29,43,67,77,77,74,85,53,49,57,46,42,45,37,34,32,32,26,18,31,20,13,10,11,9,2,6,6,4,2,1,1,1,3,1,0,2,1,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0
10,30,47,65,78,84,78,73,51,55,67,48,40,38,39,35,26,34,24,25,18,14,9,9,10,11,7,11,3,2,3,1,2,3,1,1,2,1,3,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0
11,26,53,73,74,74,77,67,70,56,46,34,41,46,36,40,31,31,26,35,20,14,12,10,7,12,1,5,5,6,8,1,4,2,2,1,0,0,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0
12,22,56,63,63,93,64,73,57,57,54,55,52,37,33,32,37,40,28,21,14,20,14,12,11,5,9,8,2,2,4,2,1,2,1,0,1,1,0,1,0,0,1,3,0,0,0,0,0,0,0,0,0,0
13,28,60,74,73,67,68,72,61,56,61,45,57,35,33,33,25,29,32,26,13,16,16,17,9,11,7,4,3,4,4,3,1,1,0,0,2,2,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0
14,27,54,78,68,77,73,73,66,53,53,55,35,45,31,31,27,31,28,16,19,20,16,7,19,11,7,7,5,3,2,2,1,2,0,1,0,2,1,0,1,1,0,1,1,0,1,0,0,0,0,0,0,0
15,30,55,61,62,72,84,79,78,47,52,48,43,42,39,30,29,27,29,20,23,15,19,19,7,6,10,5,1,5,3,0,5,0,0,0,1,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0
16,27,48,75,73,67,84,76,56,68,51,48,29,50,41,35,27,28,25,23,17,15,17,7,20,10,7,7,2,1,3,1,1,1,0,4,0,0,1,3,1,0,1,0,0,0,0,0,1,0,0,0,0,0
17,29,55,67,92,57,76,85,61,53,49,51,43,44,33,28,27,33,25,17,25,16,11,14,12,7,10,5,8,5,0,1,2,2,0,1,1,1,0,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0
18,27,47,64,77,80,63,68,79,67,58,55,42,23,31,42,25,35,29,22,22,12,16,9,10,6,7,7,3,8,2,3,1,1,2,2,2,1,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0
19,17,54,66,86,76,83,66,58,58,44,39,54,43,34,41,32,25,25,28,20,18,15,15,9,6,6,4,8,7,2,2,2,0,0,1,3,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
20,26,44,61,87,90,71,72,61,49,62,46,40,41,34,42,40,26,23,18,20,19,17,11,4,9,12,6,2,7,0,0,1,1,2,0,1,0,1,0,2,1,1,0,0,0,1,0,0,0,0,0,0,0
21,26,62,62,77,80,80,60,58,51,47,42,46,38,41,38,39,35,24,20,22,16,13,16,13,6,6,5,7,4,4,0,2,1,2,2,0,1,0,0,0,1,0,2,1,0,1,0,0,0,0,0,0,0
22,28,38,71,75,80,75,84,66,51,59,45,34,34,35,32,37,30,23,27,19,24,18,8,9,8,8,5,6,3,6,1,2,3,0,2,0,3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
23,43,54,59,78,70,67,74,67,53,44,54,32,41,45,38,31,26,29,23,18,13,21,16,10,9,7,6,3,2,4,2,1,2,2,1,1,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0
24,22,55,60,91,68,80,70,64,59,44,45,46,41,35,32,36,23,36,21,22,15,23,9,12,10,6,6,2,6,3,0,1,0,1,0,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0
25,26,56,67,73,72,83,65,83,43,45,49,36,42,34,49,27,30,28,21,20,10,14,14,10,16,10,3,7,5,2,3,2,2,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0
26,34,49,66,52,95,89,65,71,44,58,46,42,40,41,25,27,40,28,22,17,24,12,8,10,6,9,7,4,4,2,4,1,2,1,0,1,0,0,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0
27,22,55,79,76,73,65,80,64,52,47,49,44,40,40,31,31,35,20,31,26,21,8,8,12,7,5,6,5,4,4,1,1,2,2,1,0,0,0,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0
28,23,48,76,75,68,85,63,63,72,42,46,37,45,39,37,29,29,21,19,21,18,21,15,10,15,4,10,3,3,0,0,1,3,0,2,3,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0
29,27,47,56,89,78,67,69,75,61,53,50,45,48,35,28,22,18,22,22,20,20,30,10,15,10,5,7,3,7,1,0,2,2,0,0,3,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
30,33,49,70,72,81,57,71,78,62,48,51,33,35,39,39,32,27,24,26,26,18,13,10,14,7,7,12,5,1,2,2,0,1,0,0,0,2,0,0,1,0,0,2,0,1,0,0,0,0,0,0,0,0
31,17,54,65,93,83,80,61,71,61,48,42,36,37,36,35,27,28,27,21,18,15,17,9,9,16,12,5,8,3,3,3,0,3,1,1,1,0,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0
32,20,77,60,68,85,58,73,66,58,46,50,44,35,34,29,26,34,28,27,19,22,16,12,14,7,7,5,6,6,2,5,4,0,1,2,1,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
33,23,59,71,72,78,73,67,68,48,55,55,35,46,30,41,27,35,22,24,23,15,19,9,17,3,5,2,5,3,5,1,2,4,0,1,2,0,1,0,3,0,0,0,0,0,2,0,0,0,0,0,0,0
34,29,54,60,79,83,78,65,57,57,53,45,44,46,38,34,32,18,32,20,20,14,20,9,11,10,8,9,3,4,3,1,3,1,2,1,1,3,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0
35,28,61,61,77,65,87,62,69,64,54,49,39,42,28,34,27,23,26,27,22,27,12,7,14,9,9,8,4,1,1,4,1,3,1,1,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
36,21,50,69,85,72,76,67,64,55,51,63,49,34,33,34,36,27,29,25,20,15,17,11,8,8,2,6,4,2,2,3,4,1,0,0,1,0,2,1,0,0,1,0,2,0,1,0,0,0,0,0,0,0
37,23,49,76,85,73,54,78,70,64,49,47,39,35,46,35,32,27,25,22,20,16,16,11,7,13,5,9,5,5,3,0,1,3,1,0,1,0,1,0,0,2,0,2,0,0,1,0,0,0,0,0,0,0
38,28,47,83,80,78,78,59,63,48,58,40,56,43,31,34,27,19,27,29,19,15,19,9,11,6,8,8,7,3,3,2,3,1,1,2,2,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0
39,29,40,64,67,91,69,87,56,58,52,52,50,40,33,32,40,31,21,20,19,22,12,6,11,14,8,4,6,4,1,0,2,1,1,2,1,1,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0
40,33,43,60,67,97,82,65,59,60,55,42,45,44,32,33,31,30,31,27,20,16,12,10,7,10,5,9,6,7,1,1,0,2,1,2,0,1,1,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0
41,23,61,70,71,72,89,65,63,67,50,45,43,45,28,37,29,26,15,20,25,16,20,25,8,8,5,5,3,1,4,1,2,0,2,2,0,1,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
