k1,k2,mu,lb,ub,pval
0,0,0.040854,0.039589,0.042242,1.0
1,0,0.016246,-0.067044,0.095355,0.6065
2,0,-0.006825,-0.068795,0.048673,0.4485
2,1,-0.002609,-0.055427,0.045615,0.483
3,0,0.019545,-0.040628,0.081133,0.66575
3,1,-0.020693,-0.06239,0.025053,0.3085
3,2,0.037259,0.003676,0.067443,0.81925
4,0,0.006551,-0.032532,0.046303,0.56775
4,1,-0.021474,-0.047522,0.008405,0.2445
4,2,-0.005838,-0.030332,0.017444,0.41525
4,3,0.020385,-0.004671,0.045874,0.67375
5,0,-0.020417,-0.066987,0.027543,0.32925
5,1,-0.009557,-0.052339,0.033319,0.4135
5,2,0.178297,0.139174,0.215031,1.0
5,3,-0.016411,-0.042779,0.009976,0.3325
5,4,0.004445,-0.016451,0.025429,0.55325
6,0,0.001367,-0.045799,0.049548,0.515
6,1,0.042294,0.00665,0.078505,0.87175
6,2,0.138939,0.103638,0.176542,0.99975
6,3,-0.034328,-0.069105,-0.000523,0.22425
6,4,-0.01668,-0.050597,0.01634,0.3705
6,5,0.162103,0.130358,0.193576,1.0
7,0,0.02087,-0.011698,0.052578,0.7115
7,1,-0.014569,-0.037958,0.007914,0.2905
7,2,0.029591,0.008953,0.050792,0.8155
7,3,-0.02969,-0.063195,0.003666,0.27375
7,4,0.101268,0.060395,0.136823,0.94625
7,5,0.035217,0.015168,0.053778,0.85675
7,6,0.13785,0.104031,0.172501,0.99675
8,0,0.022859,-0.025275,0.074267,0.726
8,1,-0.027368,-0.07834,0.02404,0.25925
8,2,0.011422,-0.033117,0.057523,0.61725
8,3,0.020454,-0.022942,0.062312,0.72425
8,4,0.025955,-0.00795,0.060428,0.80025
8,5,-0.00632,-0.057077,0.050252,0.43525
8,6,-0.016149,-0.05463,0.023932,0.30075
8,7,0.003952,-0.027337,0.036677,0.55175
9,0,-0.027678,-0.072874,0.017477,0.25675
9,1,0.010031,-0.030103,0.051825,0.601
9,2,0.06198,0.019397,0.10036,0.9485
9,3,0.030646,-0.00379,0.064069,0.78225
9,4,0.046973,0.011987,0.083154,0.8905
9,5,0.007977,-0.032266,0.052999,0.57825
9,6,-0.072354,-0.123383,-0.023664,0.05125
9,7,-0.014852,-0.059373,0.029253,0.37125
9,8,0.066887,0.026531,0.109527,0.98825
10,0,0.06257,0.016997,0.107278,0.932
10,1,-0.042366,-0.08112,0.000887,0.1475
10,2,-0.019222,-0.059788,0.021134,0.319
10,3,-0.044277,-0.076821,-0.008448,0.12875
10,4,-0.038748,-0.072666,-0.006362,0.1505
10,5,-0.043205,-0.086195,-0.001772,0.16175
10,6,0.057178,-0.000806,0.109594,0.8725
10,7,-0.034215,-0.071555,0.004735,0.1975
10,8,0.070942,0.030533,0.115214,0.991
10,9,-0.134817,-0.198286,-0.080532,0.00225
11,0,-0.007676,-0.043406,0.032887,0.4235
11,1,-0.007293,-0.032653,0.018013,0.3845
11,2,-0.058962,-0.086582,-0.034245,0.043
11,3,-0.016729,-0.052367,0.017403,0.3605
11,4,0.067371,0.029696,0.104114,0.871
11,5,-0.032681,-0.056255,-0.009214,0.17175
11,6,-0.056333,-0.094236,-0.014838,0.1225
11,7,-0.048317,-0.110167,0.005061,0.26875
11,8,-0.000803,-0.033899,0.033881,0.48825
11,9,0.002237,-0.038294,0.039241,0.53275
11,10,0.029282,-0.006246,0.065122,0.775
12,0,-0.031023,-0.069207,0.008327,0.197
12,1,0.008017,-0.018058,0.036641,0.60325
12,2,-0.045244,-0.068715,-0.022087,0.09
12,3,-0.059587,-0.091084,-0.026709,0.105
12,4,0.087948,0.051138,0.124851,0.9245
12,5,-0.048223,-0.068997,-0.027516,0.083
12,6,0.029609,-0.003551,0.063323,0.73525
12,7,-0.029394,-0.089795,0.025737,0.35075
12,8,0.015534,-0.017003,0.051879,0.70375
12,9,-0.010862,-0.04952,0.028717,0.4005
12,10,0.016075,-0.018245,0.049613,0.65225
12,11,0.345851,0.304256,0.386973,1.0
13,0,-0.03143,-0.072,0.010385,0.1955
13,1,-0.041719,-0.069533,-0.011046,0.07025
13,2,-0.033697,-0.056805,-0.01167,0.143
13,3,-0.07157,-0.106853,-0.039494,0.072
13,4,0.012301,-0.030232,0.053023,0.60125
13,5,-0.00574,-0.024019,0.012076,0.40425
13,6,-0.015538,-0.04873,0.020453,0.3645
13,7,-0.060877,-0.119096,0.000578,0.217
13,8,0.008003,-0.010284,0.031835,0.627
13,9,0.017356,-0.027727,0.057227,0.66625
13,10,0.049293,0.01293,0.086398,0.87925
13,11,0.323985,0.28191,0.366385,1.0
13,12,0.489314,0.445274,0.525119,1.0
14,0,0.035929,-0.020046,0.090239,0.76625
14,1,-0.028233,-0.081878,0.025078,0.27
14,2,0.092654,0.032817,0.145084,0.96625
14,3,-0.049477,-0.09098,0.007701,0.15075
14,4,0.018131,-0.028764,0.067944,0.6555
14,5,0.340849,0.236214,0.413796,1.0
14,6,0.048238,-0.009521,0.097111,0.82725
14,7,0.037304,-0.014489,0.078092,0.7805
14,8,-0.01844,-0.072063,0.035305,0.33875
14,9,-0.032216,-0.082397,0.016572,0.23225
14,10,0.001929,-0.051862,0.047191,0.50775
14,11,-0.033001,-0.082599,0.018749,0.2375
14,12,-0.123243,-0.170583,-0.058771,0.014
14,13,-0.08519,-0.13232,-0.023717,0.0385
15,0,0.003536,-0.029978,0.039958,0.51
15,1,0.017561,-0.000411,0.03801,0.73925
15,2,0.028667,0.007005,0.050319,0.798
15,3,-0.039272,-0.08441,0.005458,0.2365
15,4,-0.011863,-0.062632,0.042879,0.4495
15,5,0.028986,-6e-06,0.055909,0.77475
15,6,0.085252,0.043338,0.129109,0.9425
15,7,0.322412,0.248839,0.396026,0.9995
15,8,-0.018519,-0.054743,0.01624,0.2655
15,9,-0.034977,-0.079804,0.014217,0.225
15,10,0.043949,0.00219,0.08234,0.84925
15,11,-0.121298,-0.186456,-0.052522,0.068
15,12,-0.123483,-0.20337,-0.039936,0.0735
15,13,-0.130568,-0.220323,-0.036201,0.08775
15,14,0.079362,0.010875,0.1344,0.94325
16,0,-0.002262,-0.047948,0.042541,0.46975
16,1,-0.010847,-0.04362,0.021914,0.34675
16,2,-0.086075,-0.114976,-0.053548,0.0185
16,3,-0.024464,-0.062982,0.018364,0.33575
16,4,-0.033701,-0.078317,0.017078,0.335
16,5,-0.042667,-0.071609,-0.01355,0.1285
16,6,-0.103243,-0.141716,-0.062476,0.027
16,7,-0.160306,-0.227072,-0.086843,0.0125
16,8,0.011249,-0.029183,0.052596,0.6285
16,9,0.017626,-0.028396,0.061781,0.651
16,10,0.048214,0.008901,0.087308,0.8665
16,11,0.394611,0.332151,0.445372,1.0
16,12,0.124895,0.055085,0.18869,0.92975
16,13,0.272726,0.173985,0.35429,0.994
16,14,-0.041922,-0.097241,0.012207,0.18675
16,15,-0.091799,-0.182211,-0.000721,0.15675
17,0,-0.02312,-0.064652,0.019595,0.2705
17,1,-0.00522,-0.035857,0.022342,0.41
17,2,-0.038261,-0.066876,-0.005929,0.14125
17,3,-0.059606,-0.095845,-0.018831,0.137
17,4,-0.069143,-0.116726,-0.018957,0.146
17,5,-0.040419,-0.065327,-0.010729,0.138
17,6,-0.030584,-0.069594,0.015099,0.276
17,7,-0.11171,-0.189923,-0.034859,0.07625
17,8,0.007366,-0.01227,0.035528,0.6
17,9,-0.00132,-0.048442,0.048042,0.48975
17,10,0.073468,0.035166,0.113919,0.952
17,11,0.172586,0.096545,0.231042,0.98025
17,12,0.261792,0.198007,0.320233,0.9975
17,13,0.447132,0.364944,0.519712,1.0
17,14,-0.029875,-0.08326,0.025247,0.25075
17,15,-0.152137,-0.241544,-0.05915,0.0425
17,16,0.534219,0.358877,0.623536,0.99925
18,0,-0.026052,-0.06593,0.015522,0.25375
18,1,-0.032782,-0.067038,0.003009,0.18575
18,2,-0.02459,-0.056331,0.008666,0.263
18,3,0.015476,-0.010027,0.044673,0.6465
18,4,0.066254,0.040412,0.091003,0.93475
18,5,0.009259,-0.015134,0.035407,0.59925
18,6,-0.07723,-0.11027,-0.044304,0.03225
