	Mean	MCSE	StdDev	5%	50%	95%	N_Eff	N_Eff/s	R_hat
theta[1,1]	-0.94	0.0074	0.48	-1.8	-0.92	-0.21	4182.0	0.4	1.0
theta[2,1]	-0.08	0.011	0.94	-1.7	-0.065	1.4	7321.0	0.69	1.0
theta[3,1]	1.5	0.0091	0.7	0.35	1.5	2.6	5890.0	0.56	1.0
theta[4,1]	-0.074	0.011	0.97	-1.7	-0.031	1.5	7357.0	0.7	1.0
theta[5,1]	0.52	0.0077	0.55	-0.36	0.5	1.4	5045.0	0.48	1.0
theta[6,1]	-0.1	0.012	0.95	-1.6	-0.091	1.4	6539.0	0.62	1.0
theta[7,1]	-0.17	0.01	0.81	-1.6	-0.12	1.1	6512.0	0.62	1.0
theta[8,1]	-0.93	0.0085	0.64	-2.1	-0.87	0.054	5671.0	0.54	1.0
theta[9,1]	0.0057	0.012	0.97	-1.6	0.016	1.6	6686.0	0.63	1.0
theta[10,1]	-0.12	0.011	0.95	-1.7	-0.11	1.4	7020.0	0.66	1.0
theta[11,1]	-0.051	0.012	0.98	-1.7	-0.034	1.5	6150.0	0.58	1.0
theta[1,2]	-0.29	0.0056	0.37	-0.91	-0.28	0.29	4257.0	0.4	1.0
theta[2,2]	-0.13	0.011	0.96	-1.7	-0.11	1.4	7552.0	0.71	1.0
theta[3,2]	-0.59	0.0095	0.78	-1.9	-0.57	0.64	6683.0	0.63	1.0
theta[4,2]	-0.088	0.01	0.91	-1.6	-0.059	1.4	7759.0	0.73	1.0
theta[5,2]	-0.96	0.0093	0.65	-2.1	-0.89	-0.012	4840.0	0.46	1.0
theta[6,2]	1.5	0.011	0.75	0.29	1.5	2.8	4806.0	0.45	1.0
theta[7,2]	-0.59	0.01	0.82	-2.0	-0.54	0.68	6452.0	0.61	1.0
theta[8,2]	1.0	0.0086	0.65	0.016	0.98	2.1	5764.0	0.55	1.0
theta[9,2]	-0.12	0.011	0.95	-1.7	-0.11	1.4	7653.0	0.72	1.0
theta[10,2]	-0.12	0.011	0.91	-1.7	-0.074	1.3	6477.0	0.61	1.0
theta[11,2]	0.02	0.011	1.0	-1.6	0.015	1.7	7747.0	0.73	1.0
theta[1,3]	1.3	0.004	0.27	0.84	1.3	1.7	4545.0	0.43	1.0
theta[2,3]	-0.41	0.011	0.87	-1.9	-0.38	0.96	6215.0	0.59	1.0
theta[3,3]	0.28	0.0094	0.72	-0.86	0.24	1.5	5906.0	0.56	1.0
theta[4,3]	-0.2	0.013	0.83	-1.6	-0.15	1.1	4314.0	0.41	1.0
theta[5,3]	0.28	0.0092	0.64	-0.73	0.25	1.4	4794.0	0.45	1.0
theta[6,3]	0.088	0.01	0.84	-1.2	0.08	1.6	6751.0	0.64	1.0
theta[7,3]	-0.87	0.0093	0.7	-2.1	-0.82	0.22	5759.0	0.54	1.0
theta[8,3]	-0.21	0.0075	0.58	-1.1	-0.25	0.81	6007.0	0.57	1.0
theta[9,3]	-0.27	0.011	0.9	-1.8	-0.26	1.2	6713.0	0.63	1.0
theta[10,3]	0.96	0.0068	0.49	0.15	0.97	1.7	5215.0	0.49	1.0
theta[11,3]	0.19	0.031	0.9	-1.3	0.19	1.7	825.0	0.078	1.0
theta[1,4]	0.13	0.0047	0.31	-0.39	0.13	0.63	4328.0	0.41	1.0
theta[2,4]	1.8	0.0092	0.62	0.69	1.8	2.7	4541.0	0.43	1.0
theta[3,4]	-0.73	0.0095	0.77	-2.0	-0.7	0.45	6444.0	0.61	1.0
theta[4,4]	-0.35	0.012	0.93	-2.0	-0.33	1.1	6406.0	0.61	1.0
theta[5,4]	-1.1	0.0085	0.6	-2.2	-1.1	-0.23	4924.0	0.47	1.0
theta[6,4]	0.33	0.017	0.77	-0.94	0.34	1.6	2052.0	0.19	1.0
theta[7,4]	1.6	0.0061	0.46	0.85	1.6	2.4	5692.0	0.54	1.0
