k1,k2,stat,lb,ub,pval
0,0,0.003497,0.003279,0.003782,0.41325
1,0,0.029699,0.009782,0.02978,0.9705
2,0,-0.003148,0.009168,0.028622,0.00025
2,1,0.002644,0.010287,0.02971,0.00025
3,0,0.005125,2e-06,0.01622,0.23275
3,1,0.001439,0.000522,0.015297,0.0485
3,2,0.002801,0.000566,0.016151,0.083
4,0,-0.000591,-0.002016,0.005947,0.1015
4,1,-0.00141,-0.002198,0.005144,0.05
4,2,-0.000429,-0.002174,0.005964,0.11575
4,3,0.001696,-0.002916,0.006229,0.5465
5,0,-0.00849,0.006899,0.027339,0.0
5,1,-0.005363,0.007588,0.028473,0.00025
5,2,0.021567,0.007136,0.027164,0.80675
5,3,-0.004159,-0.000921,0.015403,0.001
5,4,0.000488,-0.002602,0.00618,0.26025
6,0,-0.002655,0.003409,0.019236,0.0005
6,1,0.002199,0.002497,0.016804,0.017
6,2,0.012195,0.003088,0.018908,0.588
6,3,-0.0033,-0.001434,0.014185,0.00975
6,4,-0.000457,-0.002565,0.006134,0.14325
6,5,0.018505,0.001494,0.017801,0.976
7,0,0.000429,-0.001161,0.005591,0.14575
7,1,-0.000695,-0.001534,0.004402,0.06525
7,2,0.001563,-0.001312,0.005148,0.37325
7,3,-0.001121,-0.002606,0.006798,0.08225
7,4,0.002937,-0.002069,0.004257,0.88875
7,5,0.001911,-0.001853,0.005714,0.45675
7,6,0.005507,-0.001025,0.007394,0.872
8,0,-0.00383,0.000591,0.019268,0.003
8,1,-0.015767,0.003601,0.024572,0.0
8,2,0.005025,0.000318,0.018179,0.15575
8,3,-0.002629,-0.00295,0.011245,0.037
8,4,0.00227,-0.002698,0.004784,0.75575
8,5,0.014491,0.000319,0.020318,0.79375
8,6,0.00633,-0.002323,0.011429,0.68725
8,7,0.000585,-0.002328,0.003726,0.435
9,0,-0.008237,-0.00272,0.016742,0.00225
9,1,-0.009762,-0.001274,0.018067,0.0
9,2,0.007238,-0.002256,0.016127,0.504
9,3,-0.000752,-0.004883,0.012464,0.17325
9,4,0.003732,-0.004023,0.005877,0.8455
9,5,0.009768,-0.002417,0.017844,0.702
9,6,0.002037,-0.003898,0.013123,0.25375
9,7,-0.000802,-0.003209,0.006152,0.1805
9,8,0.056903,-0.004126,0.016694,1.0
10,0,-0.000352,0.00133,0.021444,0.01325
10,1,-0.013681,0.002375,0.022432,0.0
10,2,-0.002105,0.001978,0.021013,0.003
10,3,-0.008393,-0.003248,0.013956,0.00125
10,4,-0.001599,-0.003567,0.006108,0.1005
10,5,0.003565,0.000709,0.021041,0.0725
10,6,0.013242,-0.0,0.017027,0.88075
10,7,-0.00163,-0.002231,0.006649,0.0525
10,8,0.050343,-0.0016,0.018448,1.0
10,9,0.023135,-0.004402,0.016007,0.9995
11,0,-0.001552,-0.001683,0.00619,0.023
11,1,-0.000827,-0.001397,0.005236,0.0515
11,2,-0.003406,-0.001041,0.006477,0.00025
11,3,-0.000738,-0.002411,0.007547,0.1045
11,4,0.002453,-0.002191,0.004606,0.79675
11,5,-0.00242,-0.00226,0.006271,0.01875
11,6,-0.004078,-0.001721,0.007885,0.0025
11,7,-0.002315,-0.00205,0.00516,0.01025
11,8,-0.000661,-0.002461,0.004368,0.1765
11,9,-0.002023,-0.00431,0.006334,0.10525
11,10,-0.000554,-0.002787,0.007139,0.16775
12,0,-0.002733,-0.001546,0.005261,0.0045
12,1,-0.000474,-0.001559,0.004283,0.107
12,2,-0.002636,-0.001569,0.004953,0.004
12,3,-0.002297,-0.00256,0.00602,0.02875
12,4,0.003022,-0.002118,0.004067,0.909
