name	Mean	MCSE	StdDev	5%	50%	95%	N_Eff	N_Eff/s	R_hat
theta[1,1]	-0.697	0.00638	0.428	-1.47	-0.666	-0.0578	4510.0	2.94	1.0
theta[2,1]	-1.11	0.00958	0.657	-2.28	-1.06	-0.114	4707.0	3.07	0.999
theta[3,1]	-0.157	0.0113	0.888	-1.7	-0.112	1.22	6185.0	4.03	1.0
theta[1,2]	-0.175	0.00571	0.344	-0.763	-0.159	0.359	3622.0	2.36	1.0
theta[2,2]	0.464	0.0071	0.483	-0.318	0.457	1.26	4621.0	3.01	1.0
theta[3,2]	-0.199	0.0114	0.842	-1.67	-0.133	1.11	5470.0	3.56	1.0
theta[1,3]	1.48	0.00341	0.237	1.07	1.48	1.86	4821.0	3.14	1.0
theta[2,3]	-0.614	0.00621	0.463	-1.36	-0.62	0.15	5567.0	3.63	1.0
theta[3,3]	-0.6	0.0106	0.742	-1.91	-0.537	0.5	4859.0	3.17	0.999
theta[1,4]	-0.124	0.00495	0.329	-0.702	-0.103	0.397	4418.0	2.88	1.0
theta[2,4]	1.33	0.00654	0.508	0.497	1.32	2.16	6014.0	3.92	0.999
theta[3,4]	1.5	0.00724	0.487	0.675	1.53	2.27	4519.0	2.95	1.0
theta[1,5]	1.35	0.00369	0.243	0.944	1.34	1.74	4341.0	2.83	1.0
theta[2,5]	1.16	0.00687	0.515	0.316	1.16	2.02	5631.0	3.67	0.999
theta[3,5]	-0.55	0.0103	0.74	-1.84	-0.49	0.56	5205.0	3.39	0.999
theta[1,6]	-0.674	0.00655	0.433	-1.43	-0.651	-0.0212	4369.0	2.85	1.0
theta[2,6]	0.725	0.00681	0.51	-0.0836	0.724	1.59	5601.0	3.65	0.999
theta[3,6]	-0.156	0.0119	0.906	-1.68	-0.124	1.27	5762.0	3.76	0.999
theta[1,7]	0.989	0.00347	0.252	0.57	0.989	1.4	5292.0	3.45	0.999
