"","f1","f2"
"x1",0.346295712562098,0.674078375438146
"x2",0.389246047548066,0.651529556023428
"x3",0.265989102977203,0.732940297929665
"x4",0.223923671363672,0.571267001585481
"x5",0.200690697764029,0.44469718084749
"x6",0.276778178250244,0.678409505035663
"x9",0.112554388374781,0.462522837859556
"x12",0.0154114559547198,0.829229580138821
"x13",-0.00919117802325742,0.80588348881062
"x15",0.270266051085313,0.561493135093187
"x17",-0.0714278574853691,0.920639832842537
"x18",-0.116718023373518,0.984390201421897
"x19",0.294833063716574,0.330915307356997
"x21",0.164035629654452,0.605427543993124
"x24",0.182620288657383,0.567748432605718
"x26",0.817670951177211,0.0205053645164296
"x27",0.921187607927055,-0.0785666909993919
"x28",0.705813271601442,0.019278840515445
"x29",0.718174175303456,-0.073505651993368
"x30",0.745461459651068,-0.00894820279193759
"x31",0.659953394280089,0.149592059605269
"x32",0.627562975613717,0.133185716766692
"x33",0.625394650129308,0.0496131513168111
"x36",0.487208387026789,0.133833356882424
"x38",0.257421482200633,0.540351175856349
"x39",0.246834729529937,0.462203064685248
"x40",0.387137271278147,0.485777165924645
"x41",0.259205445193294,0.610405889786633
"x42",-0.183972151539623,0.436173873562122
"x43",-0.213063948281086,0.578757913973206
"x44",-0.23385566093364,0.861036527948154
"x45",-0.356114274202814,0.897711241992995
"x46",0.239228295771882,0.678449835863476
"x47",0.339293374736069,0.632950178085562
"x48",0.229308031436179,0.428935536767958
"x49",0.27074806216878,0.433831233022175
"x50",0.355654611620295,0.278394577521256
"x51",-0.195541781367775,0.761194543247848
"x52",-0.118838369170422,0.819865607123389
