"","f1","f2"
"x1",0.351801153918561,0.667937972139932
"x2",0.394791942616352,0.644819727126064
"x3",0.271519970876951,0.727834349117525
"x4",0.228302931580499,0.567051379263546
"x5",0.20420834266112,0.441040768164951
"x6",0.282023497792725,0.673248974024095
"x9",0.11581688439094,0.460086407547378
"x12",0.0204929196838003,0.827509564512104
"x13",-0.0043523246051842,0.804555290410221
"x15",0.274777042425208,0.556636767786506
"x17",-0.0661509118912022,0.919988170967858
"x18",-0.111241842474604,0.984266627822787
"x19",0.298049927539866,0.32612727486936
"x21",0.168374939560664,0.602000980759192
"x24",0.186808134910651,0.564126022266232
"x26",0.821162887428352,0.00885069215577669
"x27",0.924506389001668,-0.0915128013647824
"x28",0.708837062539016,0.00921567394800509
"x29",0.720687404162191,-0.0835764876917521
"x30",0.74847774219489,-0.0195235991494452
"x31",0.663576871336165,0.139944585633745
"x32",0.630953760853251,0.124028147540864
"x33",0.628270774722501,0.04063767059201
"x36",0.490024994218812,0.126668787945049
"x38",0.26175163079007,0.535715576103321
"x39",0.250648368829164,0.457859344129932
"x40",0.391671449307681,0.47939733905312
"x41",0.2639668695953,0.6056181322294
"x42",-0.182090446635917,0.437998219399438
"x43",-0.21043923687836,0.580737497473789
"x44",-0.229608410878534,0.862800549465446
"x45",-0.352148654233559,0.901145939099173
"x46",0.244319197661794,0.673822744491476
"x47",0.344521092119406,0.626983713838872
"x48",0.232848166604024,0.424901057309513
"x49",0.274488507656419,0.429199107234831
"x50",0.358804166168551,0.27283745768695
"x51",-0.191740905002292,0.762594928320985
"x52",-0.114366523099506,0.820069977409753
