"","f1","f2"
"x1",0.569308360173351,0.432750526120225
"x2",0.63112567785643,0.404949549836193
"x3",0.563786904214847,0.453544391255469
"x4",0.45175194540747,0.377045469517055
"x5",0.346490539071725,0.324844878789634
"x6",0.524498513843505,0.462912508943
"x9",0.323228754230536,0.260231142818374
"x12",0.348224003276875,0.531296558567687
"x13",0.291475572859587,0.507188476399757
"x15",0.445735790398107,0.349215140187305
"x17",0.235021147991777,0.658904647162446
"x18",0.263952585726791,0.723747164841462
"x19",0.388904375297422,0.215858738695044
"x21",0.374912899293248,0.444593435348781
"x24",0.402923604968162,0.332635695720078
"x26",0.836863230533854,-0.205218310030887
"x27",0.915018417988001,-0.285357834588457
"x28",0.729291614807271,-0.203040041650791
"x29",0.677061193642336,-0.239667533804599
"x30",0.722191460355761,-0.115560466590296
"x31",0.577609738718641,0.0642968344633747
"x32",0.582482248884741,0.0455788852169939
"x33",0.600906478683483,-0.00483946623611923
"x36",0.472660879965847,0.0990853668154034
"x38",0.447249742829835,0.437677648679314
"x39",0.419076407204425,0.309704515979981
"x40",0.572034788163941,0.214902817998924
"x41",0.486602468639441,0.38220078839299
"x42",-0.238131890142319,0.895603017700399
"x43",-0.188103841945611,0.875342820734814
"x44",-0.117581824943288,0.905819211371964
"x45",-0.185157804796708,0.83164859649015
"x46",0.344679264109071,0.517285252503244
"x47",0.333210968731026,0.515713551690665
"x48",0.455451467158854,0.262031114376253
"x49",0.488845039826455,0.204674891009869
"x50",0.498800510904095,0.0679292012809879
"x51",-0.0373840607683481,0.890008191450089
"x52",0.0885620515724048,0.866282058086998
