"","f1","f2","f3"
"x1",0.708074177471501,0.216273228444803,0.101721032853131
"x2",0.662604070264011,0.274292740061367,0.127968901981938
"x3",0.808215620426316,0.106121922543899,0.0475836520705392
"x4",0.522832713165862,0.13628127801057,0.18619457978585
"x5",0.398819754393849,0.144785226857905,0.147482737228266
"x6",0.850387745706275,0.0920441795597266,-0.0853169025464566
"x9",0.55800346988281,-0.0115845831410195,-0.0118013630339288
"x12",0.600742076420037,-0.0803234268003825,0.436131998392689
"x13",0.536651963818944,-0.083212583343659,0.467599906249092
"x15",0.776049171935978,0.0978412278563709,-0.171471601006661
"x17",0.590030662092381,-0.168933808042529,0.540294879304585
"x18",0.590228676864073,-0.219249175054939,0.616090913274784
"x19",0.214062627729722,0.277763116869342,0.222654786603217
"x21",0.815006134782209,-0.0376292373216332,-0.137807928335168
"x24",0.794907574198967,-0.0160615089944183,-0.15819021430968
"x26",0.119520393056534,0.797764007460896,-0.0627832750137006
"x27",0.134755675368122,0.880053034550668,-0.210792866298516
"x28",0.213358329960092,0.654880005803541,-0.187984540387487
"x29",0.0901128676956391,0.698384673063328,-0.174135260636486
"x30",-0.140945562873329,0.788860362613227,0.208698549653309
"x31",0.0732757604048426,0.648514074809383,0.182516755621728
"x32",-0.0135955977708295,0.630283758047137,0.267877816862571
"x33",-0.0845354328883635,0.657931686904106,0.215268890395638
"x36",-0.0484156316229367,0.523403891453848,0.270384336334394
"x38",0.401683926448927,0.198953782893798,0.299609554898401
"x39",0.454807159244895,0.149707208442223,0.138695779913794
"x40",0.440245716745461,0.321739703748561,0.174350239496015
"x41",0.521963171444237,0.176269109341581,0.246925370683167
"x42",-0.298867156849654,0.144059004342194,0.682943849317247
"x43",-0.209621957023866,0.0862739781549375,0.794175655379583
"x44",0.0697333138114863,0.00143184021473797,0.856657619060617
"x45",0.0946414260835566,-0.0831928935174575,0.842348503529823
"x46",0.308781266659502,0.261365239751273,0.53503926427245
"x47",0.336223487591839,0.349150678526689,0.449278377661128
"x48",0.387842878026545,0.154376625755628,0.166208851808025
"x49",0.481105908500953,0.162904550643411,0.0672888937733248
"x50",0.341503132814661,0.279164353183067,0.0181862671908406
"x51",-0.0373327091983826,0.056351373706256,0.851351832919856
"x52",0.132868125378325,0.0801252655877182,0.77643878907989
