"","f1","f2","f3"
"x1",0.656366899916033,0.267161764703596,0.152073977237305
"x2",0.610065614695604,0.323516302332548,0.173183969459885
"x3",0.757488838750838,0.16102392734229,0.108734476083198
"x4",0.48132711533246,0.174627576535958,0.225408337384845
"x5",0.365307297475402,0.174806406430489,0.17616110542831
"x6",0.803003827372651,0.148031204684954,-0.0219239428615451
"x9",0.528109444899289,0.02436565122526,0.032595886862914
"x12",0.554045545576233,-0.0380382906116549,0.491297410503013
"x13",0.492401906203972,-0.044810474237313,0.518149756231922
"x15",0.735846740142486,0.148181675509947,-0.115147143191084
"x17",0.543488435569376,-0.127785470773575,0.598637700298273
"x18",0.542787676271615,-0.178161267896822,0.67692835898419
"x19",0.182515997014612,0.29889135922607,0.233356799834345
"x21",0.776808397767741,0.0132372394611517,-0.0737043166188282
"x24",0.757735147438949,0.0336582668760301,-0.096599428521887
"x26",0.0832432293423392,0.818789742017199,-0.0794025836181586
"x27",0.100013037136781,0.901933826579114,-0.230539762814202
"x28",0.182456296716801,0.678183658784914,-0.194089897184373
"x29",0.0637345993219935,0.714581970642349,-0.1912171675397
"x30",-0.172910458448878,0.795679376758266,0.174898460125941
"x31",0.0361324260720786,0.66653315613582,0.169828106377424
"x32",-0.0484876922644894,0.643243210973094,0.249883724811256
"x33",-0.114601306003495,0.666203018239337,0.190170466439663
"x36",-0.0771821281834948,0.532261011374148,0.253059631851961
"x38",0.359990493103165,0.231721668773541,0.328559709001146
"x39",0.418342609160076,0.183360918682699,0.171547136791856
"x40",0.396295816691394,0.357827449144722,0.200996404709228
"x41",0.476564157942606,0.215901513617364,0.285504781378598
"x42",-0.314393393226018,0.13439372777813,0.662640543472274
"x43",-0.232025025993588,0.0825834130253185,0.784063905328273
"x44",0.0329164616951866,0.0150859122419502,0.872078439140518
"x45",0.060402731594432,-0.0695481857862855,0.862263765229265
"x46",0.260663526202457,0.291682014434237,0.557386549502701
"x47",0.286353824646554,0.381872963952089,0.470012387875978
"x48",0.353831406514064,0.184050365196091,0.193931047067076
"x49",0.4454013756536,0.197740184460066,0.100973309466447
"x50",0.310717449734831,0.306431462150494,0.0365565670700862
"x51",-0.0702425416641965,0.0639467959834757,0.856491567711092
"x52",0.0924811961912599,0.0984055209098358,0.793424680018934
