"","f1","f2","f3"
"x1",0.677501310796409,0.293389088900782,-0.000857251677827207
"x2",0.627120369914333,0.35737163339048,0.00933044743297709
"x3",0.786462457742944,0.172252884071379,-0.0248538971802857
"x4",0.511154697500818,0.20439383969263,0.108830627165984
"x5",0.385072752805001,0.201347942698573,0.0765821608119207
"x6",0.820383080147207,0.143356886335079,-0.146015254061808
"x9",0.550671641412619,0.0204707559491462,-0.0346476523206726
"x12",0.633452507021608,0.00190938624191715,0.397461814016958
"x13",0.572886049573057,-0.00142770363920039,0.430516025535386
"x15",0.740238265490897,0.134685194169973,-0.223841753277808
"x17",0.641644803735548,-0.0833334230418902,0.51937094194555
"x18",0.653671080479481,-0.129333602342256,0.603710136037204
"x19",0.191279052069236,0.344813983681554,0.117729730131809
"x21",0.798374388858313,-0.00739331279547908,-0.156444304326231
"x24",0.774352701485832,0.0125479130056081,-0.180415553042983
"x26",0.0112227115471944,0.87469705600404,-0.288312311303574
"x27",0.0051807979585314,0.947985310124971,-0.44926956048242
"x28",0.113107158451182,0.708678974319065,-0.36861129215464
"x29",-0.012961082733283,0.750421248745871,-0.362063548719542
"x30",-0.225074871783505,0.881613195670054,-0.0217902735025996
"x31",0.00218896134687856,0.737818344213879,-0.0169187622393832
"x32",-0.0750367780299981,0.722762158906995,0.0714635300622783
"x33",-0.152243123701301,0.742321203774987,0.0183941720440921
"x36",-0.0954987977705691,0.603694865579097,0.105530612638243
"x38",0.391779773709005,0.279327966034834,0.202095683588758
"x39",0.439004982497662,0.209154865525826,0.0643532410912236
"x40",0.405164631022967,0.40122551691611,0.0496896050590684
"x41",0.509497307182384,0.255537694258182,0.153869357891151
"x42",-0.26447117271517,0.222044305778807,0.606418715491396
"x43",-0.161194328696048,0.177659829493617,0.721371828360983
"x44",0.129472289298038,0.109496077956201,0.78959618876472
"x45",0.163839955010628,0.0165053367092051,0.798942625361533
"x46",0.308957430242036,0.370483476955689,0.407069241976432
"x47",0.318671019107342,0.458084578519842,0.301625807052566
"x48",0.374356598537631,0.213450468083428,0.0917577207155343
"x49",0.458160486667288,0.21662298074519,-0.00676176314224958
"x50",0.302178415904783,0.329525574484745,-0.0781884463793556
"x51",0.0165288117778004,0.162443361541007,0.774411108565944
"x52",0.175926322525589,0.190009877969319,0.690117161409007
