"","f1","f2","f3"
"x1",0.763978180255829,0.0826278062882687,0.0435604005259056
"x2",0.735420618247111,0.177362393786961,0.0407597791695869
"x3",0.866135597347839,-0.00637884897213201,-0.0137697441720086
"x4",0.585242252665906,0.0840599848340798,0.099533438050629
"x5",0.390431981587512,0.108178618306387,0.164631583767641
"x6",0.871926175814487,-0.0621516232827476,-0.00380980081577732
"x9",0.560008755296505,-0.0439728954677466,-0.0403079746878104
"x12",0.348633105552328,0.151473643450438,0.425331973086205
"x13",0.329959623428627,0.0979419634186693,0.404539398542805
"x15",0.768461014154977,-0.0713541571172636,-0.0795144793401976
"x17",0.317149072671724,0.0457149403768468,0.567916267618455
"x18",0.343269391026018,0.0577853634203345,0.629356823653673
"x19",0.248849803121659,0.245907378756412,0.156329248595245
"x21",0.754731537867151,-0.142382433754368,0.0454626376213019
"x24",0.67495333814326,-0.0471618104674879,-0.0221909850797581
"x26",0.0882778630381038,0.798041927555275,-0.0995790671147666
"x27",0.0908917287964879,0.876654630342756,-0.180346232111236
"x28",0.138413402097718,0.667155455251619,-0.175963911226052
"x29",0.0527824438636158,0.670086646181752,-0.168160103451075
"x30",-0.133352341837814,0.819649325752605,0.146820513393587
"x31",-0.00939890562214534,0.603253050080939,0.220482462108167
"x32",-0.0275714755149878,0.622775011031772,0.210399996022536
"x33",-0.0618317748113551,0.651246414674381,0.193381647817961
"x36",0.0272533720149704,0.482555123401559,0.198565461455134
"x38",0.429692887567819,0.2053264585213,0.277009902638041
"x39",0.401969522703855,0.183364396512329,0.148715012372061
"x40",0.503715793569994,0.27345648576321,-0.00937438452794703
"x41",0.466963187661968,0.214853628685551,0.197046705132461
"x42",-0.161366837466231,-0.018135038815816,0.957765359630887
"x43",-0.0617593268174869,-0.0441357632764804,0.898123920356578
"x44",0.0770707898652579,-0.0880093983658852,0.87692742370196
"x45",0.0887870754027308,-0.190258955407444,0.796771639929978
"x46",0.406890669101082,0.109648238215037,0.366749433202501
"x47",0.407463686739293,0.091666509166699,0.366243280032836
"x48",0.477295717148408,0.165149858134704,0.0463554225396049
"x49",0.470265603314988,0.202299563615368,-0.00574464852303981
"x50",0.334398737591843,0.303087075045348,-0.0605837268761871
"x51",-0.00109920409065334,0.0787317668855748,0.892110475687893
"x52",0.10780813130006,0.137171453213381,0.829410772320046
