name	Mean	MCSE	StdDev	5%	50%	95%	N_Eff	N_Eff/s	R_hat
lp__	-19000.0	0.18	7.1	-19000.0	-19000.0	-19000.0	1600.0	3.7	1.0
tau_pr[1]	2.3	0.0015	0.11	2.1	2.3	2.4	4728.0	11.0	1.0
tau_pr[2]	1.4	0.00092	0.065	1.3	1.4	1.6	4929.0	12.0	1.0
tau_pr[3]	2.3	0.0015	0.11	2.2	2.3	2.5	5363.0	13.0	1.0
tau_pr[4]	6.2	0.0062	0.39	5.6	6.2	6.9	4059.0	9.5	1.0
tau_pr[5]	29.0	0.051	3.6	24.0	29.0	36.0	4826.0	11.0	1.0
tau_pr[6]	26.0	0.081	3.6	21.0	26.0	33.0	1993.0	4.7	1.0
tau_pr[7]	8.0	0.026	1.2	6.3	7.9	10.0	1957.0	4.6	1.0
tau_pr[8]	4.1	0.014	0.61	3.1	4.0	5.1	1979.0	4.6	1.0
tau_pr[9]	3.4	0.0051	0.25	3.0	3.4	3.9	2448.0	5.7	1.0
tau_pr[10]	2.5	0.0039	0.2	2.2	2.5	2.9	2517.0	5.9	1.0
tau_pr[11]	2.4	0.0038	0.19	2.1	2.4	2.7	2486.0	5.8	1.0
tau_pr[12]	25.0	0.042	2.8	21.0	25.0	30.0	4361.0	10.0	1.0
tau_pr[13]	71.0	0.23	13.0	52.0	70.0	93.0	3089.0	7.2	1.0
tau_pr[14]	1.3	0.0055	0.31	0.82	1.2	1.8	3238.0	7.6	1.0
tau_pr[15]	40.0	0.14	7.0	30.0	39.0	52.0	2394.0	5.6	1.0
tau_pr[16]	13.0	0.047	2.3	9.7	13.0	17.0	2446.0	5.7	1.0
tau_pr[17]	58.0	0.16	11.0	42.0	56.0	77.0	4514.0	11.0	1.0
tau_pr[18]	89.0	0.31	19.0	63.0	86.0	122.0	3584.0	8.4	1.0
tau_pr[19]	28.0	0.061	3.3	23.0	27.0	33.0	2994.0	7.0	1.0
tau_pr[20]	2.2	0.0058	0.32	1.8	2.2	2.8	3020.0	7.1	1.0
tau_pr[21]	42.0	0.14	6.2	33.0	41.0	53.0	2063.0	4.8	1.0
tau_pr[22]	3.8	0.014	0.63	2.8	3.7	4.9	2164.0	5.1	1.0
tau_pr[23]	1.1	0.0047	0.23	0.8	1.1	1.5	2353.0	5.5	1.0
tau_pr[24]	39.0	0.11	5.5	31.0	39.0	49.0	2322.0	5.4	1.0
tau_pr[25]	3.1	0.01	0.5	2.4	3.0	4.0	2505.0	5.9	1.0
tau_pr[26]	0.69	0.00046	0.032	0.64	0.69	0.74	4751.0	11.0	1.0
tau_pr[27]	0.54	0.00038	0.025	0.5	0.54	0.58	4282.0	10.0	1.0
tau_pr[28]	1.1	0.00068	0.047	1.0	1.1	1.2	4714.0	11.0	1.0
tau_pr[29]	1.1	0.00071	0.049	1.1	1.1	1.2	4809.0	11.0	1.0
tau_pr[30]	3.6	0.0027	0.19	3.3	3.6	3.9	4702.0	11.0	1.0
tau_pr[31]	15.0	0.019	1.4	13.0	15.0	18.0	4896.0	11.0	1.0
tau_pr[32]	8.1	0.0083	0.57	7.3	8.1	9.1	4638.0	11.0	1.0
tau_pr[33]	24.0	0.068	3.1	19.0	23.0	29.0	2120.0	5.0	1.0
tau_pr[34]	8.0	0.024	1.1	6.3	7.9	9.9	2162.0	5.1	1.0
tau_pr[35]	2.9	0.0092	0.43	2.2	2.8	3.6	2229.0	5.2	1.0
tau_pr[36]	12.0	0.019	1.1	11.0	12.0	14.0	3519.0	8.2	1.0
tau_pr[37]	0.39	0.0011	0.062	0.29	0.38	0.49	3451.0	8.1	1.0
tau_pr[38]	3.6	0.0026	0.18	3.3	3.6	3.9	4834.0	11.0	1.0
tau_pr[39]	2.3	0.0015	0.1	2.1	2.3	2.4	4575.0	11.0	1.0
tau_pr[40]	1.3	0.0008	0.055	1.2	1.3	1.4	4731.0	11.0	1.0
tau_pr[41]	3.2	0.0023	0.16	2.9	3.2	3.5	5210.0	12.0	1.0
tau_pr[42]	45.0	0.097	6.7	35.0	44.0	57.0	4723.0	11.0	1.0
tau_pr[43]	22.0	0.038	2.3	19.0	22.0	26.0	3635.0	8.5	1.0
tau_pr[44]	32.0	0.062	4.1	26.0	32.0	39.0	4523.0	11.0	1.0
tau_pr[45]	43.0	0.091	6.2	34.0	42.0	54.0	4680.0	11.0	1.0
tau_pr[46]	17.0	0.025	1.6	14.0	17.0	20.0	4266.0	10.0	1.0
tau_pr[47]	26.0	0.045	3.0	22.0	26.0	32.0	4509.0	11.0	1.0
tau_pr[48]	2.0	0.0013	0.089	1.8	2.0	2.1	4686.0	11.0	1.0
tau_pr[49]	1.7	0.001	0.073	1.6	1.7	1.8	4850.0	11.0	1.0
tau_pr[50]	2.3	0.0015	0.11	2.1	2.3	2.5	4955.0	12.0	1.0
tau_pr[51]	9.6	0.011	0.72	8.5	9.6	11.0	4686.0	11.0	1.0
tau_pr[52]	8.4	0.009	0.59	7.4	8.4	9.4	4308.0	10.0	1.0
tau_pr[53]	17.0	0.23	17.0	0.92	12.0	50.0	5311.0	12.0	1.0
tau_pr[54]	16.0	0.22	16.0	0.8	11.0	47.0	5634.0	13.0	1.0
tau_pr[55]	16.0	0.23	16.0	0.82	11.0	48.0	5037.0	12.0	1.0
tau_pr[56]	16.0	0.24	17.0	0.71	11.0	49.0	4759.0	11.0	1.0
tau_pr[57]	16.0	0.23	17.0	0.78	11.0	50.0	5444.0	13.0	1.0
tau_pr[58]	16.0	0.22	15.0	0.92	11.0	46.0	5086.0	12.0	1.0
tau_pr[59]	16.0	0.23	17.0	0.83	11.0	49.0	5225.0	12.0	1.0
tau_pr[60]	17.0	0.24	17.0	0.88	11.0	51.0	5098.0	12.0	1.0
tau_pr[61]	16.0	0.23	16.0	0.88	11.0	49.0	5151.0	12.0	1.0
tau_pr[62]	17.0	0.23	17.0	0.77	11.0	50.0	5602.0	13.0	1.0
tau_pr[63]	16.0	0.21	16.0	0.88	11.0	47.0	5674.0	13.0	1.0
tau_pr[64]	16.0	0.24	17.0	0.76	11.0	49.0	4795.0	11.0	1.0
tau_pr[65]	17.0	0.22	17.0	0.83	12.0	49.0	6018.0	14.0	1.0
tau_pr[66]	16.0	0.24	16.0	0.84	11.0	46.0	4538.0	11.0	1.0
tau_pr[67]	16.0	0.22	17.0	0.91	11.0	49.0	5578.0	13.0	1.0
tau_pr[68]	16.0	0.23	17.0	0.75	11.0	49.0	5636.0	13.0	1.0
tau_pr[69]	16.0	0.23	16.0	0.88	11.0	47.0	5141.0	12.0	1.0
tau_pr[70]	17.0	0.23	17.0	0.84	12.0	48.0	5374.0	13.0	1.0
tau_pr[71]	17.0	0.23	17.0	0.93	12.0	50.0	5510.0	13.0	1.0
tau_pr[72]	16.0	0.24	17.0	0.74	11.0	49.0	5107.0	12.0	1.0
tau_pr[73]	16.0	0.24	17.0	0.83	11.0	51.0	5135.0	12.0	1.0
tau_pr[74]	16.0	0.23	17.0	0.78	11.0	49.0	5019.0	12.0	1.0
tau_pr[75]	16.0	0.22	16.0	0.79	11.0	49.0	5513.0	13.0	1.0
tau_pr[76]	17.0	0.23	17.0	0.85	11.0	51.0	5286.0	12.0	1.0
tau_pr[77]	16.0	0.23	17.0	0.69	11.0	51.0	5553.0	13.0	1.0
tau_pr[78]	16.0	0.22	17.0	0.88	11.0	48.0	5606.0	13.0	1.0
tau_pr[79]	17.0	0.23	17.0	0.82	12.0	51.0	5430.0	13.0	1.0
tau_pr[80]	17.0	0.22	17.0	1.1	12.0	49.0	5698.0	13.0	1.0
tau_pr[81]	17.0	0.23	17.0	0.85	11.0	51.0	5490.0	13.0	1.0
tau_pr[82]	16.0	0.22	17.0	0.81	11.0	49.0	5381.0	13.0	1.0
tau_pr[83]	16.0	0.23	16.0	0.89	11.0	49.0	5239.0	12.0	1.0
tau_pr[84]	16.0	0.22	16.0	0.9	12.0	49.0	5388.0	13.0	1.0
tau_pr[85]	17.0	0.24	18.0	0.83	11.0	53.0	5592.0	13.0	1.0
tau_pr[86]	17.0	0.22	17.0	0.76	11.0	50.0	5684.0	13.0	1.0
tau_pr[87]	16.0	0.22	16.0	0.99	12.0	48.0	5245.0	12.0	1.0
tau_pr[88]	16.0	0.23	17.0	0.9	11.0	49.0	5012.0	12.0	1.0
tau_pr[89]	17.0	0.23	17.0	0.88	11.0	50.0	5229.0	12.0	1.0
tau_pr[90]	16.0	0.22	16.0	0.83	12.0	48.0	5275.0	12.0	1.0
tau_pr[91]	17.0	0.23	17.0	0.7	12.0	50.0	5579.0	13.0	1.0
