sample,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52
0,49,36,74,71,65,71,77,69,62,51,38,43,43,33,33,32,37,19,24,19,20,16,12,13,15,5,5,1,2,1,2,3,2,0,1,1,0,1,1,1,2,0,0,0,0,1,0,0,0,0,0,0,0
1,25,33,72,84,77,79,55,66,70,60,57,42,34,43,32,36,21,20,23,20,16,15,20,10,12,3,2,9,2,0,2,2,1,1,0,2,1,0,0,0,2,1,0,0,0,1,0,0,0,0,0,0,0
2,26,48,70,78,78,64,72,73,59,41,54,47,33,37,33,36,25,32,24,18,17,22,17,6,9,3,5,4,4,2,1,2,2,1,1,2,0,2,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0
3,24,59,73,80,81,65,61,70,57,48,43,45,38,45,28,33,28,25,18,21,21,18,13,9,6,10,7,5,3,2,3,4,2,2,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
4,26,50,71,60,80,71,68,67,73,53,45,35,48,43,41,24,24,25,25,26,18,17,12,12,7,5,2,5,2,4,0,3,1,2,1,0,0,2,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
5,34,47,78,78,68,62,83,65,51,55,59,45,40,27,27,33,31,29,24,20,15,17,12,10,6,10,3,7,0,5,4,0,2,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0
6,32,55,61,58,68,85,80,57,58,69,48,46,41,31,34,37,25,30,20,19,17,15,12,16,4,3,6,8,2,4,2,2,0,0,1,0,1,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0
7,34,50,80,66,80,85,65,50,55,61,44,46,40,39,28,24,21,26,26,16,18,17,14,17,3,8,8,2,2,5,2,5,6,3,0,2,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0
8,40,55,68,77,69,63,68,57,67,58,44,43,38,41,32,33,27,21,21,24,21,16,7,9,11,4,9,5,6,4,0,1,1,2,3,3,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0
9,27,56,64,75,80,81,52,70,58,54,38,46,39,32,37,39,27,23,16,27,14,21,10,16,10,8,6,3,4,4,0,1,3,0,2,1,0,3,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0
10,38,63,54,78,65,77,71,53,63,49,38,37,43,35,50,39,26,22,22,20,22,15,15,11,10,6,4,3,3,3,1,4,1,3,2,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,23,47,75,76,69,84,65,71,57,49,42,39,33,38,47,32,24,25,30,18,16,16,12,9,15,9,7,4,7,0,3,2,0,3,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0
12,28,53,60,69,70,87,75,53,48,56,51,45,38,45,32,31,29,28,25,19,17,14,8,15,10,14,6,2,6,6,1,3,2,0,1,2,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
13,30,42,64,64,89,74,65,70,57,53,48,42,46,41,37,34,26,26,18,19,17,20,11,13,8,6,5,5,5,1,3,2,2,1,0,1,1,0,3,0,0,1,0,0,1,0,0,0,0,0,0,0,0
14,32,52,71,88,68,69,73,75,56,44,51,46,42,26,26,28,19,25,31,26,11,12,17,13,11,6,3,6,4,1,4,1,2,2,3,1,3,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
15,32,42,68,66,84,78,67,52,56,49,54,54,40,41,28,34,28,32,25,18,12,16,15,12,8,8,5,4,4,4,5,3,0,1,0,0,1,0,1,1,0,0,3,0,0,0,0,0,0,0,0,0,0
16,24,52,82,69,70,73,63,59,54,63,48,51,39,41,38,26,24,32,20,17,23,15,14,10,5,6,11,3,3,1,5,0,1,2,2,1,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
17,34,57,58,71,67,80,59,58,61,49,45,46,48,41,32,34,20,33,32,22,23,12,13,10,5,11,5,4,5,3,1,2,0,4,0,2,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
18,24,58,63,67,78,69,76,58,62,50,50,45,41,26,40,29,23,29,34,22,16,20,15,5,12,10,3,4,6,3,2,1,2,1,0,1,3,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0
19,25,67,73,75,56,78,57,62,66,55,38,52,35,48,35,23,32,32,24,17,21,7,13,17,11,8,4,5,1,1,1,1,2,0,0,0,2,0,4,0,0,1,1,0,0,0,1,0,0,0,0,0,0
20,24,45,69,63,72,91,80,71,52,50,42,47,44,31,33,37,21,29,22,26,16,10,12,12,13,11,4,4,5,2,1,3,2,0,3,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
21,30,51,74,71,81,69,69,66,51,44,53,40,32,36,38,29,31,28,25,24,11,12,17,16,16,5,10,1,3,4,5,1,0,1,0,1,2,1,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0
22,18,68,71,69,62,77,80,63,65,52,38,41,31,31,37,36,27,33,20,27,15,14,18,11,8,4,11,7,4,1,2,2,0,1,1,1,1,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0
23,32,48,67,76,83,70,72,56,61,64,35,47,44,25,23,38,38,25,27,17,13,19,18,11,5,8,5,2,3,3,5,0,1,0,1,0,2,1,2,1,1,0,0,0,0,1,1,0,0,0,0,0,0
24,27,51,61,78,80,67,77,66,57,49,49,49,42,38,32,26,27,27,25,21,13,13,15,11,14,7,3,1,7,3,3,3,4,0,3,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
25,25,58,72,72,87,80,61,67,68,47,49,42,33,25,29,34,26,36,23,18,21,9,8,13,10,7,4,3,5,6,0,2,1,0,2,0,1,2,2,1,0,0,0,1,1,0,0,0,0,0,0,0,0
26,18,58,62,75,91,70,61,67,53,51,66,47,27,52,36,24,28,27,15,26,20,13,9,9,10,3,5,8,4,3,4,0,2,1,0,2,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
27,33,50,70,65,70,85,58,59,67,51,50,45,32,42,36,35,26,26,19,26,21,16,11,9,8,9,4,5,4,4,3,2,2,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
28,26,54,61,81,80,79,73,54,62,47,44,46,37,37,26,37,38,27,23,19,12,20,12,13,5,5,9,5,4,3,1,3,1,0,2,2,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
