	Mean	MCSE	StdDev	5%	50%	95%	N_Eff	N_Eff/s	R_hat
theta[1,1]	-1.1	0.0054	0.45	-1.9	-1.0	-0.38	7009.0	9.6	1.0
theta[2,1]	-0.17	0.0034	0.31	-0.71	-0.16	0.32	8242.0	11.0	1.0
theta[3,1]	1.0	0.0027	0.28	0.57	1.0	1.5	10953.0	15.0	1.0
theta[4,1]	0.016	0.0031	0.29	-0.47	0.024	0.47	8859.0	12.0	1.0
theta[5,1]	1.2	0.0028	0.27	0.75	1.2	1.6	9274.0	13.0	1.0
theta[6,1]	-0.54	0.004	0.35	-1.1	-0.52	-0.0063	7354.0	10.0	1.0
theta[7,1]	0.66	0.0028	0.26	0.22	0.66	1.1	8758.0	12.0	1.0
theta[8,1]	0.75	0.0028	0.26	0.33	0.75	1.2	9232.0	13.0	1.0
theta[9,1]	0.74	0.0029	0.26	0.32	0.73	1.2	8085.0	11.0	1.0
theta[10,1]	0.4	0.0027	0.26	-0.025	0.41	0.82	8803.0	12.0	1.0
theta[11,1]	1.1	0.0027	0.26	0.72	1.1	1.6	9686.0	13.0	1.0
theta[12,1]	-1.5	0.0065	0.54	-2.5	-1.5	-0.71	6998.0	9.6	1.0
theta[13,1]	3.3	0.005	0.4	2.6	3.3	4.0	6549.0	9.0	1.0
theta[14,1]	1.3	0.0031	0.28	0.81	1.3	1.7	8136.0	11.0	1.0
theta[15,1]	1.0	0.0029	0.27	0.6	1.1	1.5	8731.0	12.0	1.0
theta[16,1]	-0.83	0.0047	0.4	-1.5	-0.8	-0.24	7183.0	9.8	1.0
theta[17,1]	-0.63	0.0043	0.37	-1.3	-0.61	-0.053	7607.0	10.0	1.0
theta[18,1]	0.22	0.0029	0.27	-0.22	0.23	0.66	8477.0	12.0	1.0
theta[19,1]	-0.66	0.004	0.37	-1.3	-0.64	-0.09	8920.0	12.0	1.0
theta[20,1]	-0.68	0.0042	0.38	-1.3	-0.66	-0.089	8218.0	11.0	1.0
theta[21,1]	-1.3	0.0058	0.49	-2.2	-1.3	-0.58	7053.0	9.6	1.0
theta[22,1]	-0.42	0.0035	0.32	-0.97	-0.41	0.073	8434.0	12.0	1.0
theta[23,1]	0.026	0.0029	0.28	-0.46	0.029	0.48	9836.0	13.0	1.0
theta[24,1]	-1.3	0.0053	0.5	-2.2	-1.3	-0.55	8848.0	12.0	1.0
theta[25,1]	-0.27	0.0032	0.31	-0.8	-0.27	0.22	9187.0	13.0	1.0
theta[26,1]	-1.4	0.0063	0.52	-2.3	-1.4	-0.62	6728.0	9.2	1.0
