sample,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52
0,49,36,74,71,65,71,77,69,62,51,38,43,43,33,33,32,37,19,24,19,20,16,12,13,15,5,5,1,2,1,2,3,2,0,1,1,0,1,1,1,2,0,0,0,0,1,0,0,0,0,0,0,0
1,28,59,66,62,68,71,59,76,59,59,48,48,46,36,38,29,28,17,27,27,18,11,12,12,7,8,7,9,2,3,2,0,2,1,2,0,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2,36,57,69,67,61,71,70,63,60,41,46,45,55,29,25,29,34,26,30,19,17,18,9,12,16,15,4,5,4,4,1,4,1,2,1,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
3,29,52,53,85,82,82,73,63,47,58,31,44,35,43,28,36,28,29,26,21,19,21,12,9,9,8,5,1,4,2,4,2,2,3,1,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
4,28,63,54,65,80,63,60,70,61,59,42,49,39,41,25,45,17,32,28,25,12,15,20,11,10,8,6,4,1,5,6,2,0,0,1,0,0,1,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0
5,36,59,49,79,68,68,64,63,53,57,51,63,36,32,34,23,33,39,24,16,21,16,8,9,10,3,7,3,5,3,2,4,3,2,2,2,0,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
6,43,48,53,73,73,79,71,58,63,55,46,36,39,33,37,32,40,22,26,15,23,17,14,12,7,5,5,4,6,2,3,3,0,1,0,2,0,0,2,0,1,0,0,1,0,1,0,0,0,0,0,0,0
7,31,59,61,71,74,66,71,73,47,43,63,42,43,35,42,31,27,24,30,17,11,13,11,18,10,5,8,3,4,3,4,1,1,2,1,2,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0
8,35,54,74,59,54,73,67,58,55,61,52,42,39,35,33,35,24,18,28,28,31,17,13,16,6,14,5,5,3,2,2,3,2,2,0,0,0,2,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0
9,36,44,70,69,74,81,73,44,55,57,51,45,43,35,38,27,30,28,23,21,26,16,11,4,6,5,9,4,6,4,6,4,0,1,0,0,0,2,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0
10,42,47,69,51,62,63,61,71,67,56,44,42,48,43,37,33,31,28,22,15,22,21,16,11,10,7,5,4,3,2,2,5,2,2,3,0,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0
11,30,53,59,72,61,79,70,74,61,55,42,34,38,35,34,36,27,41,22,18,26,10,12,7,11,16,5,5,4,1,2,0,2,1,0,1,1,3,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0
12,36,50,75,53,79,61,69,75,42,55,60,46,39,31,32,30,32,27,20,29,20,16,13,13,7,13,6,3,5,1,4,2,1,1,0,1,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
13,36,41,63,70,61,75,74,66,65,50,50,44,41,46,35,32,49,25,13,16,15,13,19,15,8,5,5,4,2,4,1,1,1,0,1,1,0,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
14,35,61,68,68,77,63,58,70,71,44,47,52,30,32,30,31,32,30,15,25,20,19,15,15,10,6,6,4,1,2,0,5,1,0,1,3,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
15,37,55,56,56,73,78,65,60,57,47,46,52,47,43,45,24,29,25,25,22,21,9,13,11,9,5,10,3,8,4,5,1,1,1,0,1,2,0,0,3,0,1,0,0,1,0,0,0,0,0,0,0,0
16,39,52,67,54,67,68,81,62,58,56,44,43,42,45,35,24,20,27,30,24,17,19,15,13,12,10,3,5,5,0,1,2,3,0,1,2,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
17,40,49,52,73,78,67,70,61,48,57,36,56,33,37,34,33,25,42,25,26,22,10,21,10,12,5,4,7,1,1,2,2,3,1,1,2,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,38,54,60,64,54,93,73,65,57,56,36,38,49,38,40,27,25,30,21,19,22,18,11,17,9,5,6,2,6,3,3,3,2,0,0,2,2,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0
19,38,44,76,64,66,69,69,58,57,65,44,45,41,38,32,35,27,28,27,21,18,12,14,16,7,8,10,5,5,2,0,0,1,1,2,0,1,2,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0
20,24,59,62,81,67,70,69,57,62,54,58,36,41,29,45,33,23,31,18,14,19,18,13,11,8,13,8,4,6,6,2,0,2,1,1,2,0,0,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0
21,32,51,47,68,85,62,67,67,59,52,52,41,44,41,43,34,29,31,12,27,16,24,14,7,7,5,3,4,5,4,1,6,1,3,2,0,0,0,1,2,1,0,0,0,1,0,0,0,0,0,0,0,0
22,31,58,78,64,64,64,69,70,64,43,54,48,36,44,33,33,27,28,12,20,22,15,10,19,10,9,5,4,2,4,1,2,2,0,2,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
23,35,53,65,58,78,56,75,63,61,52,47,41,46,36,40,32,31,40,20,18,19,19,12,17,5,0,2,6,5,2,4,1,3,1,0,1,2,1,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0
24,38,54,55,66,79,68,75,73,63,32,57,51,43,35,34,33,24,23,25,20,18,19,14,8,9,4,7,5,4,3,0,2,1,2,2,1,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
25,36,55,63,68,75,77,79,57,59,35,51,45,36,37,38,31,31,25,31,23,17,14,11,15,8,5,4,8,2,1,1,3,1,1,0,0,2,1,0,2,2,0,0,1,0,0,0,0,0,0,0,0,0
26,28,46,65,68,73,66,69,76,77,47,47,50,41,47,28,31,27,26,24,16,13,12,10,9,15,10,4,7,1,2,2,3,1,0,3,1,1,0,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0
27,38,57,67,51,72,74,72,63,67,44,60,35,46,33,39,32,24,24,25,19,22,16,12,8,11,5,11,5,2,4,1,2,0,2,0,2,1,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0
28,42,51,52,59,67,63,82,63,70,64,53,40,36,34,37,27,32,23,29,27,11,15,11,10,10,11,7,4,5,2,2,1,2,2,1,0,1,2,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0
29,34,45,59,80,67,72,62,72,56,58,51,43,40,40,34,33,42,27,31,13,17,16,10,7,9,8,6,4,3,1,1,0,0,1,0,3,2,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0
30,27,61,67,71,67,73,65,51,64,58,40,50,33,45,31,34,32,29,24,19,20,16,16,9,11,7,8,2,2,4,4,2,2,0,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
31,31,55,62,63,82,70,71,71,53,51,41,49,48,29,33,36,35,17,25,19,23,15,12,14,8,9,5,5,3,3,1,3,0,0,0,1,2,1,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0
32,24,62,64,54,75,59,82,67,52,46,53,53,34,40,37,34,41,27,25,17,20,13,19,16,5,6,7,7,2,0,4,0,1,1,2,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
33,36,47,64,85,59,70,82,51,52,60,47,49,41,29,48,37,29,17,21,19,24,16,7,13,7,13,3,6,2,1,2,3,0,1,0,3,2,1,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0
34,30,56,61,63,75,65,65,68,64,60,54,37,41,32,33,33,33,22,29,16,22,15,15,12,13,7,7,5,3,4,1,3,0,3,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
35,33,55,63,72,68,76,70,66,43,60,53,48,38,35,26,30,31,28,22,22,19,15,18,10,10,6,7,5,3,5,4,3,1,0,0,1,0,1,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0
36,41,59,60,79,78,56,54,70,58,47,53,39,33,47,25,40,27,27,23,32,18,13,11,9,12,6,8,4,8,1,3,2,1,1,0,2,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0
37,36,50,65,57,84,80,64,67,56,48,43,42,47,39,34,38,30,27,22,25,16,10,12,10,12,7,3,5,3,2,4,1,3,1,0,2,3,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0
38,28,56,63,68,79,58,65,64,65,65,45,53,37,42,33,29,20,26,20,18,20,16,21,6,9,11,8,5,3,3,2,1,2,0,4,0,0,2,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0
39,40,47,63,70,63,76,62,63,74,52,36,48,44,40,44,29,27,25,23,19,19,20,13,13,8,6,5,2,1,4,1,1,1,4,1,1,2,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0
