k1,k2,teicher2015,tuominen2022,joint
1,0,0.845771,0.813574,0.839153
2,0,0.718243,0.677261,0.70287
2,1,0.727578,0.693935,0.713668
3,0,0.628597,0.535464,0.597682
3,1,0.592175,0.580681,0.591342
3,2,0.614065,0.593329,0.607712
4,0,0.488083,0.3411,0.434499
4,1,0.446493,0.497526,0.462977
4,2,0.496695,0.391909,0.455991
4,3,0.445099,0.450927,0.449255
5,0,0.615816,0.610323,0.612941
5,1,0.609377,0.541157,0.584089
5,2,0.776369,0.781811,0.778964
5,3,0.501566,0.582668,0.535762
5,4,0.48701,0.393904,0.450309
6,0,0.671569,0.649626,0.669194
6,1,0.702609,0.540001,0.650666
6,2,0.792014,0.682058,0.747975
6,3,0.503147,0.578192,0.539712
6,4,0.450088,0.430964,0.444327
6,5,0.788429,0.766952,0.778205
7,0,0.640195,0.938434,0.644085
7,1,0.547852,0.478571,0.512721
7,2,0.687098,0.954046,0.706154
7,3,0.499395,0.590781,0.519387
7,4,0.635203,0.112341,0.506002
7,5,0.679082,0.9544,0.701984
7,6,0.774127,0.763015,0.75773
8,0,0.437231,0.348708,0.402245
8,1,0.341365,0.29719,0.324939
8,2,0.505165,0.432238,0.478923
8,3,0.346193,0.299542,0.328793
8,4,0.477554,0.331343,0.412665
8,5,0.531361,0.481027,0.513668
8,6,0.552863,0.609012,0.575981
8,7,0.465481,0.402419,0.443591
9,0,0.310667,0.218739,0.27088
9,1,0.290384,0.194475,0.249386
9,2,0.432669,0.284631,0.37918
9,3,0.30412,0.259415,0.284007
9,4,0.406008,0.201491,0.325277
9,5,0.41978,0.398976,0.410806
9,6,0.384099,0.488653,0.420226
9,7,0.375601,0.405007,0.384249
9,8,0.977211,0.789283,0.862309
10,0,0.533666,0.425875,0.503022
10,1,0.418989,0.40169,0.427988
10,2,0.523737,0.467474,0.504816
10,3,0.341825,0.277898,0.32343
10,4,0.326874,0.213616,0.285477
10,5,0.510348,0.503254,0.508717
10,6,0.625704,0.632187,0.634724
10,7,0.449901,0.475839,0.443892
10,8,0.979514,0.756804,0.816076
10,9,0.474171,0.615472,0.519232
11,0,0.598386,0.206854,0.425284
11,1,0.600708,0.409333,0.527739
11,2,0.550828,0.488503,0.52143
11,3,0.49081,0.406689,0.456285
11,4,0.58142,0.413852,0.508956
11,5,0.540541,0.354631,0.448806
11,6,0.515835,0.331662,0.439416
11,7,0.596914,0.378911,0.503874
11,8,0.395792,0.153544,0.266695
11,9,0.327171,0.244113,0.279598
11,10,0.489345,0.187677,0.360893
12,0,0.50256,0.221651,0.384987
12,1,0.572819,0.313987,0.467755
12,2,0.510803,0.442501,0.480399
12,3,0.408366,0.269704,0.350418
12,4,0.619612,-0.0632648,0.406659
12,5,0.464802,0.330966,0.402059
12,6,0.608512,0.436149,0.536166
12,7,0.633578,0.247551,0.502109
12,8,0.444829,0.161537,0.291356
12,9,0.322659,0.438955,0.371388
12,10,0.47331,0.178748,0.348855
12,11,0.865508,0.743393,0.81402
13,0,0.445425,0.00500595,0.251899
13,1,0.416298,0.0557852,0.263731
13,2,0.518382,0.23917,0.385377
13,3,0.374919,0.18656,0.294173
13,4,0.569732,0.0828672,0.400613
13,5,0.582097,0.241183,0.411559
13,6,0.576068,0.401989,0.501442
13,7,0.644377,0.208269,0.503193
13,8,0.885715,0.111207,0.301554
13,9,0.468869,0.404473,0.430551
13,10,0.640985,0.107672,0.395435
13,11,0.891768,0.560358,0.760842
13,12,0.949264,0.960783,0.954196
14,0,0.581894,0.421014,0.489294
14,1,0.544406,0.473621,0.475679
14,2,0.661985,0.60045,0.623609
14,3,0.352091,0.462299,0.372893
14,4,0.383175,0.371222,0.369257
14,5,0.824461,0.620419,0.748113
14,6,0.583183,0.753547,0.625554
14,7,0.551276,0.253952,0.455447
14,8,0.326797,0.552009,0.383412
14,9,0.230654,0.475139,0.320041
14,10,0.405643,0.59124,0.444742
14,11,0.410755,0.319535,0.335297
14,12,0.157542,0.319623,0.213191
14,13,0.220433,0.378107,0.277132
15,0,0.694355,0.384232,0.568206
15,1,0.940574,0.40184,0.616991
15,2,0.955026,0.591668,0.718502
15,3,0.472839,0.365345,0.425001
15,4,0.39977,-0.769721,0.246043
15,5,0.95503,0.469525,0.649145
15,6,0.760466,0.507121,0.660578
15,7,0.873672,0.299761,0.74585
15,8,0.299634,0.321283,0.305929
15,9,0.306728,0.322617,0.311679
15,10,0.584994,0.594677,0.579171
15,11,0.453201,0.0463824,0.299571
15,12,0.43847,0.144336,0.322197
