sample,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52
0,17,22,30,23,27,42,26,35,27,24,24,32,25,30,23,18,26,10,13,13,14,14,8,8,10,8,6,6,2,3,3,4,1,2,2,0,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1,12,13,34,29,38,37,39,22,29,25,25,23,25,22,23,15,25,24,13,15,12,10,7,2,9,14,11,4,9,5,2,3,1,2,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2,7,21,24,29,42,30,41,24,30,32,31,20,31,18,18,18,19,19,19,17,15,9,10,10,7,3,7,4,7,5,3,4,1,1,2,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
3,11,21,31,31,35,24,45,33,24,34,17,35,22,23,18,24,17,14,17,13,14,11,7,9,9,4,4,7,9,3,5,2,1,3,3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
4,11,15,25,39,33,32,27,31,29,28,27,19,24,26,35,21,13,18,18,19,14,6,13,6,12,5,6,5,4,5,1,3,3,4,0,1,0,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
5,5,28,25,40,25,33,31,32,28,30,28,29,37,25,13,19,15,16,16,10,15,14,4,10,7,6,9,3,5,4,4,7,1,1,3,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
6,7,23,27,39,31,29,26,38,33,32,21,27,21,19,31,19,21,24,20,15,9,14,11,4,5,5,3,5,6,1,3,3,3,2,3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
7,8,14,32,34,37,27,32,40,24,21,28,29,27,23,23,19,17,17,15,13,18,11,13,8,9,8,6,6,6,5,5,2,2,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,9,17,28,22,41,36,35,24,38,30,24,32,25,27,19,20,15,12,13,18,16,10,13,12,10,6,5,2,4,3,4,1,3,3,2,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
9,8,19,30,31,37,26,35,30,32,24,36,31,22,23,19,19,13,19,13,14,21,13,9,6,7,6,5,7,3,3,6,4,0,6,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,9,20,27,32,33,40,34,33,36,28,29,16,18,30,23,15,20,18,15,16,9,12,11,10,10,3,5,7,5,2,4,2,1,3,1,1,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
11,7,14,30,22,37,34,40,38,24,28,39,27,25,23,21,22,19,15,12,11,9,14,4,11,6,11,9,7,2,3,2,3,4,4,2,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
12,9,24,17,29,33,35,32,34,35,28,22,32,24,25,22,20,20,15,17,10,15,14,9,8,5,7,12,7,6,4,4,3,0,0,0,2,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
13,9,16,22,31,37,36,40,29,22,28,39,25,24,24,23,22,21,15,15,10,14,12,10,12,4,9,2,4,5,4,4,2,1,1,4,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,6,14,34,33,52,28,30,26,27,25,25,22,33,28,22,28,15,21,12,7,14,12,6,13,5,6,6,5,7,3,2,3,4,0,3,1,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
15,10,27,33,37,30,28,33,25,31,20,28,28,26,23,33,24,15,18,4,15,11,13,9,9,13,9,6,3,4,3,2,3,2,0,0,1,2,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0
16,12,21,30,23,20,42,33,31,38,23,25,32,25,19,18,21,20,25,16,16,15,10,8,8,4,4,11,6,4,5,6,2,2,0,4,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,7,27,25,42,28,25,31,29,29,32,33,25,17,25,22,21,18,21,13,18,16,10,12,13,11,1,3,5,7,2,3,1,2,0,3,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
18,9,22,29,33,39,27,32,31,34,27,22,28,31,23,22,17,16,22,14,13,6,13,8,9,8,7,7,7,3,1,9,4,4,1,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,8,28,29,26,31,32,33,34,33,32,28,25,16,27,18,22,14,19,16,18,16,9,11,7,6,9,4,7,3,9,3,4,2,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
20,6,21,34,33,31,36,32,23,35,26,29,15,18,30,30,26,26,18,14,7,9,13,9,13,4,8,4,6,5,5,0,4,5,1,1,2,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
21,7,18,20,45,30,36,36,35,26,25,29,27,28,16,21,18,19,18,18,7,16,7,15,9,7,7,8,8,3,6,3,3,1,4,0,1,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
22,8,24,23,31,24,35,40,30,31,29,30,31,32,21,25,15,14,11,17,16,11,12,13,6,6,7,11,7,7,2,2,5,3,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
23,15,19,33,30,38,37,34,24,19,25,21,23,25,26,23,26,27,14,9,11,17,14,11,10,4,8,5,7,9,4,2,6,0,3,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
24,11,14,35,22,29,36,32,32,40,26,31,20,21,25,24,22,14,19,12,26,16,9,12,8,7,4,3,7,4,3,2,4,4,4,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
25,15,20,25,25,30,35,28,29,28,42,28,24,31,26,20,13,20,16,24,13,14,12,9,12,6,6,7,3,2,3,6,1,2,0,2,0,2,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
26,7,31,25,29,39,29,29,33,25,33,27,29,25,20,25,20,16,19,10,14,18,13,14,7,6,7,7,2,3,2,2,3,8,1,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,9,12,29,44,38,35,28,27,29,34,33,21,11,31,20,15,24,15,21,14,14,6,8,14,6,10,7,4,5,5,2,3,1,2,2,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
