k1,k2,sk,lb,ub,pval
0,0,0.022137,0.018221,0.025091,0.64975
1,0,0.771478,0.620275,0.71134,1.0
2,0,0.738832,0.658076,0.742268,0.9605
2,1,0.685567,0.61512,0.702749,0.872
3,0,0.659794,0.599656,0.689003,0.75975
3,1,0.565292,0.5,0.594502,0.73275
3,2,0.728522,0.67354,0.756014,0.7915
4,0,0.585911,0.537801,0.627148,0.52
4,1,0.460481,0.408935,0.498282,0.62425
4,2,0.668385,0.62543,0.707904,0.53
4,3,0.819588,0.768041,0.843643,0.73725
5,0,0.713058,0.642612,0.726804,0.9135
5,1,0.635739,0.59622,0.685567,0.377
5,2,0.802405,0.683849,0.764605,1.0
5,3,0.726804,0.658076,0.742268,0.882
5,4,0.670103,0.620275,0.706186,0.56875
6,0,0.701031,0.627148,0.713058,0.91375
6,1,0.579038,0.537801,0.630584,0.369
6,2,0.75945,0.697595,0.776632,0.85175
6,3,0.790378,0.735395,0.809278,0.844
6,4,0.785223,0.74055,0.814433,0.64525
6,5,0.78866,0.680412,0.762887,0.99975
7,0,0.591065,0.532646,0.62543,0.64825
7,1,0.445017,0.40378,0.491409,0.502
7,2,0.676976,0.621993,0.706186,0.679
7,3,0.828179,0.776632,0.852234,0.71775
7,4,0.936426,0.912371,0.960481,0.49025
7,5,0.678694,0.623711,0.709622,0.696
7,6,0.800687,0.749141,0.821306,0.79325
8,0,0.579038,0.515464,0.608247,0.781
8,1,0.611684,0.570447,0.658076,0.4255
8,2,0.565292,0.484536,0.580756,0.88575
8,3,0.45189,0.398625,0.5,0.6175
8,4,0.371134,0.310997,0.414089,0.61575
8,5,0.57732,0.477663,0.575601,0.9805
8,6,0.527491,0.420962,0.522337,0.98625
8,7,0.359107,0.305842,0.408935,0.55875
9,0,0.589347,0.556701,0.647766,0.23825
9,1,0.501718,0.4811,0.575601,0.15575
9,2,0.651203,0.61512,0.701031,0.366
9,3,0.723368,0.680412,0.762887,0.51925
9,4,0.769759,0.718213,0.805842,0.5485
9,5,0.680412,0.611684,0.697595,0.88325
9,6,0.757732,0.67354,0.756014,0.9815
9,7,0.785223,0.735395,0.821306,0.66675
9,8,0.549828,0.395189,0.491409,1.0
10,0,0.649485,0.579038,0.668385,0.88675
10,1,0.592784,0.532646,0.62543,0.67725
10,2,0.683849,0.609966,0.699313,0.89175
10,3,0.656357,0.616838,0.706186,0.394
10,4,0.658076,0.609966,0.706186,0.50475
10,5,0.695876,0.603093,0.690722,0.98625
10,6,0.745704,0.627148,0.714777,0.9995
10,7,0.670103,0.609966,0.709622,0.639
10,8,0.647766,0.448454,0.542955,1.0
10,9,0.74055,0.585911,0.675258,1.0
11,0,0.580756,0.556701,0.647766,0.15325
11,1,0.479381,0.436426,0.527491,0.445
11,2,0.687285,0.642612,0.725086,0.53775
11,3,0.80756,0.768041,0.840206,0.5615
11,4,0.902062,0.862543,0.920962,0.71675
11,5,0.671821,0.635739,0.723368,0.334
11,6,0.769759,0.747423,0.819588,0.222
11,7,0.910653,0.878007,0.934708,0.577
11,8,0.379725,0.33677,0.439863,0.402
11,9,0.761168,0.714777,0.798969,0.54875
11,10,0.652921,0.61512,0.709622,0.3435
12,0,0.579038,0.54811,0.639175,0.28525
12,1,0.457045,0.420962,0.510309,0.39425
12,2,0.675258,0.628866,0.713058,0.52375
12,3,0.802405,0.771478,0.845361,0.36925
12,4,0.907216,0.883162,0.938144,0.3505
12,5,0.666667,0.62543,0.713058,0.39075
12,6,0.785223,0.742268,0.816151,0.5645
12,7,0.929553,0.902062,0.95189,0.5155
12,8,0.367698,0.321306,0.424399,0.44925
12,9,0.786942,0.719931,0.804124,0.8415
12,10,0.654639,0.609966,0.706186,0.41275
12,11,0.926117,0.857388,0.917526,0.993
13,0,0.563574,0.530928,0.621993,0.2685
13,1,0.431271,0.398625,0.487973,0.29975
13,2,0.656357,0.620275,0.701031,0.40525
13,3,0.80756,0.773196,0.847079,0.42475
13,4,0.93299,0.90378,0.955326,0.50125
13,5,0.658076,0.61512,0.702749,0.42275
13,6,0.783505,0.742268,0.814433,0.602
13,7,0.95189,0.927835,0.97079,0.5825
13,8,0.352234,0.298969,0.402062,0.465
13,9,0.785223,0.730241,0.816151,0.72725
13,10,0.652921,0.609966,0.706186,0.43175
13,11,0.917526,0.872852,0.931271,0.83725
13,12,0.97079,0.898625,0.950172,1.0
14,0,0.626594,0.591985,0.68306,0.324
14,1,0.535519,0.493625,0.588342,0.41125
14,2,0.724954,0.663024,0.746812,0.80275
14,3,0.781421,0.735883,0.814208,0.63625
14,4,0.821494,0.774135,0.850638,0.6365
14,5,0.73224,0.653916,0.739526,0.9465
14,6,0.839709,0.73224,0.808743,1.0
