k1,k2,stat,lb,ub,pval
0,0,0.006408,0.004509,0.005367,1.0
1,0,0.050801,0.001558,0.032951,1.0
2,0,0.020571,0.000963,0.030477,0.7445
2,1,0.011766,0.001612,0.027518,0.311
3,0,0.00359,-0.004173,0.020964,0.213
3,1,0.001804,-0.002976,0.017763,0.132
3,2,0.006571,-0.003171,0.021379,0.34475
4,0,-0.001443,-0.005195,0.00826,0.1895
4,1,0.001662,-0.004007,0.007098,0.52225
4,2,-0.000165,-0.004629,0.008651,0.254
4,3,0.004993,-0.005115,0.009116,0.83025
5,0,0.016779,4e-06,0.03112,0.598
5,1,-0.00363,0.001234,0.029785,0.0045
5,2,0.041774,0.000367,0.029698,1.0
5,3,0.008788,-0.003414,0.022252,0.51475
5,4,0.000388,-0.005247,0.00823,0.3395
6,0,0.016207,-0.001988,0.023808,0.78275
6,1,-0.003658,-0.00142,0.020508,0.009
6,2,0.014255,-0.00046,0.025289,0.597
6,3,0.005392,-0.003517,0.020447,0.33625
6,4,0.00149,-0.004662,0.009474,0.454
6,5,0.033747,-0.00098,0.025237,0.999
7,0,0.002663,-0.003599,0.00557,0.74525
7,1,-0.001119,-0.002837,0.004359,0.12975
7,2,0.003179,-0.003155,0.005929,0.76975
7,3,0.002963,-0.004491,0.007095,0.71675
7,4,-0.001849,-0.003281,0.005083,0.10725
7,5,0.003734,-0.003614,0.00613,0.831
7,6,0.004563,-0.003861,0.007045,0.85425
8,0,0.009406,-0.008675,0.022292,0.62725
8,1,-0.002681,-0.007561,0.023355,0.0955
8,2,0.015669,-0.007363,0.019724,0.91325
8,3,0.000792,-0.008883,0.01466,0.3565
8,4,0.002588,-0.005896,0.00703,0.729
8,5,0.025211,-0.008423,0.020373,0.99325
8,6,0.027832,-0.00759,0.016289,1.0
8,7,0.001213,-0.004227,0.005092,0.59775
9,0,-0.008651,-0.007588,0.020613,0.02
9,1,-0.01286,-0.005684,0.020656,0.002
9,2,-0.005123,-0.006563,0.01965,0.052
9,3,-0.003573,-0.008438,0.016492,0.1145
9,4,-0.001011,-0.005996,0.008789,0.28975
9,5,0.011918,-0.007823,0.019769,0.80525
9,6,0.018124,-0.008315,0.016881,0.9785
9,7,0.001627,-0.005072,0.006688,0.613
9,8,0.052545,-0.011226,0.017431,1.0
10,0,0.015526,-0.006432,0.026135,0.7585
10,1,0.007796,-0.005296,0.025027,0.40925
10,2,0.01374,-0.005928,0.023601,0.75625
10,3,-0.008199,-0.008388,0.018887,0.024
10,4,-0.002065,-0.006714,0.008887,0.221
10,5,0.024647,-0.006282,0.0247,0.977
10,6,0.035218,-0.006367,0.020975,1.0
10,7,0.002324,-0.005097,0.006996,0.67475
10,8,0.075729,-0.009826,0.021792,1.0
10,9,0.053524,-0.011825,0.018649,1.0
11,0,-0.01127,-0.004149,0.013449,0.00075
11,1,-0.001777,-0.003013,0.0109,0.06825
11,2,0.003136,-0.00465,0.012975,0.41375
11,3,0.002249,-0.004201,0.014365,0.293
11,4,0.003504,-0.004844,0.007211,0.77875
11,5,-0.003913,-0.004182,0.013815,0.03075
11,6,-0.007747,-0.004382,0.014136,0.004
11,7,-0.00147,-0.004347,0.006499,0.18325
11,8,-0.005027,-0.007079,0.009482,0.063
11,9,-0.000773,-0.006813,0.012242,0.23225
11,10,-0.006937,-0.006121,0.014666,0.02675
12,0,-0.006951,-0.005572,0.008747,0.0095
12,1,-0.004052,-0.004279,0.007496,0.03175
12,2,0.001546,-0.004477,0.010173,0.367
12,3,-0.003807,-0.005988,0.009943,0.082
12,4,-0.004403,-0.004287,0.006284,0.0145
12,5,-0.002573,-0.005334,0.009671,0.0905
12,6,0.001643,-0.004853,0.010323,0.36975
12,7,-0.001565,-0.003265,0.006347,0.13
12,8,-0.001703,-0.005567,0.008522,0.196
12,9,0.008655,-0.007301,0.009257,0.96625
12,10,-0.00382,-0.007007,0.010191,0.10875
12,11,0.017122,-0.005891,0.007716,1.0
13,0,-0.007437,-0.003568,0.007421,0.00075
13,1,-0.00649,-0.003555,0.005383,0.00175
13,2,-0.002899,-0.004027,0.006852,0.06025
13,3,-0.002559,-0.004382,0.007493,0.0815
13,4,-0.00172,-0.003382,0.004902,0.152
13,5,-0.002131,-0.003763,0.007691,0.09175
13,6,0.00113,-0.003613,0.007364,0.44625
13,7,-0.00155,-0.003,0.004382,0.1305
13,8,-0.001723,-0.00467,0.006465,0.1905
13,9,0.004803,-0.005461,0.007079,0.8755
13,10,-0.003144,-0.005187,0.007917,0.08125
13,11,0.006628,-0.003411,0.007021,0.96325
13,12,0.021218,-0.004004,0.005119,1.0
14,0,-0.001974,-0.004295,0.020507,0.05975
14,1,-0.001827,-0.00362,0.017295,0.05575
14,2,0.014681,-0.00313,0.020972,0.81925
14,3,0.003748,-0.00701,0.017624,0.363
14,4,0.002352,-0.00573,0.008872,0.60025
14,5,0.020137,-0.004272,0.02137,0.96725
14,6,0.035408,-0.005029,0.020266,1.0
14,7,-0.005007,-0.004478,0.00737,0.0115
14,8,0.021802,-0.008227,0.015617,0.999
14,9,0.020548,-0.008982,0.016672,0.99425
14,10,0.032563,-0.008605,0.019024,1.0
14,11,-0.002129,-0.005927,0.014476,0.13075
14,12,0.000199,-0.005746,0.010773,0.3035
14,13,0.002473,-0.004771,0.007431,0.65975
15,0,0.002,-0.004113,0.00547,0.64725
15,1,0.000743,-0.003244,0.004825,0.49
15,2,0.004833,-0.003661,0.005706,0.95575
15,3,0.002499,-0.003734,0.00631,0.73475
15,4,-0.001474,-0.002812,0.003618,0.14525
15,5,0.003528,-0.004155,0.006017,0.8555
15,6,0.004417,-0.003868,0.005768,0.921
15,7,0.000299,-0.002465,0.003313,0.58125
15,8,0.001794,-0.004706,0.0051,0.694
15,9,0.002936,-0.00475,0.005811,0.82075
15,10,0.006971,-0.004904,0.006145,0.9845
15,11,-0.000888,-0.003496,0.00535,0.1855
15,12,-0.000415,-0.003277,0.004103,0.406
15,13,-0.000893,-0.002364,0.003278,0.16775
15,14,0.011979,-0.004423,0.005683,1.0
16,0,-0.003442,-0.003962,0.006767,0.036
16,1,-0.001536,-0.003279,0.005283,0.10325
16,2,-0.002044,-0.003583,0.007274,0.0875
16,3,0.000918,-0.004299,0.008208,0.3705
16,4,0.003984,-0.003505,0.005144,0.921
16,5,0.002087,-0.004104,0.007526,0.55075
16,6,0.000309,-0.004216,0.008225,0.29625
16,7,-0.002206,-0.002968,0.005168,0.067
16,8,0.002167,-0.005416,0.005739,0.69725
16,9,0.001992,-0.005695,0.007778,0.61175
16,10,-0.003752,-0.00546,0.007806,0.0655
16,11,0.013071,-0.004226,0.00752,1.0
16,12,0.005742,-0.004206,0.006176,0.959
16,13,0.002568,-0.003032,0.004563,0.84275
16,14,0.002887,-0.004296,0.008678,0.64525
16,15,0.000516,-0.002466,0.003606,0.60225
17,0,-0.003648,-0.003075,0.004198,0.01225
17,1,-0.001267,-0.002341,0.003733,0.09575
17,2,0.000226,-0.003057,0.004584,0.398
17,3,-0.002006,-0.003201,0.005663,0.07525
17,4,-0.001701,-0.002311,0.003797,0.07225
17,5,-0.001427,-0.003389,0.00461,0.117
17,6,-0.000638,-0.003217,0.004963,0.23175
17,7,-0.000622,-0.00238,0.003371,0.2655
17,8,-0.002724,-0.003726,0.003767,0.06775
17,9,-0.000216,-0.004043,0.005244,0.331
17,10,-0.002277,-0.003753,0.005306,0.09475
17,11,0.00206,-0.002958,0.005016,0.66
17,12,0.004349,-0.003095,0.003959,0.981
17,13,0.003729,-0.002094,0.003408,0.97925
17,14,0.000979,-0.00355,0.005274,0.58525
17,15,0.001233,-0.00172,0.002629,0.83025
17,16,0.006714,-0.002262,0.00365,0.99775
18,0,-0.00999,-0.006531,0.012054,0.005
18,1,-0.007602,-0.004934,0.010369,0.00425
