k1,k2,mu,lb,ub,pval
0,0,0.047164,0.045723,0.048533,1.0
1,0,0.015649,-0.084679,0.106988,0.5905
2,0,0.014769,-0.06829,0.093821,0.60325
2,1,-0.000876,-0.074382,0.061376,0.496
3,0,-0.004607,-0.070099,0.063927,0.4745
3,1,0.00965,-0.037768,0.058145,0.5805
3,2,0.021025,-0.020724,0.060986,0.65275
4,0,-0.01714,-0.06777,0.032216,0.35275
4,1,0.030894,-0.005105,0.06733,0.78975
4,2,-0.016034,-0.047567,0.014789,0.3745
4,3,0.067946,0.039556,0.097567,0.8975
5,0,0.060484,-0.001753,0.117379,0.86
5,1,-0.05232,-0.106409,-0.000592,0.16125
5,2,0.228445,0.182461,0.271516,1.0
5,3,0.065223,0.031917,0.099545,0.89275
5,4,-0.000635,-0.027461,0.02651,0.47425
6,0,0.084391,0.027455,0.142356,0.942
6,1,-0.043292,-0.094797,0.005587,0.17875
6,2,0.043997,-0.006378,0.091934,0.79725
6,3,0.056617,0.012792,0.10221,0.8455
6,4,0.013007,-0.027208,0.051182,0.58675
6,5,0.154705,0.105529,0.201132,0.99625
7,0,0.040401,0.001375,0.080914,0.83325
7,1,-0.024667,-0.045053,-0.002497,0.2075
7,2,0.053913,0.029754,0.08091,0.914
7,3,0.075809,0.040057,0.11816,0.9105
7,4,-0.075677,-0.120656,-0.03221,0.1385
7,5,0.05715,0.036926,0.079313,0.9285
7,6,0.069252,0.031661,0.107769,0.91275
8,0,0.020298,-0.046012,0.084952,0.65475
8,1,0.007824,-0.059744,0.073768,0.5705
8,2,0.027711,-0.032612,0.086896,0.704
8,3,0.013355,-0.036486,0.065494,0.62275
8,4,0.037064,-0.01093,0.08664,0.804
8,5,-0.022354,-0.086666,0.041961,0.331
8,6,-0.003949,-0.05513,0.050384,0.45825
8,7,-0.007525,-0.038561,0.018945,0.3765
9,0,-0.039127,-0.09236,0.021255,0.209
9,1,-0.021582,-0.074086,0.035462,0.32775
9,2,-0.049786,-0.098165,-0.003677,0.161
9,3,-0.002942,-0.05081,0.040191,0.45725
9,4,-0.00968,-0.051639,0.037563,0.4335
9,5,-0.035077,-0.085276,0.0165,0.24725
9,6,-0.061016,-0.124187,0.005389,0.147
9,7,-0.019086,-0.083712,0.041875,0.377
9,8,0.037581,-0.011684,0.088038,0.82175
10,0,0.039932,-0.020087,0.097128,0.778
10,1,0.046969,-0.014071,0.099501,0.8175
10,2,0.041479,-0.008099,0.090777,0.792
10,3,-0.049449,-0.093681,-0.005456,0.15875
10,4,-0.026976,-0.06714,0.015817,0.2815
10,5,0.000866,-0.057088,0.057004,0.5155
10,6,0.034459,-0.042652,0.10198,0.71775
10,7,-0.007779,-0.050702,0.033105,0.4325
10,8,0.010951,-0.058658,0.074673,0.5785
10,9,-0.027117,-0.108552,0.058291,0.335
11,0,-0.095405,-0.144557,-0.036637,0.0315
11,1,0.020203,-0.021736,0.065829,0.6865
11,2,0.027735,-0.010657,0.064611,0.71275
11,3,0.00616,-0.031747,0.042057,0.552
11,4,0.043553,0.01019,0.07637,0.7635
11,5,-0.038983,-0.074497,-0.004926,0.2145
11,6,-0.082059,-0.126305,-0.040946,0.07175
11,7,-0.014845,-0.063421,0.0368,0.4255
11,8,-0.000799,-0.052388,0.051894,0.48475
11,9,0.008591,-0.040047,0.053258,0.56225
11,10,-0.026083,-0.067889,0.015788,0.30175
12,0,-0.036658,-0.088758,0.01342,0.22725
12,1,-0.007644,-0.048541,0.035607,0.4215
12,2,0.033196,-0.005018,0.071871,0.75625
12,3,-0.050605,-0.084818,-0.016063,0.18
12,4,-0.119326,-0.151713,-0.086951,0.018
12,5,-0.018088,-0.054969,0.016896,0.357
12,6,0.035027,-0.012101,0.07811,0.7415
12,7,-0.046724,-0.095753,0.001661,0.2745
12,8,-0.021952,-0.069145,0.028319,0.309
12,9,0.096023,0.045846,0.145664,0.96625
12,10,-0.048999,-0.092795,-0.008069,0.16075
12,11,0.259992,0.219896,0.300531,1.0
13,0,-0.050133,-0.107694,0.002545,0.153
13,1,-0.053985,-0.108075,0.000963,0.11525
13,2,-0.017268,-0.059111,0.022214,0.35975
13,3,-0.059424,-0.095667,-0.022651,0.13575
13,4,-0.060967,-0.097779,-0.023535,0.1565
13,5,-0.011091,-0.051512,0.028373,0.41025
13,6,0.05502,0.013361,0.097582,0.8545
13,7,-0.044406,-0.094431,0.007321,0.2785
13,8,-0.02523,-0.07448,0.022146,0.28475
13,9,0.073528,0.023418,0.121627,0.91825
13,10,-0.043864,-0.083049,0.002156,0.1845
13,11,0.056076,0.009328,0.102883,0.782
13,12,0.577462,0.535505,0.613737,1.0
14,0,-0.011101,-0.072891,0.053893,0.43175
14,1,-0.004675,-0.058701,0.051158,0.46125
14,2,0.060724,4.5e-05,0.121674,0.849
14,3,0.023203,-0.034306,0.083702,0.651
14,4,0.024464,-0.031657,0.084759,0.6645
14,5,0.048493,-0.010791,0.106945,0.7935
14,6,0.172335,0.095586,0.239938,0.9955
14,7,-0.097852,-0.169594,-0.023035,0.0755
14,8,0.034513,-0.019961,0.091795,0.7545
14,9,0.048332,-0.012541,0.11554,0.80675
14,10,0.079816,0.017102,0.144946,0.9215
14,11,-0.040517,-0.10165,0.02557,0.25625
14,12,0.014513,-0.046979,0.081167,0.60475
14,13,0.065017,-0.003265,0.128676,0.85075
15,0,0.023039,-0.038023,0.079055,0.661
15,1,0.00465,-0.03927,0.04918,0.5355
15,2,0.078054,0.030594,0.121913,0.9345
15,3,0.043704,-0.00582,0.095031,0.76975
15,4,-0.063317,-0.111679,-0.006998,0.1435
15,5,0.030429,-0.010029,0.068715,0.73925
15,6,0.030538,-0.025842,0.087102,0.69725
15,7,0.011028,-0.050946,0.074071,0.59575
15,8,-0.010588,-0.053036,0.039472,0.39975
15,9,-0.00372,-0.068453,0.054654,0.4735
15,10,0.07074,0.017875,0.122985,0.90925
15,11,-0.064923,-0.120086,-0.012921,0.14425
15,12,-0.029989,-0.089903,0.027549,0.35075
15,13,-0.065795,-0.125048,-0.008088,0.1235
15,14,0.147378,0.043088,0.25962,0.97025
16,0,-0.036754,-0.085837,0.018837,0.22625
16,1,-0.005429,-0.044602,0.038171,0.41775
16,2,-0.055944,-0.090898,-0.020377,0.1105
16,3,0.00478,-0.038063,0.044057,0.5445
16,4,0.098568,0.051086,0.14236,0.917
16,5,0.018097,-0.012136,0.04724,0.653
16,6,-0.022138,-0.067278,0.025592,0.34675
16,7,-0.110771,-0.18097,-0.043274,0.091
16,8,0.040961,-0.006832,0.091391,0.828
16,9,0.03751,-0.013013,0.089236,0.7545
16,10,-0.079229,-0.128973,-0.032287,0.056
16,11,0.27116,0.227474,0.319514,1.0
16,12,0.164347,0.113446,0.214691,0.98775
16,13,0.119136,0.063498,0.173385,0.94
16,14,-0.01939,-0.103514,0.06661,0.4
16,15,-0.051615,-0.154116,0.032872,0.28925
17,0,-0.070222,-0.123644,-0.013325,0.07225
17,1,-0.006515,-0.049147,0.040176,0.40525
17,2,0.016801,-0.018217,0.052396,0.64275
17,3,-0.058549,-0.095331,-0.015812,0.14775
17,4,-0.102035,-0.147841,-0.052896,0.05975
17,5,-0.023201,-0.0549,0.009566,0.29625
17,6,0.017591,-0.022922,0.054555,0.62775
17,7,-0.028496,-0.110436,0.048724,0.4195
17,8,-0.026423,-0.083202,0.020778,0.24375
17,9,0.019244,-0.028859,0.066452,0.63225
17,10,-0.031758,-0.072592,0.004612,0.2475
17,11,0.027491,-0.035642,0.082186,0.66075
17,12,0.205461,0.146934,0.266555,0.992
17,13,0.265121,0.197194,0.332623,0.998
17,14,-0.009717,-0.085965,0.060204,0.4475
17,15,0.000191,-0.135962,0.116862,0.5635
17,16,0.384798,0.29243,0.464871,0.99825
18,0,-0.02506,-0.075354,0.028177,0.30325
18,1,-0.011135,-0.062823,0.029645,0.4015
18,2,0.038489,0.001375,0.076381,0.78725
18,3,-0.085279,-0.116138,-0.04951,0.05025
18,4,-0.027756,-0.057727,0.001833,0.321
18,5,-0.03352,-0.068798,0.002972,0.24825
18,6,0.027313,-0.014706,0.070809,0.7035
18,7,-0.055146,-0.098677,-0.015475,0.16625
18,8,-0.008483,-0.058255,0.04742,0.4315
18,9,0.048702,0.00196,0.099524,0.82925
18,10,-0.055592,-0.102819,-0.01038,0.12275
18,11,-0.026706,-0.073731,0.016598,0.3445
18,12,0.104282,0.051795,0.154935,0.9275
18,13,0.242973,0.190672,0.296008,0.9975
18,14,-0.010512,-0.067476,0.042553,0.43025
18,15,-0.030674,-0.080003,0.020855,0.30975
18,16,0.041944,-0.006467,0.081808,0.758
18,17,0.105827,0.051638,0.156511,0.942
19,0,0.055362,0.006007,0.107241,0.8785
19,1,-0.08615,-0.129333,-0.041955,0.0225
19,2,0.022594,-0.013646,0.063834,0.68
19,3,0.029754,-0.007944,0.067871,0.707
19,4,-0.051612,-0.090423,-0.014172,0.21125
19,5,-0.049511,-0.089243,-0.010099,0.1605
19,6,0.055288,0.007103,0.100364,0.84375
19,7,0.005804,-0.050755,0.05886,0.544
19,8,0.006279,-0.037683,0.05847,0.555
19,9,0.005686,-0.04096,0.060192,0.55775
19,10,-0.028657,-0.072582,0.022095,0.2705
19,11,0.04533,-0.007674,0.101977,0.74375
19,12,0.123934,0.051509,0.186658,0.93225
19,13,0.1841,0.110203,0.254902,0.969
19,14,-0.016662,-0.084783,0.040714,0.39
19,15,0.055882,-0.018676,0.12122,0.80475
19,16,0.086072,0.029558,0.146407,0.87975
19,17,0.258573,0.179999,0.323165,0.9985
19,18,0.483578,0.431838,0.528653,1.0
20,0,0.062724,-0.011011,0.130197,0.86425
20,1,-0.057476,-0.115775,0.011056,0.13525
20,2,0.106542,0.036482,0.176279,0.963
20,3,0.052101,-0.016547,0.120733,0.8085
20,4,-0.017124,-0.086474,0.049459,0.38975
20,5,0.021554,-0.041934,0.090309,0.64075
20,6,0.052853,-0.015201,0.128537,0.80925
20,7,-0.024351,-0.09718,0.040208,0.35125
20,8,-0.023965,-0.091512,0.042953,0.31475
20,9,-0.029644,-0.090244,0.032222,0.287
20,10,0.007915,-0.056983,0.066136,0.5585
20,11,-0.043336,-0.118692,0.024706,0.24675
20,12,-0.01637,-0.078824,0.054683,0.38175
20,13,-0.009411,-0.070667,0.043699,0.4425
20,14,0.036071,-0.043137,0.113428,0.709
20,15,0.04702,-0.031535,0.119766,0.76925
20,16,-0.0184,-0.093658,0.059673,0.40325
20,17,0.018061,-0.065232,0.09806,0.61375
20,18,0.015154,-0.04926,0.080489,0.603
20,19,0.031592,-0.043008,0.097754,0.69825
21,0,0.001903,-0.057926,0.062723,0.51625
21,1,0.022166,-0.031342,0.079431,0.6945
21,2,-0.034429,-0.094682,0.025077,0.2725
21,3,0.054966,-0.016231,0.121576,0.80025
21,4,0.038001,-0.02791,0.109212,0.72325
21,5,-0.004773,-0.059369,0.050706,0.474
21,6,0.044334,-0.020195,0.123207,0.7515
21,7,0.0777,-0.013676,0.173412,0.839
21,8,0.013374,-0.042051,0.063559,0.618
21,9,-0.000775,-0.058156,0.070618,0.515
21,10,0.018371,-0.040558,0.077539,0.64675
21,11,-0.061306,-0.124135,0.011245,0.186
21,12,0.033686,-0.034035,0.102261,0.69125
21,13,0.026069,-0.040429,0.091472,0.6625
21,14,0.031918,-0.056535,0.104594,0.68375
21,15,0.09367,-0.008158,0.196125,0.8815
21,16,0.029902,-0.056893,0.114707,0.651
21,17,-0.066676,-0.160083,0.031355,0.1955
21,18,0.013567,-0.046902,0.073653,0.605
21,19,-0.007596,-0.089309,0.066635,0.4695
21,20,0.079289,-0.021049,0.174587,0.8505
22,0,0.023262,-0.030429,0.074975,0.68625
22,1,-0.023177,-0.065125,0.026603,0.28525
22,2,0.037876,-0.010137,0.080587,0.77025
22,3,-0.033987,-0.085374,0.01859,0.2805
22,4,-0.002101,-0.052419,0.051474,0.507
22,5,0.022055,-0.017139,0.060646,0.683
22,6,0.063041,0.006497,0.117584,0.85675
22,7,0.025317,-0.052685,0.105866,0.645
22,8,0.014945,-0.029156,0.058844,0.6425
22,9,-0.017664,-0.07586,0.041527,0.38825
22,10,-0.003137,-0.054523,0.047643,0.472
22,11,0.021125,-0.032054,0.074849,0.6565
22,12,-0.019282,-0.080713,0.044418,0.4045
22,13,-0.059944,-0.125436,7.4e-05,0.187
22,14,0.001137,-0.073643,0.071388,0.517
22,15,0.001829,-0.088512,0.08476,0.5385
22,16,0.052225,-0.020625,0.118799,0.7685
22,17,-0.04894,-0.119566,0.012401,0.248
22,18,-0.051417,-0.113022,0.0016,0.203
22,19,0.030188,-0.043652,0.092247,0.66575
22,20,-0.00979,-0.070594,0.048936,0.425
22,21,0.237439,0.09857,0.358939,0.986
23,0,-0.040404,-0.09155,0.013077,0.20925
23,1,0.029979,-0.011042,0.06917,0.75575
23,2,0.030917,-0.007902,0.069927,0.74
23,3,-0.003921,-0.037265,0.030733,0.466
23,4,-0.007712,-0.036517,0.023715,0.44275
23,5,0.012321,-0.020431,0.046577,0.60025
23,6,0.013026,-0.03219,0.06106,0.5925
23,7,-0.068572,-0.114082,-0.024958,0.14225
23,8,0.064252,0.018936,0.112853,0.92275
23,9,-0.068844,-0.115394,-0.025534,0.0825
23,10,0.005161,-0.036174,0.0526,0.53725
23,11,-0.002281,-0.04193,0.03789,0.48975
23,12,-0.017298,-0.052505,0.019585,0.39575
23,13,-0.003421,-0.03838,0.030838,0.50175
23,14,0.01328,-0.046429,0.075248,0.59575
23,15,-0.056111,-0.108993,-0.000303,0.179
23,16,-0.105099,-0.15228,-0.059523,0.04525
23,17,-0.015041,-0.066948,0.03739,0.42675
23,18,0.069785,0.035951,0.100766,0.901
23,19,0.019473,-0.020586,0.059104,0.62925
23,20,0.063653,-0.039671,0.156503,0.79975
23,21,-0.106874,-0.206992,-0.009535,0.0985
23,22,-0.161872,-0.231808,-0.086369,0.01125
24,0,-0.000292,-0.046105,0.045312,0.4755
24,1,0.002073,-0.027845,0.031164,0.4975
24,2,0.002074,-0.027339,0.032594,0.511
24,3,-0.085052,-0.123702,-0.04638,0.06275
24,4,-0.113729,-0.153906,-0.075491,0.03
24,5,-0.047526,-0.073558,-0.01992,0.143
24,6,-0.040238,-0.085374,0.004761,0.2415
24,7,-0.010927,-0.072761,0.054764,0.475
24,8,0.019686,-0.01505,0.053274,0.6915
24,9,-0.000238,-0.052005,0.057035,0.51725
24,10,0.024641,-0.021953,0.072736,0.6905
24,11,-0.053632,-0.104968,0.002382,0.2305
24,12,0.038576,-0.016467,0.08635,0.7155
24,13,-0.002583,-0.061029,0.058011,0.51925
24,14,0.007719,-0.05809,0.075506,0.55475
24,15,-0.066418,-0.130581,-0.002129,0.149
24,16,-0.039892,-0.096145,0.02197,0.334
24,17,0.069849,-0.002278,0.132211,0.82075
24,18,0.115263,0.068219,0.160583,0.9605
24,19,-0.053923,-0.114204,-0.000695,0.22725
24,20,-0.009572,-0.080568,0.065123,0.43675
24,21,-0.021046,-0.134194,0.09345,0.435
24,22,-0.09155,-0.205087,0.030052,0.2115
24,23,0.287203,0.241617,0.334281,1.0
25,0,0.089063,0.026251,0.14812,0.9555
25,1,-0.032091,-0.093491,0.029602,0.273
25,2,-0.040542,-0.087926,0.012298,0.20225
25,3,-0.001995,-0.040823,0.038079,0.498
25,4,0.008383,-0.027554,0.045243,0.57025
25,5,-0.027839,-0.072719,0.02155,0.2865
25,6,0.019038,-0.026083,0.063789,0.66525
25,7,0.008259,-0.021939,0.039477,0.56225
25,8,-0.001984,-0.062098,0.059467,0.478
25,9,0.017032,-0.03206,0.068545,0.6295
25,10,0.023284,-0.030529,0.077052,0.68475
25,11,-0.010669,-0.048285,0.030145,0.393
25,12,-0.004517,-0.044031,0.035341,0.4505
25,13,0.003789,-0.03998,0.048228,0.53475
25,14,0.00048,-0.051565,0.05302,0.50925
25,15,-0.022771,-0.071144,0.027897,0.30175
25,16,0.027967,-0.007298,0.067284,0.74975
25,17,-0.006647,-0.046399,0.032212,0.39725
25,18,0.003165,-0.036357,0.044133,0.5275
25,19,-0.000855,-0.04022,0.039958,0.489
25,20,-0.008861,-0.067253,0.050518,0.42925
25,21,0.024408,-0.024896,0.073431,0.701
25,22,0.013962,-0.031882,0.059199,0.63125
25,23,-0.018875,-0.05884,0.018645,0.338
25,24,-0.018493,-0.053951,0.019473,0.30975
26,0,-0.099507,-0.163705,-0.029335,0.0285
26,1,0.098051,0.029115,0.162569,0.95775
26,2,-0.03586,-0.091087,0.019153,0.2315
26,3,-0.047048,-0.095398,-0.000478,0.14125
26,4,0.026125,-0.011385,0.066578,0.748
26,5,-0.052513,-0.105166,0.002051,0.14875
26,6,0.003534,-0.05025,0.052945,0.52625
26,7,-0.052132,-0.090229,-0.011434,0.08625
26,8,-0.020106,-0.084625,0.04769,0.3455
26,9,0.039878,-0.018706,0.094775,0.78675
26,10,-0.056276,-0.115908,0.001062,0.1285
26,11,0.013615,-0.025706,0.056644,0.624
26,12,0.068104,0.025915,0.11056,0.94825
26,13,0.057989,0.013494,0.111696,0.91075
26,14,-0.000357,-0.055437,0.059737,0.4955
26,15,0.017928,-0.040531,0.073811,0.63725
26,16,0.041129,0.008228,0.082712,0.868
26,17,0.035652,-6.7e-05,0.084402,0.84025
26,18,0.04136,-0.000562,0.081779,0.83
26,19,-0.01557,-0.059988,0.031941,0.343
26,20,-0.038394,-0.105928,0.022038,0.21725
26,21,-0.029632,-0.089998,0.019131,0.25625
26,22,-0.059265,-0.116305,-0.00364,0.10225
26,23,0.062796,0.018837,0.106179,0.9225
26,24,0.035591,-0.007174,0.078772,0.80875
26,25,0.078095,-0.03599,0.186026,0.8375
27,0,0.032387,-0.022711,0.089324,0.72675
27,1,-0.023391,-0.079098,0.028443,0.31975
27,2,0.010668,-0.035201,0.052138,0.59075
27,3,0.035857,6e-05,0.073042,0.7735
27,4,-0.019484,-0.050509,0.013712,0.33425
27,5,0.031894,-0.005602,0.074767,0.75125
27,6,-0.08819,-0.12802,-0.041795,0.027
27,7,0.015605,-0.018142,0.049407,0.633
27,8,0.045991,-0.015209,0.10539,0.806
27,9,-0.044756,-0.093084,0.000871,0.176
27,10,-0.048489,-0.09712,-0.00335,0.1555
27,11,0.056319,0.022947,0.093537,0.895
27,12,-0.092808,-0.127376,-0.057042,0.0205
27,13,-0.097423,-0.132528,-0.06023,0.01625
27,14,-0.021092,-0.070881,0.031662,0.3365
27,15,0.002083,-0.044555,0.046364,0.5225
27,16,-0.053252,-0.091352,-0.015892,0.12025
27,17,-0.059941,-0.096195,-0.024068,0.09425
27,18,-0.025919,-0.066093,0.011099,0.28425
27,19,0.031884,-0.003314,0.071702,0.76
27,20,0.006682,-0.056959,0.066145,0.5555
27,21,0.009582,-0.044523,0.061401,0.58175
27,22,0.018839,-0.024414,0.05796,0.65
27,23,-0.039191,-0.073573,-0.004234,0.19075
27,24,-0.063172,-0.095884,-0.02544,0.0775
27,25,-0.091216,-0.157003,-0.021697,0.05975
27,26,0.00124,-0.075054,0.07648,0.502
28,0,-0.032954,-0.085729,0.019069,0.25075
28,1,0.106466,0.050382,0.156807,0.98325
28,2,-0.029619,-0.068854,0.010049,0.265
28,3,0.098453,0.065959,0.129102,0.98725
28,4,0.003395,-0.024202,0.032319,0.54175
28,5,0.006897,-0.028958,0.043001,0.5445
28,6,-0.053906,-0.093439,-0.014152,0.12875
28,7,0.003061,-0.025807,0.035599,0.517
28,8,-0.017344,-0.073322,0.042778,0.3705
28,9,0.010385,-0.033965,0.054043,0.5905
28,10,-0.011791,-0.058138,0.030916,0.4015
28,11,0.059077,0.028234,0.090894,0.9185
28,12,-0.075752,-0.107912,-0.044924,0.05225
28,13,-0.102391,-0.13387,-0.06952,0.01125
28,14,-0.036357,-0.082525,0.016214,0.23625
28,15,-0.042429,-0.083553,0.00446,0.194
28,16,-0.01969,-0.053517,0.013829,0.322
28,17,-0.032807,-0.06619,0.001116,0.2335
28,18,-0.054458,-0.085629,-0.02003,0.10725
28,19,-0.058765,-0.09332,-0.02466,0.095
28,20,0.003631,-0.055322,0.066848,0.526
28,21,-0.060952,-0.111064,-0.009512,0.10225
28,22,0.0007,-0.040068,0.041054,0.4965
28,23,0.004912,-0.026562,0.037237,0.5465
28,24,-0.006126,-0.036131,0.028654,0.44725
28,25,-0.068776,-0.130512,-0.007682,0.096
28,26,-0.041516,-0.111046,0.028442,0.222
28,27,0.169125,0.112239,0.227091,0.99825
29,0,-0.025534,-0.074642,0.028797,0.3115
29,1,-0.070067,-0.117798,-0.022468,0.067
29,2,-0.007938,-0.046198,0.033026,0.439
29,3,-0.057917,-0.089532,-0.024127,0.131
29,4,-0.041366,-0.068884,-0.015411,0.2155
29,5,-0.018911,-0.053312,0.016602,0.34575
29,6,-0.051155,-0.091545,-0.010589,0.163
29,7,0.024933,-0.007942,0.059448,0.68375
29,8,0.006879,-0.045621,0.061143,0.5585
29,9,0.02639,-0.014176,0.071007,0.709
29,10,0.017222,-0.027838,0.058964,0.6375
29,11,-0.051168,-0.084076,-0.016043,0.156
29,12,0.026812,-0.005762,0.0607,0.70025
29,13,0.00572,-0.028359,0.037985,0.5395
29,14,-0.023352,-0.077809,0.031133,0.33975
29,15,-0.024843,-0.064259,0.023274,0.3245
29,16,-0.003493,-0.039657,0.032267,0.48625
29,17,0.094379,0.063681,0.126793,0.96175
29,18,0.008896,-0.023383,0.042224,0.59125
29,19,-0.00437,-0.04424,0.030786,0.4705
29,20,-0.025606,-0.092158,0.038073,0.32325
29,21,0.033413,-0.026507,0.092515,0.73
29,22,0.008168,-0.035268,0.051798,0.56275
29,23,-0.059329,-0.089153,-0.029684,0.11925
29,24,-0.043134,-0.079398,-0.013082,0.2065
29,25,0.080218,0.03508,0.126553,0.967
29,26,-0.007592,-0.052499,0.03641,0.4125
29,27,-0.02372,-0.065685,0.019795,0.2975
29,28,0.025742,-0.011015,0.062787,0.71725
30,0,-0.017409,-0.067529,0.035191,0.34625
30,1,-0.079287,-0.126057,-0.027696,0.04325
30,2,0.047611,0.011354,0.087011,0.8325
30,3,-0.044331,-0.079209,-0.010991,0.1885
30,4,0.021785,-0.007206,0.053867,0.665
30,5,-0.047652,-0.081607,-0.016445,0.1675
30,6,-0.031547,-0.073808,0.008992,0.2775
30,7,0.006375,-0.037072,0.047404,0.5535
30,8,-0.021129,-0.074397,0.030156,0.33475
30,9,0.018777,-0.023926,0.065707,0.6605
30,10,0.027659,-0.016864,0.069223,0.726
30,11,-0.065727,-0.096737,-0.031387,0.12
30,12,-0.094883,-0.126722,-0.061243,0.0325
30,13,-0.041126,-0.075661,-0.00842,0.2295
30,14,0.001983,-0.051778,0.062676,0.53475
30,15,-0.005488,-0.053463,0.040656,0.49425
30,16,-0.039126,-0.082226,-0.000389,0.26525
30,17,-0.041156,-0.085458,0.004252,0.2665
30,18,-0.002393,-0.03671,0.030135,0.49525
30,19,0.005699,-0.034437,0.042938,0.548
30,20,-0.021943,-0.091958,0.043821,0.34625
30,21,-0.043883,-0.099955,0.01444,0.22925
30,22,0.003933,-0.04363,0.052257,0.549
30,23,0.010336,-0.023614,0.041228,0.59375
30,24,0.034326,-0.001549,0.078663,0.7325
30,25,0.055289,0.015087,0.095285,0.89475
30,26,-0.041465,-0.084456,0.00881,0.16975
30,27,-0.011575,-0.046412,0.023604,0.4075
30,28,0.057886,0.02619,0.088663,0.904
30,29,0.128125,0.069467,0.188126,0.99025
31,0,0.013163,-0.032951,0.062907,0.6035
31,1,-0.081625,-0.127715,-0.033462,0.045
31,2,-0.028029,-0.067486,0.008544,0.28725
31,3,0.010199,-0.020542,0.040117,0.59
31,4,0.035229,0.012103,0.061994,0.754
31,5,-0.050139,-0.083408,-0.017765,0.1455
31,6,-0.019213,-0.057164,0.021316,0.363
31,7,0.012081,-0.020199,0.046796,0.6035
31,8,-0.01901,-0.068418,0.034529,0.33375
31,9,0.041303,-0.002301,0.083168,0.80075
31,10,-0.021298,-0.063743,0.019486,0.3255
31,11,-0.034426,-0.078829,0.01469,0.26725
31,12,-0.063225,-0.119193,-0.014636,0.1225
31,13,-0.095518,-0.153025,-0.046196,0.04425
31,14,-0.045921,-0.097911,0.008646,0.20875
31,15,0.026683,-0.016738,0.065876,0.70525
31,16,-0.050799,-0.087096,-0.014268,0.18925
31,17,-0.026471,-0.059286,0.012988,0.3385
31,18,-0.132137,-0.185859,-0.083302,0.005
31,19,-0.019226,-0.079818,0.036637,0.37575
31,20,-0.095517,-0.155263,-0.025163,0.04725
31,21,-0.026037,-0.086538,0.036706,0.33775
31,22,0.080261,0.028453,0.129212,0.9225
31,23,0.035886,0.006986,0.066384,0.76225
31,24,0.025921,-0.009621,0.06394,0.68925
31,25,-0.004871,-0.044402,0.034935,0.45275
31,26,0.031137,-0.014908,0.076491,0.7505
31,27,0.051381,0.016989,0.084653,0.876
31,28,0.021856,-0.008353,0.051385,0.686
31,29,0.11141,0.059401,0.165651,0.9805
31,30,0.068431,0.030883,0.105926,0.8875
32,0,-0.042403,-0.103576,0.025905,0.2215
32,1,0.001809,-0.063865,0.061685,0.52275
32,2,0.03427,-0.024527,0.098388,0.73925
