	Mean	MCSE	StdDev	5%	50%	95%	N_Eff	N_Eff/s	R_hat
theta[1,1]	-0.34	0.0075	0.36	-0.95	-0.33	0.23	2267.0	1.1	1.0
theta[2,1]	-0.27	0.014	0.85	-1.7	-0.23	1.0	3549.0	1.7	1.0
theta[3,1]	-0.38	0.014	0.8	-1.7	-0.35	0.92	3275.0	1.6	1.0
theta[4,1]	-0.21	0.016	0.93	-1.8	-0.18	1.3	3304.0	1.6	1.0
theta[5,1]	-1.1	0.012	0.67	-2.3	-1.0	-0.083	3089.0	1.5	1.0
theta[6,1]	1.0	0.013	0.72	-0.12	1.0	2.3	2906.0	1.4	1.0
theta[7,1]	-0.25	0.013	0.75	-1.6	-0.2	0.88	3213.0	1.5	1.0
theta[8,1]	-0.95	0.0093	0.55	-1.9	-0.91	-0.13	3447.0	1.6	1.0
theta[9,1]	-0.22	0.015	0.83	-1.7	-0.17	1.0	3104.0	1.5	1.0
theta[10,1]	1.4	0.011	0.62	0.3	1.4	2.3	3010.0	1.4	1.0
theta[11,1]	-0.077	0.017	0.95	-1.7	-0.058	1.4	3217.0	1.5	1.0
theta[1,2]	0.34	0.0066	0.29	-0.17	0.34	0.8	1954.0	0.93	1.0
theta[2,2]	1.0	0.0099	0.5	0.24	1.0	1.9	2582.0	1.2	1.0
theta[3,2]	0.69	0.015	0.74	-0.51	0.67	1.9	2591.0	1.2	1.0
theta[4,2]	1.3	0.013	0.67	0.2	1.3	2.4	2813.0	1.3	1.0
theta[5,2]	-1.2	0.011	0.61	-2.3	-1.2	-0.31	3003.0	1.4	1.0
theta[6,2]	-1.2	0.014	0.69	-2.4	-1.2	-0.13	2346.0	1.1	1.0
theta[7,2]	-0.29	0.012	0.66	-1.4	-0.24	0.7	3098.0	1.5	1.0
theta[8,2]	-0.5	0.0087	0.49	-1.3	-0.51	0.33	3249.0	1.5	1.0
theta[9,2]	2.0	0.0097	0.51	1.2	2.0	2.9	2694.0	1.3	1.0
