name	Mean	MCSE	StdDev	5%	50%	95%	N_Eff	N_Eff/s	R_hat
theta[1,1]	-0.206	0.00449	0.336	-0.783	-0.192	0.318	5596.0	5.54	1.0
theta[2,1]	-1.06	0.00749	0.643	-2.15	-1.04	-0.0319	7370.0	7.3	0.999
theta[3,1]	-0.475	0.0105	0.779	-1.86	-0.419	0.696	5481.0	5.43	1.0
theta[1,2]	0.2	0.0042	0.283	-0.267	0.207	0.66	4540.0	4.5	0.999
theta[2,2]	-0.0454	0.00734	0.527	-0.948	-0.0258	0.791	5143.0	5.09	1.0
theta[3,2]	1.53	0.00605	0.449	0.81	1.52	2.27	5515.0	5.46	0.999
theta[1,3]	-0.835	0.00617	0.429	-1.58	-0.801	-0.183	4844.0	4.8	1.0
theta[2,3]	1.25	0.00686	0.522	0.404	1.25	2.11	5789.0	5.73	1.0
theta[3,3]	-0.249	0.0105	0.835	-1.7	-0.192	1.04	6354.0	6.29	1.0
theta[1,4]	-1.24	0.00689	0.497	-2.11	-1.2	-0.476	5219.0	5.17	1.0
theta[2,4]	1.13	0.00827	0.548	0.223	1.13	2.03	4402.0	4.36	1.0
theta[3,4]	-0.151	0.00998	0.898	-1.7	-0.0903	1.24	8099.0	8.02	1.0
theta[1,5]	1.42	0.00386	0.251	1.01	1.42	1.85	4244.0	4.2	1.0
theta[2,5]	0.395	0.0061	0.469	-0.353	0.39	1.15	5919.0	5.86	1.0
theta[3,5]	-1.37	0.0081	0.597	-2.45	-1.32	-0.481	5435.0	5.38	1.0
theta[1,6]	-1.59	0.00738	0.58	-2.6	-1.55	-0.72	6165.0	6.11	0.999
theta[2,6]	-0.86	0.00912	0.752	-2.15	-0.828	0.344	6796.0	6.73	1.0
theta[3,6]	-0.147	0.0109	0.92	-1.71	-0.108	1.28	7082.0	7.01	0.999
theta[1,7]	-1.12	0.00694	0.459	-1.91	-1.1	-0.42	4370.0	4.33	0.999
theta[2,7]	-1.02	0.00879	0.731	-2.28	-0.99	0.141	6904.0	6.84	1.0
theta[3,7]	1.27	0.00834	0.591	0.265	1.28	2.22	5013.0	4.96	1.0
theta[1,8]	0.814	0.00378	0.267	0.371	0.812	1.25	4998.0	4.95	1.0
theta[2,8]	-0.56	0.006	0.524	-1.44	-0.54	0.28	7635.0	7.56	1.0
theta[3,8]	-0.0842	0.00587	0.466	-0.855	-0.0779	0.655	6292.0	6.23	1.0
theta[1,9]	-0.0793	0.00465	0.31	-0.61	-0.07	0.409	4468.0	4.42	1.0
theta[2,9]	-1.45	0.00802	0.663	-2.62	-1.44	-0.441	6839.0	6.77	1.0
theta[3,9]	1.21	0.00704	0.452	0.467	1.21	1.97	4126.0	4.09	0.999
theta[1,10]	0.71	0.00342	0.253	0.296	0.709	1.14	5463.0	5.41	1.0
theta[2,10]	0.615	0.00562	0.461	-0.149	0.62	1.36	6750.0	6.69	0.999
theta[3,10]	-0.916	0.00872	0.659	-2.13	-0.849	0.0425	5716.0	5.66	1.0
theta[1,11]	0.295	0.00402	0.277	-0.165	0.3	0.751	4765.0	4.72	1.0
theta[2,11]	-0.0147	0.00599	0.503	-0.878	-0.00118	0.802	7056.0	6.99	0.999
theta[3,11]	0.0113	0.00747	0.518	-0.893	0.0382	0.805	4820.0	4.77	1.0
