"","f1","f2"
"x1",0.36970677979325,0.529284336970257
"x2",0.49431020897921,0.495181281596538
"x3",0.411288374841161,0.561223550271639
"x4",0.369665534275921,0.403551643780374
"x5",0.296269065212636,0.274874518123482
"x6",0.371795821213004,0.551679560405258
"x9",0.205388806986046,0.325490686741943
"x12",0.452145961206807,0.314808199674809
"x13",0.346290341657204,0.261126193698992
"x15",0.313014856184744,0.435201489104688
"x17",0.539330179555903,0.322136037754731
"x18",0.482051458326382,0.346861289027136
"x19",0.39260630633697,0.184767072891933
"x21",0.25442491804501,0.482775862489594
"x24",0.27206832149859,0.368016892485665
"x26",0.852193831628011,-0.125397152278922
"x27",0.933455831890287,-0.187539458652892
"x28",0.712599491392401,-0.142984303293734
"x29",0.63114913037587,-0.175101405914762
"x30",0.73759369562639,-0.0400391447629372
"x31",0.482739607403794,0.0501706232994625
"x32",0.571694995309507,0.0197254218624251
"x33",0.604405297471905,0.0760079889558322
"x36",0.461229799582677,0.0853273945964054
"x38",0.351275524470891,0.548528686249808
"x39",0.346821183016166,0.332355099292126
"x40",0.470457602138316,0.31177477018366
"x41",0.426615317930089,0.384424485739046
"x42",-0.203052880572276,0.948158997172814
"x43",-0.229176980195591,0.922326524751511
"x44",-0.0313389412035938,0.835315909647485
"x45",-0.0154631778245847,0.619128479886844
"x46",0.220542612869728,0.529055238975345
"x47",0.212162727395789,0.505361478626105
"x48",0.470932696620647,0.346381845993855
"x49",0.462672491137331,0.215287896924383
"x50",0.508263099673561,0.0633181042139714
"x51",-0.027587615314893,0.927346529303376
"x52",0.0993837904558527,0.891086800794136
