"","f1","f2"
"x1",0.569308204115246,0.43275052560845
"x2",0.631125533779812,0.40494954179107
"x3",0.563786740004513,0.453544393247327
"x4",0.451751808557562,0.377045472475743
"x5",0.346490420319001,0.324844884623692
"x6",0.524498345228836,0.462912514892768
"x9",0.32322866000612,0.260231143980969
"x12",0.348223804709052,0.531296584910124
"x13",0.291475382487969,0.507188504695718
"x15",0.445735664192572,0.349215140826069
"x17",0.235020897818455,0.658904694968778
"x18",0.263952311049382,0.723747216906138
"x19",0.388904299540543,0.215858730370727
"x21",0.374912734790245,0.444593450970008
"x24",0.402923484324012,0.332635697993413
"x26",0.83686332654245,-0.205218394903603
"x27",0.915018546545908,-0.285357933483866
"x28",0.729291707834951,-0.203040118033515
"x29",0.677061299798182,-0.239667609832961
"x30",0.722191519407718,-0.115560533680541
"x31",0.577609725332827,0.0642967964740814
"x32",0.582482242835351,0.0455788449815283
"x33",0.600906492500715,-0.00483951292938231
"x36",0.472660851038545,0.0990853403748889
"x38",0.447249582439647,0.437677658046413
"x39",0.419076295750497,0.309704514718443
"x40",0.572034716417249,0.214902795496396
"x41",0.4866023304884,0.382200789187135
"x42",-0.238132241269595,0.895603125557795
"x43",-0.188104184242314,0.875342922719402
"x44",-0.117582177625468,0.905819310980569
"x45",-0.18515813013518,0.831648693879504
"x46",0.344679070889951,0.517285277717375
"x47",0.333210775891815,0.515713577629559
"x48",0.455451374866726,0.262031105550957
"x49",0.488844970381895,0.204674873881971
"x50",0.498800494546731,0.0679291697152589
"x51",-0.0373844057410243,0.890008283310693
"x52",0.0885617182800056,0.866282137890198
