"","f1","f2","f3"
"x1",0.884274156429009,-0.0170944801641607,-0.132109264654581
"x2",0.891525896676837,0.113056477824147,-0.142345869143173
"x3",0.849443890697942,0.00989490349161356,-0.0357910766998057
"x4",0.624998551149087,0.0812130352524183,0.044645157257315
"x5",0.321979014184084,0.110829877941727,0.26508946042899
"x6",0.820056919784215,-0.0536692105221081,0.0533808823707132
"x9",0.542319866236521,-0.0223963920081047,-0.0538531287646542
"x12",-0.00539059764059092,0.369892137273661,0.597738949155971
"x13",-0.071352864326728,0.332832870216528,0.584055125312372
"x15",0.652329931900472,-0.068684037437518,0.107547657449488
"x17",-0.00169333640313847,0.192940038343504,0.680556544558312
"x18",0.0231762288099709,0.235314491037149,0.764575745807753
"x19",-0.0149371590048534,0.366406918346697,0.479341329563887
"x21",0.673680761826349,-0.102768646934553,0.0750319865379953
"x24",0.450725934854659,0.0685593867880602,0.145547333212112
"x26",0.188692910020445,0.749051330907921,0.0104017603552711
"x27",0.193499968448703,0.849208479114076,-0.020413909726202
"x28",0.205245957187738,0.63428039911992,-0.0708137152962476
"x29",0.175819827834063,0.575168409583193,-0.0984757838187869
"x30",-0.0279785738775261,0.724416388238625,0.321162903858564
"x31",-0.068358361324619,0.492290905632757,0.417584571823432
"x32",0.032603681792137,0.519821415607183,0.287677819857616
"x33",0.0409278260258501,0.531467553151663,0.354602146782578
"x36",0.0344261651755847,0.436753864475501,0.319372595846009
"x38",0.421377942911402,0.203064221078115,0.362205289004797
"x39",0.293300379139532,0.245549378397807,0.263175504135255
"x40",0.551262281593928,0.251297184494349,-0.0205600805964542
"x41",0.34274931318442,0.272488440669757,0.29765867273833
"x42",-0.0282578484447011,-0.281087203177764,0.919339609978639
"x43",0.0832575967247873,-0.287606984163574,0.807343857607447
"x44",0.031663328064656,-0.203562636220506,0.848862911022661
"x45",-0.00867000692386461,-0.261608318714405,0.732377113216885
"x46",0.406766983830728,-0.0166115966152988,0.318662921707441
"x47",0.215966614196899,0.00160901332167625,0.504187151276172
"x48",0.527342092143897,0.204016650865539,0.0844507935442853
"x49",0.388832051904549,0.294902650720513,0.100561823336787
"x50",0.277995234010788,0.361995749405076,0.0734017275369802
"x51",0.119658262147495,-0.107107048613378,0.851112383496755
"x52",0.207323972532945,0.00402593613933532,0.802841740337574
