"","f1","f2","f3"
"x1",0.763978506035508,0.0826272079487602,0.0435607037494485
"x2",0.735421137168402,0.177361677082817,0.0407603885507756
"x3",0.866135815579383,-0.00637930008118499,-0.0137697624716431
"x4",0.585242485029632,0.084059410645936,0.0995337762494413
"x5",0.390432155488364,0.108178032344233,0.164632035829837
"x6",0.871926269946213,-0.0621520093795375,-0.0038099946699824
"x9",0.560008841936336,-0.0439730885424187,-0.0403081343464531
"x12",0.348633120702244,0.151472680169959,0.425332716698069
"x13",0.329959541117001,0.0979411152033571,0.404539955754668
"x15",0.768461132199293,-0.0713543747186267,-0.0795147482895973
"x17",0.31714872856128,0.04571396371149,0.567916749583154
"x18",0.343269022492915,0.0577842752554876,0.629357380834769
"x19",0.248850236395896,0.245906681434288,0.156330142101219
"x21",0.754731389766644,-0.142382702255894,0.0454622099860331
"x24",0.67495343060168,-0.0471620858177036,-0.022191143215631
"x26",0.0882796427263163,0.798040847246973,-0.0995765281686026
"x27",0.0908937471963515,0.876653538819489,-0.180343484297921
"x28",0.138414991083842,0.66715463645834,-0.175961841698756
"x29",0.0527840101816586,0.670085860303477,-0.168158020894668
"x30",-0.133350798554169,0.819648017460874,0.146823262887148
"x31",-0.00939785023327937,0.603251892676683,0.220484551993519
"x32",-0.0275703747327555,0.622773848323665,0.210402143335603
"x33",-0.061830607669479,0.651245251508548,0.193383877449591
"x36",0.0272542047196902,0.482554149640307,0.198567146495049
"x38",0.42969317138619,0.205325564158937,0.277010736340759
"x39",0.401969871068766,0.183363715451677,0.148715699883335
"x40",0.503716500435728,0.273455822144987,-0.00937349447364958
"x41",0.46696357397235,0.214852803392804,0.197047523884018
"x42",-0.161367792624813,-0.0181361630422444,0.957765854312494
"x43",-0.0617602565026682,-0.0441368274920037,0.898124297071696
"x44",0.0770698230683512,-0.0880104479978391,0.876927647093464
"x45",0.0887859714342036,-0.190259759073427,0.796771484394368
"x46",0.406890665262012,0.109647379416055,0.366750007493815
"x47",0.407463645963989,0.0916656768543228,0.366243795551446
"x48",0.477296140199257,0.165149294461462,0.0463559923353026
"x49",0.470266149833657,0.202299017239037,-0.00574398820562286
"x50",0.334399510386805,0.303086528106206,-0.0605827721948712
"x51",-0.00109985640169402,0.0787304982963496,0.892111249274843
"x52",0.107807685916354,0.137170120671329,0.829411700922776
