k1,k2,obs,pred,pval
0,0,0.06497652565086513,0.036775314841052696,1.0
1,0,0.33190286811394104,0.0006975962158998505,1.0
2,0,0.11670877487101824,-0.00015948913775181776,0.9885
2,1,0.07902981735142414,0.0011913597486564256,0.93875
3,0,0.04377186079001742,-0.002414980419966411,0.8395
3,1,0.039463054559362665,0.00017305193849575365,0.81325
3,2,0.06662958642426027,0.0008269349612446188,0.91325
4,0,-0.009873763150758313,-0.00017545857681620225,0.4055
4,1,0.029394147520572258,-0.000400960532390788,0.77575
4,2,-0.0015301875630931777,0.0008341697896275382,0.478
4,3,0.07752084851382368,-0.0008902691092873693,0.936
5,0,0.08967330095723004,0.0003069608154340981,0.96025
5,1,-0.023691420184448135,-0.0007713042194418513,0.31775
5,2,0.28177159828326775,0.002290936981885645,1.0
5,3,0.09032205564931203,-0.0007036045832088129,0.96975
5,4,0.012710677739789348,6.280529596642282e-05,0.61125
6,0,0.12575600356974884,3.1390254331734935e-05,0.996
6,1,-0.02477093327004275,0.0008161540951734063,0.27825
6,2,0.13574615735697462,0.0005518843342863886,0.99525
6,3,0.11989812436879821,-0.00010496254092737306,0.99075
6,4,0.0039752413273242875,-0.0004617818963424352,0.54625
6,5,0.26892865561612256,0.0004052325870136811,1.0
7,0,0.05376722393224752,0.00026574773166319866,0.8805
7,1,0.009888660252492321,-0.0009946688891823883,0.594
7,2,0.08185489138844153,-0.00021803037721635976,0.964
7,3,-0.005776886936114802,-0.0015218837415531643,0.4625
7,4,0.00541330012475509,-0.00048651518799675865,0.54425
7,5,0.18007880395856551,0.00012694459562478014,1.0
7,6,0.25365562806315234,0.0001268457175737533,1.0
8,0,-0.13274789355425057,-0.00035264779832082626,0.002
8,1,-0.023783040130693184,0.00025240464239121565,0.26775
8,2,0.01733389032354206,0.0002672796256307062,0.64275
8,3,0.010745737900447467,0.0007401934783334994,0.5925
8,4,0.04974271507302942,-0.0002618855374022792,0.80475
8,5,-0.05666807297540079,-0.0007704366254147323,0.11575
8,6,-0.09024843319546322,-0.00019733469906981212,0.0555
8,7,-0.05268802666177021,0.0004839441643943193,0.1155
9,0,-0.0976185451698046,-0.001433793468074451,0.0125
9,1,-0.06709200812585203,-7.695361775056592e-05,0.049
9,2,0.004725701121705425,-0.00029748654162036685,0.5455
9,3,-0.03452008570942254,-0.0002794247958192773,0.25525
9,4,-0.09016782947453376,-0.0003370096190301269,0.05075
9,5,-0.024107571544527005,-1.4942696814033676e-05,0.311
9,6,0.02138160092994089,0.000442396380846858,0.64925
9,7,0.015648655883736727,0.0008371121083456748,0.63225
9,8,0.2773125072953392,0.0003447716839515231,1.0
10,0,-0.008204280609399164,-0.00023190312117200124,0.429
10,1,-0.004566385662050407,-0.0001221657387503045,0.4595
10,2,0.1233189114781791,-0.0006591445314925509,0.992
10,3,0.06411268227310238,0.000274481034811223,0.88625
10,4,0.01386528718304872,0.0007062647845219357,0.60225
10,5,0.14990469618299604,-0.0011982792884091089,0.99925
10,6,0.24720343722044041,0.0011062975764240235,1.0
10,7,0.2341902651480376,0.0006127195158447315,1.0
10,8,-0.05312354842327243,0.000577988637724974,0.164
10,9,0.02494644907559641,-0.002247668772933948,0.68625
11,0,-0.0552701746791016,-0.0015090335135242267,0.10725
11,1,-0.025908732044218924,-0.0004114737396417997,0.24125
11,2,-0.03864174900363695,-0.0010698607803584052,0.20275
11,3,0.009859257280399568,-2.5097313323500538e-05,0.578
11,4,0.10799384007866689,0.00048686034670800577,0.944
11,5,0.03362797391887006,0.0012407042341953404,0.755
11,6,-0.024632205795970603,-0.0016083927245793502,0.359
11,7,0.007890268028331171,-4.075056157881719e-05,0.568
11,8,0.2862360410296811,0.0002561678778197845,1.0
11,9,0.16403594291015164,-0.0009504702995599159,0.992
11,10,0.044928184224846075,-0.00027081605372749224,0.78775
12,0,-0.0805630113797235,0.0006352916146529159,0.03375
12,1,-0.027069452598086224,0.00010181287611831256,0.223
12,2,0.03017331755623733,0.00011830870457735193,0.7475
12,3,-0.05340743679108771,0.00047515843411248293,0.14725
12,4,-0.09233131671532697,0.0001660886638472444,0.03
12,5,-0.017383064942103767,0.0008650341005676308,0.335
12,6,0.00957569291968194,-0.00032117251480439355,0.57825
12,7,-0.03185491662772406,0.0001915408975938091,0.245
12,8,0.06775326295914258,-0.0013171904303311455,0.86925
12,9,0.26872439874119597,0.0015834873843381476,0.9995
12,10,0.06852718609818254,-0.0010946299952458891,0.88325
12,11,0.44339133833799027,-0.0007309114254738068,1.0
13,0,-0.04444718143915801,0.000381090803634739,0.14775
13,1,-0.07685902966884864,0.00022018738482348704,0.02725
13,2,0.0183529212552518,-0.0004310731013902785,0.6585
13,3,-0.009987263182778962,-0.000811048553710321,0.425
13,4,-0.032090606688972456,0.0007876173660010233,0.28825
13,5,-0.0676273731824174,-0.00011146357837686974,0.06375
13,6,-0.01605181579712688,0.001313681465409809,0.37375
13,7,-0.02180154758311341,0.0009468490799899588,0.302
13,8,0.1281540761205485,0.0005300320953306822,0.98575
13,9,0.35779564451774576,-0.00026883652022730785,1.0
13,10,-0.019163887502400688,-0.0008585687874833921,0.3755
13,11,0.0696075811432509,0.0011997741127867877,0.87625
13,12,0.203004724505233,0.00021542412670001854,0.9975
14,0,0.07869309453874038,-0.00011278149324778648,0.962
14,1,-0.03237504301710373,0.0005762327719592391,0.209
14,2,0.14368518026246713,-0.0010098191534411369,0.99875
14,3,0.10674076811846228,-0.0013218070020531397,0.97925
14,4,-0.0069152929507349855,0.0005577849425379139,0.458
14,5,0.06663877909996477,-0.0007033655117867176,0.92325
14,6,0.1742710914289117,-0.0005384830025689673,0.999
14,7,0.023858718476364768,2.1709365869644956e-05,0.714
14,8,-0.0834212227364711,-0.0005499284998759847,0.07125
14,9,0.028491302492957424,-0.00032498911907490085,0.70125
14,10,0.15103248667125155,-0.0006019824895858548,0.9965
14,11,0.016271268386425165,0.0008311441223226101,0.60725
14,12,-0.04465329614281248,-0.000616598939115688,0.234
14,13,0.06857033923666565,0.0010016040504073054,0.89825
15,0,-0.022233643521036704,-0.000476716528509432,0.31625
15,1,0.0005493052685750245,-0.00045020489564040413,0.50125
15,2,0.053506767447126055,-1.867393821106641e-05,0.8755
15,3,-0.01568451447540354,-1.5871007306754734e-05,0.383
15,4,-0.05729951991795456,-0.0015788320497164502,0.15475
15,5,0.017587194500739995,0.00038765350761178584,0.64575
15,6,0.023831950883688006,0.0006029355279347381,0.66875
15,7,0.028759193658632026,0.0006992639992594729,0.73625
15,8,-0.03367481039360875,-0.0006094345741292419,0.28675
15,9,0.041791900312789884,-0.0002455441715900744,0.7845
15,10,0.0213339795003483,9.052565140770477e-05,0.65975
15,11,-0.10974106855960424,0.0005353048331135916,0.0275
15,12,-0.019872332277691893,0.0010754674333343824,0.3885
15,13,0.10763902744952066,-0.0004164833321988437,0.97275
15,14,0.22347752397227044,0.00015119800267544871,1.0
16,0,0.024492827609808605,-0.0004434863430180187,0.71
16,1,0.014608883495793853,0.0008761716788190879,0.615
16,2,-0.1119125442318092,0.0006357955662857993,0.0055
16,3,-0.02590688628261659,-0.0010418232091461762,0.2665
16,4,0.006434493821672409,0.0012924016374263653,0.54625
16,5,-0.09375084109403868,-0.0007291087219403148,0.01225
16,6,-0.05449718888265863,0.00019716999307657987,0.09475
16,7,-0.0189068921725469,-0.0006948579723294384,0.3435
16,8,0.009651423012179016,-0.0003383087720215878,0.5995
16,9,-0.017533141266137517,-0.0008272778765410623,0.3205
16,10,-0.0348331275987788,0.0012807931173572811,0.1895
16,11,0.029403824068474277,-0.0004715750703375382,0.78225
16,12,-0.01023011917884198,-0.0007882331508991048,0.386
16,13,-0.012743503572188949,0.00046696229520924254,0.36075
16,14,-0.057389012313203744,-0.00011938959873858746,0.079
16,15,-0.03445344990680991,-0.00012829416614512597,0.1855
17,0,-0.11078518190493802,0.0004569880376607571,0.00625
17,1,0.08486370651045735,-0.000928537764612846,0.971
17,2,-0.10595414747255481,0.0009716912574819496,0.0045
17,3,-0.06449200401979732,-0.0010822379887655948,0.05175
17,4,0.01908219408504236,-6.0429702586871684e-05,0.69175
17,5,-0.11535725552409998,0.0001913097990925781,0.002
17,6,-0.08778558971151228,0.0008947161731408333,0.01275
17,7,-0.08034307919728001,0.00020445459793075752,0.0265
17,8,0.0365369699048154,-0.0003395639159175632,0.8475
17,9,0.04630817216589318,0.001187031326766257,0.90825
17,10,-0.004882604771887209,0.0006016615318013251,0.44325
17,11,0.04027080423365115,0.00021987763326619314,0.87475
17,12,0.021826095693878552,0.0005482364871005152,0.69875
17,13,0.018966172353762283,0.0010786388883024462,0.68175
17,14,-0.11163043567905845,0.0003171754044741749,0.0025
17,15,0.0269260861273228,-0.001773067558671349,0.77725
17,16,0.5054249305531942,-9.551628419311877e-05,1.0
18,0,-0.011126115396068507,-0.0001501935337943697,0.405
18,1,-0.005090546203531765,-0.0005150935349431407,0.453
18,2,-0.06457480195397122,0.0005177117594589961,0.07425
18,3,0.01706794126126842,0.0007956637176510645,0.649
18,4,-0.015703050379074324,0.0007006350891983525,0.33575
18,5,-0.04858214310734875,-0.0008087552191619301,0.14575
18,6,-0.13433796532089895,-0.0010882255459267152,0.0015
18,7,-0.08723827986975717,0.00020855008345582203,0.02175
18,8,0.0697078869809835,0.0007538050342683657,0.95375
