item,subject,response,y_hat,y_pred,loo,ku
0,1052,1.0,0.3135,0.326902,-1.319107,0.296554
0,1053,0.0,0.44425,0.566042,-0.635752,0.084815
0,1054,0.0,0.13575,0.871552,-0.149865,0.128844
0,1055,0.0,0.0875,0.914333,-0.096235,0.107407
0,1056,1.0,0.884,0.881524,-0.13185,0.206452
0,1057,0.0,0.055,0.951195,-0.053114,0.135547
0,1058,0.0,0.0935,0.904658,-0.108318,0.176062
0,1059,1.0,0.75425,0.752483,-0.305527,0.077536
0,1060,0.0,0.33175,0.659616,-0.462259,-0.037748
0,1061,1.0,0.697,0.692775,-0.396729,0.288404
0,1062,0.0,0.51175,0.490815,-0.796204,0.28485
0,1064,1.0,0.759,0.765385,-0.284646,0.1513
0,1065,0.0,0.19275,0.803419,-0.242221,0.157395
0,1066,0.0,0.0475,0.951517,-0.052615,0.129679
0,1068,0.0,0.177,0.827643,-0.20776,0.115897
0,1069,1.0,0.56525,0.567937,-0.623885,0.103463
0,1070,0.0,0.247,0.759479,-0.30294,0.151545
0,1071,1.0,0.26625,0.261743,-1.603456,0.263721
0,1072,0.0,0.03475,0.965493,-0.037005,0.117457
0,1073,1.0,0.176,0.183696,-2.124314,0.293
0,1074,0.0,0.145,0.848748,-0.179525,0.212892
0,1075,0.0,0.29175,0.721158,-0.363175,0.228468
0,1076,1.0,0.872,0.875431,-0.139094,0.128639
0,1077,0.0,0.09075,0.915994,-0.095343,0.237477
0,1078,0.0,0.0505,0.950193,-0.054434,0.190272
0,1079,1.0,0.6895,0.688866,-0.403577,0.010853
0,1080,1.0,0.45825,0.465207,-0.859756,0.230649
0,1081,1.0,0.78425,0.776771,-0.268258,0.221823
0,1082,0.0,0.34825,0.656976,-0.466724,0.092431
0,1083,1.0,0.5995,0.596457,-0.569203,0.073222
0,1084,1.0,0.6085,0.619021,-0.527946,0.159902
0,1085,0.0,0.1815,0.82511,-0.210943,0.207857
0,1086,0.0,0.09175,0.912814,-0.097885,0.033422
0,1087,0.0,0.0565,0.945327,-0.060045,0.05648
0,1088,0.0,0.27475,0.720197,-0.360178,0.001534
0,1089,0.0,0.21175,0.784773,-0.266356,0.239587
