sample,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52
0,17,22,30,23,27,42,26,35,27,24,24,32,25,30,23,18,26,10,13,13,14,14,8,8,10,8,6,6,2,3,3,4,1,2,2,0,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1,14,19,25,25,36,36,31,37,26,31,24,26,23,22,23,20,15,24,21,13,10,11,8,7,11,7,7,8,5,4,0,2,3,4,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2,9,24,29,35,29,27,30,24,34,34,25,29,27,21,21,21,17,20,15,16,11,12,14,10,7,8,4,3,5,2,7,2,3,2,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
3,12,20,31,28,30,39,27,33,19,30,25,21,30,24,33,21,15,17,15,21,12,8,18,6,4,9,6,4,5,2,4,5,2,2,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
4,14,23,23,31,27,27,32,28,30,33,32,18,28,28,19,29,14,17,18,15,14,13,10,8,11,11,9,3,0,2,3,2,1,3,0,2,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
5,18,25,26,33,25,31,31,30,26,26,34,21,34,19,20,20,20,20,10,12,20,10,13,11,7,8,6,4,4,5,1,3,2,2,0,0,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
6,10,17,16,32,44,40,37,30,23,33,32,15,22,29,17,24,19,18,20,8,12,15,13,15,5,3,5,5,4,4,3,1,5,1,0,1,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
7,16,23,29,21,35,30,33,25,31,30,24,22,22,27,26,21,21,27,11,20,15,7,4,10,11,8,9,4,4,3,4,1,1,2,0,2,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,6,23,27,39,40,38,30,31,21,27,22,22,23,22,17,13,20,23,18,17,12,8,16,13,7,9,8,8,4,3,2,3,0,3,2,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
9,8,14,39,35,31,31,28,34,21,30,31,26,25,34,17,20,17,16,16,17,10,11,16,5,5,7,3,2,6,5,5,6,6,1,0,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
10,10,16,31,32,26,21,38,39,25,27,28,24,24,20,24,26,17,14,23,17,14,11,10,7,11,8,5,8,8,2,3,2,1,1,3,3,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0
11,11,24,19,27,30,37,28,27,28,29,29,25,32,33,26,20,21,16,14,11,18,8,4,9,9,10,11,4,3,5,5,1,0,2,0,4,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
