item,subject,response,y_hat,y_pred,loo,ku
0,1052,1.0,0.3325,0.337421,-1.288081,0.22125
0,1053,0.0,0.458,0.544933,-0.685807,0.133119
0,1054,0.0,0.13825,0.864132,-0.159229,0.050276
0,1055,0.0,0.08475,0.913149,-0.098236,0.22136
0,1056,1.0,0.88475,0.877789,-0.136126,0.052694
0,1057,0.0,0.05275,0.950736,-0.053657,0.073468
0,1058,0.0,0.09775,0.906214,-0.106147,0.148561
0,1059,1.0,0.774,0.781443,-0.263651,0.089954
0,1060,0.0,0.26375,0.734239,-0.343151,0.053302
0,1061,1.0,0.655,0.659365,-0.456642,0.18824
0,1062,0.0,0.46525,0.536762,-0.696881,0.12722
0,1064,1.0,0.79025,0.794806,-0.245879,-0.001153
0,1065,0.0,0.1935,0.801802,-0.244222,0.171016
0,1066,0.0,0.051,0.949064,-0.056067,0.199474
0,1068,0.0,0.183,0.823123,-0.214484,0.258253
0,1069,1.0,0.5815,0.588886,-0.585997,0.046129
0,1070,0.0,0.26475,0.752572,-0.315194,0.138293
0,1071,1.0,0.27025,0.273008,-1.563723,0.250411
0,1072,0.0,0.0375,0.964457,-0.038286,0.102491
0,1073,1.0,0.17975,0.189741,-2.087217,0.388084
0,1074,0.0,0.153,0.841885,-0.188351,0.123076
0,1075,0.0,0.29075,0.714173,-0.375358,0.181714
0,1076,1.0,0.8655,0.86972,-0.146743,0.022788
0,1077,0.0,0.0895,0.91559,-0.095723,0.114898
0,1078,0.0,0.05325,0.950451,-0.054302,0.150758
0,1079,1.0,0.69175,0.69011,-0.405342,0.160883
0,1080,1.0,0.48475,0.48988,-0.805097,0.196866
0,1081,1.0,0.7665,0.760219,-0.294826,0.199253
0,1082,0.0,0.366,0.64236,-0.495252,0.149737
0,1083,1.0,0.63275,0.625373,-0.51634,0.157091
0,1084,1.0,0.60875,0.620118,-0.523656,0.118493
0,1085,0.0,0.172,0.824632,-0.211644,-0.032621
0,1086,0.0,0.0845,0.909095,-0.102783,0.186569
0,1087,0.0,0.053,0.94548,-0.059792,0.150581
0,1088,0.0,0.29425,0.706444,-0.387461,0.229997
0,1089,0.0,0.1945,0.803493,-0.240981,0.143544
0,1090,1.0,0.61775,0.618806,-0.529959,0.172933
0,1092,0.0,0.18425,0.814574,-0.227184,0.073398
0,1094,1.0,0.368,0.37191,-1.157403,0.274572
0,1095,0.0,0.038,0.965715,-0.036683,0.126868
0,1096,1.0,0.70675,0.711785,-0.366954,0.03518
0,1097,1.0,0.469,0.478932,-0.829692,0.134957
0,1098,0.0,0.055,0.946463,-0.058773,0.02359
0,1100,1.0,0.73775,0.742248,-0.321141,0.048252
0,1101,0.0,0.1065,0.890418,-0.126149,0.053486
0,1102,0.0,0.26275,0.743415,-0.329009,0.061614
0,1104,1.0,0.988,0.98894,-0.011224,0.162864
0,1105,1.0,0.82625,0.825725,-0.203114,0.098253
0,1106,0.0,0.0875,0.903444,-0.110428,0.210044
0,1107,0.0,0.24925,0.765804,-0.293537,0.069582
0,1108,1.0,0.55375,0.552285,-0.657035,0.180954
0,1110,1.0,0.774,0.779273,-0.266691,0.114633
