study,model,k1,k2,Q3,Q3_95,Q3_99,Q3_star,Q3_star_95,Q3_star_99
teicher2015,1,1,0,0.160073,0.205353,0.238558,0.174638,0.186545,0.217733
teicher2015,1,2,0,-0.063511,0.205353,0.238558,-0.048946,0.186545,0.217733
teicher2015,1,2,1,-0.084938,0.205353,0.238558,-0.070373,0.186545,0.217733
teicher2015,1,3,0,0.02409,0.205353,0.238558,0.038655,0.186545,0.217733
teicher2015,1,3,1,-0.031824,0.205353,0.238558,-0.017259,0.186545,0.217733
teicher2015,1,3,2,0.013888,0.205353,0.238558,0.028453,0.186545,0.217733
teicher2015,1,4,0,-0.024194,0.205353,0.238558,-0.009628,0.186545,0.217733
teicher2015,1,4,1,-0.04624,0.205353,0.238558,-0.031675,0.186545,0.217733
teicher2015,1,4,2,-0.015677,0.205353,0.238558,-0.001112,0.186545,0.217733
teicher2015,1,4,3,0.003315,0.205353,0.238558,0.01788,0.186545,0.217733
teicher2015,1,5,0,-0.072607,0.205353,0.238558,-0.058042,0.186545,0.217733
teicher2015,1,5,1,-0.088083,0.205353,0.238558,-0.073518,0.186545,0.217733
teicher2015,1,5,2,0.227432,0.205353,0.238558,0.241998,0.186545,0.217733
teicher2015,1,5,3,-0.03917,0.205353,0.238558,-0.024605,0.186545,0.217733
teicher2015,1,5,4,0.025931,0.205353,0.238558,0.040496,0.186545,0.217733
teicher2015,1,6,0,0.000833,0.205353,0.238558,0.015399,0.186545,0.217733
teicher2015,1,6,1,-0.107673,0.205353,0.238558,-0.093108,0.186545,0.217733
teicher2015,1,6,2,0.064728,0.205353,0.238558,0.079293,0.186545,0.217733
teicher2015,1,6,3,-0.001664,0.205353,0.238558,0.012901,0.186545,0.217733
teicher2015,1,6,4,0.037671,0.205353,0.238558,0.052236,0.186545,0.217733
teicher2015,1,6,5,0.14208,0.205353,0.238558,0.156645,0.186545,0.217733
teicher2015,1,7,0,-0.028828,0.205353,0.238558,-0.014263,0.186545,0.217733
teicher2015,1,7,1,-0.035088,0.205353,0.238558,-0.020523,0.186545,0.217733
teicher2015,1,7,2,-0.058579,0.205353,0.238558,-0.044014,0.186545,0.217733
teicher2015,1,7,3,-0.033262,0.205353,0.238558,-0.018696,0.186545,0.217733
teicher2015,1,7,4,0.057489,0.205353,0.238558,0.072055,0.186545,0.217733
teicher2015,1,7,5,-0.036285,0.205353,0.238558,-0.02172,0.186545,0.217733
teicher2015,1,7,6,0.002752,0.205353,0.238558,0.017317,0.186545,0.217733
teicher2015,1,8,0,-0.048199,0.205353,0.238558,-0.033633,0.186545,0.217733
teicher2015,1,8,1,-0.018916,0.205353,0.238558,-0.00435,0.186545,0.217733
teicher2015,1,8,2,-0.021608,0.205353,0.238558,-0.007043,0.186545,0.217733
teicher2015,1,8,3,-0.079031,0.205353,0.238558,-0.064466,0.186545,0.217733
teicher2015,1,8,4,0.081351,0.205353,0.238558,0.095917,0.186545,0.217733
teicher2015,1,8,5,0.004036,0.205353,0.238558,0.018601,0.186545,0.217733
teicher2015,1,8,6,0.025302,0.205353,0.238558,0.039867,0.186545,0.217733
teicher2015,1,8,7,0.349781,0.205353,0.238558,0.364346,0.186545,0.217733
teicher2015,1,9,0,-0.012396,0.205353,0.238558,0.002169,0.186545,0.217733
teicher2015,1,9,1,-0.086838,0.205353,0.238558,-0.072273,0.186545,0.217733
teicher2015,1,9,2,0.104155,0.205353,0.238558,0.11872,0.186545,0.217733
teicher2015,1,9,3,-0.085645,0.205353,0.238558,-0.07108,0.186545,0.217733
teicher2015,1,9,4,0.00758,0.205353,0.238558,0.022145,0.186545,0.217733
teicher2015,1,9,5,0.34326,0.205353,0.238558,0.357826,0.186545,0.217733
teicher2015,1,9,6,0.000204,0.205353,0.238558,0.014769,0.186545,0.217733
teicher2015,1,9,7,-0.034669,0.205353,0.238558,-0.020103,0.186545,0.217733
teicher2015,1,9,8,-0.140377,0.205353,0.238558,-0.125812,0.186545,0.217733
teicher2015,1,10,0,-0.02348,0.205353,0.238558,-0.008915,0.186545,0.217733
teicher2015,1,10,1,-0.024864,0.205353,0.238558,-0.010299,0.186545,0.217733
teicher2015,1,10,2,-0.088565,0.205353,0.238558,-0.073999,0.186545,0.217733
teicher2015,1,10,3,-0.046746,0.205353,0.238558,-0.03218,0.186545,0.217733
teicher2015,1,10,4,-0.056413,0.205353,0.238558,-0.041847,0.186545,0.217733
teicher2015,1,10,5,-0.045908,0.205353,0.238558,-0.031343,0.186545,0.217733
teicher2015,1,10,6,0.012875,0.205353,0.238558,0.02744,0.186545,0.217733
teicher2015,1,10,7,0.41255,0.205353,0.238558,0.427115,0.186545,0.217733
teicher2015,1,10,8,0.136443,0.205353,0.238558,0.151008,0.186545,0.217733
teicher2015,1,10,9,-0.03562,0.205353,0.238558,-0.021055,0.186545,0.217733
teicher2015,1,11,0,-0.031678,0.205353,0.238558,-0.017112,0.186545,0.217733
teicher2015,1,11,1,-0.013618,0.205353,0.238558,0.000947,0.186545,0.217733
teicher2015,1,11,2,-0.031394,0.205353,0.238558,-0.016828,0.186545,0.217733
teicher2015,1,11,3,-0.072787,0.205353,0.238558,-0.058222,0.186545,0.217733
teicher2015,1,11,4,-0.086877,0.205353,0.238558,-0.072312,0.186545,0.217733
teicher2015,1,11,5,-0.028025,0.205353,0.238558,-0.013459,0.186545,0.217733
teicher2015,1,11,6,0.024249,0.205353,0.238558,0.038814,0.186545,0.217733
teicher2015,1,11,7,0.202531,0.205353,0.238558,0.217097,0.186545,0.217733
teicher2015,1,11,8,0.273817,0.205353,0.238558,0.288382,0.186545,0.217733
teicher2015,1,11,9,-0.017459,0.205353,0.238558,-0.002894,0.186545,0.217733
teicher2015,1,11,10,0.58872,0.205353,0.238558,0.603285,0.186545,0.217733
teicher2015,1,12,0,-0.077218,0.205353,0.238558,-0.062653,0.186545,0.217733
teicher2015,1,12,1,-0.086502,0.205353,0.238558,-0.071937,0.186545,0.217733
teicher2015,1,12,2,-0.0617,0.205353,0.238558,-0.047135,0.186545,0.217733
teicher2015,1,12,3,-0.031199,0.205353,0.238558,-0.016634,0.186545,0.217733
teicher2015,1,12,4,0.046154,0.205353,0.238558,0.06072,0.186545,0.217733
teicher2015,1,12,5,-0.018233,0.205353,0.238558,-0.003668,0.186545,0.217733
teicher2015,1,12,6,0.009261,0.205353,0.238558,0.023826,0.186545,0.217733
teicher2015,1,12,7,0.027964,0.205353,0.238558,0.042529,0.186545,0.217733
teicher2015,1,12,8,0.036402,0.205353,0.238558,0.050968,0.186545,0.217733
teicher2015,1,12,9,-0.098818,0.205353,0.238558,-0.084253,0.186545,0.217733
teicher2015,1,12,10,-0.048734,0.205353,0.238558,-0.034169,0.186545,0.217733
teicher2015,1,12,11,-0.070594,0.205353,0.238558,-0.056029,0.186545,0.217733
teicher2015,1,13,0,0.056988,0.205353,0.238558,0.071553,0.186545,0.217733
teicher2015,1,13,1,-0.00954,0.205353,0.238558,0.005025,0.186545,0.217733
teicher2015,1,13,2,0.064847,0.205353,0.238558,0.079413,0.186545,0.217733
teicher2015,1,13,3,-0.056996,0.205353,0.238558,-0.042431,0.186545,0.217733
teicher2015,1,13,4,0.009533,0.205353,0.238558,0.024098,0.186545,0.217733
teicher2015,1,13,5,0.020846,0.205353,0.238558,0.035412,0.186545,0.217733
teicher2015,1,13,6,9.4e-05,0.205353,0.238558,0.01466,0.186545,0.217733
teicher2015,1,13,7,0.009562,0.205353,0.238558,0.024127,0.186545,0.217733
teicher2015,1,13,8,-0.006444,0.205353,0.238558,0.008122,0.186545,0.217733
teicher2015,1,13,9,0.114005,0.205353,0.238558,0.128571,0.186545,0.217733
teicher2015,1,13,10,0.008918,0.205353,0.238558,0.023484,0.186545,0.217733
teicher2015,1,13,11,-0.05304,0.205353,0.238558,-0.038475,0.186545,0.217733
teicher2015,1,13,12,-0.076237,0.205353,0.238558,-0.061672,0.186545,0.217733
teicher2015,1,14,0,0.002459,0.205353,0.238558,0.017025,0.186545,0.217733
