"k1","k2","tuominen2022","teicher2015"
"x1","x1",1,1
"x2","x1",0.766242,0.837769
"x3","x1",0.656123,0.714557
"x4","x1",0.522068,0.625029
"x5","x1",0.345036,0.484826
"x6","x1",0.628724,0.640848
"x9","x1",0.357214,0.453905
"x12","x1",0.216449,0.577944
"x13","x1",0.20974,0.476381
"x15","x1",0.409346,0.592164
"x17","x1",0.239898,0.471771
"x18","x1",0.14249,0.398886
"x19","x1",0.235427,0.375794
"x21","x1",0.524983,0.604834
"x24","x1",0.348282,0.55716
"x26","x1",0.426863,0.45777
"x27","x1",0.306712,0.346219
"x28","x1",0.314679,0.402435
"x29","x1",0.24878,0.215159
"x30","x1",0.287127,0.311919
"x31","x1",0.207328,0.466471
"x32","x1",0.322909,0.333289
"x33","x1",0.290153,0.306865
"x36","x1",0.203974,0.341584
"x38","x1",0.445299,0.512476
"x39","x1",0.327879,0.446014
"x40","x1",0.507606,0.568017
"x41","x1",0.432983,0.577177
"x42","x1",0.276034,0.234211
"x43","x1",0.347017,0.27649
"x44","x1",0.281073,0.361379
"x45","x1",0.175825,0.437373
"x46","x1",0.478403,0.551348
"x47","x1",0.255134,0.538384
"x48","x1",0.375777,0.39948
"x49","x1",0.352307,0.3951
"x50","x1",0.290319,0.361183
"x51","x1",0.358797,0.427887
"x52","x1",0.455967,0.483728
"x1","x2",0.766242,0.837769
"x2","x2",1,1
"x3","x2",0.687548,0.711052
"x4","x2",0.587652,0.585858
"x5","x2",0.437524,0.434661
"x6","x2",0.54951,0.647337
"x9","x2",0.345437,0.369268
"x12","x2",0.328435,0.584131
"x13","x2",0.28225,0.513429
"x15","x2",0.447231,0.547949
"x17","x2",0.150764,0.469898
"x18","x2",0.232053,0.441471
"x19","x2",0.216866,0.371421
"x21","x2",0.424773,0.577281
"x24","x2",0.416295,0.53288
"x26","x2",0.449326,0.464552
"x27","x2",0.515266,0.459075
"x28","x2",0.357093,0.409577
"x29","x2",0.413281,0.332971
"x30","x2",0.3033,0.351066
"x31","x2",0.130678,0.517335
"x32","x2",0.233922,0.354235
"x33","x2",0.257681,0.289268
"x36","x2",0.281216,0.347563
"x38","x2",0.54217,0.54279
"x39","x2",0.400798,0.475664
"x40","x2",0.637358,0.633741
"x41","x2",0.517503,0.610488
"x42","x2",0.198035,0.157678
"x43","x2",0.315359,0.230198
"x44","x2",0.211112,0.403024
"x45","x2",0.129295,0.402819
"x46","x2",0.382629,0.580578
"x47","x2",0.21739,0.48514
"x48","x2",0.426031,0.43313
"x49","x2",0.369663,0.414953
"x50","x2",0.354609,0.348166
"x51","x2",0.396004,0.435387
"x52","x2",0.53179,0.467431
"x1","x3",0.656123,0.714557
"x2","x3",0.687548,0.711052
"x3","x3",1,1
"x4","x3",0.552549,0.612028
"x5","x3",0.374213,0.495738
"x6","x3",0.735369,0.782585
"x9","x3",0.447013,0.5081
"x12","x3",0.390473,0.521141
"x13","x3",0.285082,0.506656
"x15","x3",0.539558,0.657159
"x17","x3",0.176494,0.343822
"x18","x3",0.291076,0.393071
"x19","x3",0.34948,0.372493
"x21","x3",0.575574,0.623935
"x24","x3",0.471088,0.532526
"x26","x3",0.338973,0.345773
"x27","x3",0.336917,0.284521
"x28","x3",0.286614,0.324712
"x29","x3",0.200515,0.24458
"x30","x3",0.375462,0.346672
"x31","x3",0.322902,0.367823
"x32","x3",0.324416,0.251273
"x33","x3",0.337989,0.320545
"x36","x3",0.26521,0.218404
"x38","x3",0.551738,0.500812
"x39","x3",0.466276,0.472379
"x40","x3",0.493782,0.536086
"x41","x3",0.467665,0.585964
"x42","x3",0.265298,0.243743
"x43","x3",0.284597,0.331873
"x44","x3",0.306597,0.394804
"x45","x3",0.224369,0.410634
"x46","x3",0.348384,0.527496
"x47","x3",0.251127,0.622291
"x48","x3",0.453752,0.403953
"x49","x3",0.391607,0.479207
"x50","x3",0.331003,0.40435
"x51","x3",0.365209,0.353671
"x52","x3",0.480839,0.46895
"x1","x4",0.522068,0.625029
"x2","x4",0.587652,0.585858
"x3","x4",0.552549,0.612028
"x4","x4",1,1
"x5","x4",0.409499,0.437301
"x6","x4",0.595845,0.508678
"x9","x4",0.290266,0.351769
"x12","x4",0.447065,0.480314
"x13","x4",0.273674,0.378135
"x15","x4",0.419827,0.364508
"x17","x4",0.294267,0.378042
"x18","x4",0.219272,0.288126
"x19","x4",0.250859,0.322515
"x21","x4",0.502605,0.37397
"x24","x4",0.363113,0.429351
"x26","x4",0.302176,0.217914
"x27","x4",0.284795,0.168363
"x28","x4",0.310696,0.338809
"x29","x4",0.3332,0.237801
"x30","x4",0.233758,0.270648
"x31","x4",0.178445,0.320923
"x32","x4",0.292978,0.217186
"x33","x4",0.304608,0.205421
"x36","x4",0.345304,0.206597
"x38","x4",0.509796,0.511724
"x39","x4",0.356238,0.432367
"x40","x4",0.331193,0.500974
"x41","x4",0.349283,0.529547
"x42","x4",0.205926,0.129374
"x43","x4",0.233356,0.352944
"x44","x4",0.278318,0.438318
"x45","x4",0.147834,0.367266
"x46","x4",0.290667,0.482619
"x47","x4",0.347817,0.468765
"x48","x4",0.495554,0.423155
"x49","x4",0.34386,0.461424
"x50","x4",0.355635,0.288515
"x51","x4",0.354356,0.428191
"x52","x4",0.456523,0.387513
"x1","x5",0.345036,0.484826
"x2","x5",0.437524,0.434661
"x3","x5",0.374213,0.495738
"x4","x5",0.409499,0.437301
"x5","x5",1,1
"x6","x5",0.463497,0.512724
"x9","x5",0.285731,0.407197
"x12","x5",0.396925,0.539841
"x13","x5",0.068053,0.554866
"x15","x5",0.371397,0.375108
"x17","x5",0.504213,0.303504
"x18","x5",0.302561,0.265533
"x19","x5",0.180922,0.387994
"x21","x5",0.332775,0.382648
"x24","x5",0.241058,0.277845
"x26","x5",0.250694,0.310397
"x27","x5",0.22479,0.282997
"x28","x5",0.150444,0.322116
"x29","x5",0.154477,0.318187
"x30","x5",0.201432,0.349305
"x31","x5",0.333522,0.399991
"x32","x5",0.295149,0.265449
"x33","x5",0.318907,0.345358
"x36","x5",0.331563,0.115298
"x38","x5",0.510652,0.335197
"x39","x5",0.32819,0.30716
"x40","x5",0.326145,0.351887
"x41","x5",0.350817,0.38927
"x42","x5",0.16398,0.214446
"x43","x5",0.255198,0.306859
"x44","x5",0.367324,0.316655
"x45","x5",0.376584,0.437693
"x46","x5",0.273431,0.34735
"x47","x5",0.469389,0.443407
"x48","x5",0.186663,0.348712
"x49","x5",0.198794,0.288103
"x50","x5",0.117137,0.30965
"x51","x5",0.171117,0.303467
"x52","x5",0.369034,0.329092
"x1","x6",0.628724,0.640848
"x2","x6",0.54951,0.647337
"x3","x6",0.735369,0.782585
"x4","x6",0.595845,0.508678
"x5","x6",0.463497,0.512724
"x6","x6",1,1
"x9","x6",0.554056,0.541181
"x12","x6",0.382536,0.543034
"x13","x6",0.382142,0.54238
"x15","x6",0.654988,0.737362
"x17","x6",0.423851,0.379893
"x18","x6",0.446374,0.424395
"x19","x6",0.323835,0.343131
"x21","x6",0.57198,0.552949
"x24","x6",0.462083,0.519349
"x26","x6",0.297477,0.357868
"x27","x6",0.253471,0.322606
"x28","x6",0.209487,0.317608
"x29","x6",0.134112,0.2392
"x30","x6",0.326386,0.275032
"x31","x6",0.294778,0.309352
"x32","x6",0.33174,0.265785
"x33","x6",0.431312,0.305001
"x36","x6",0.275972,0.149752
"x38","x6",0.465051,0.385421
"x39","x6",0.325688,0.346321
"x40","x6",0.405607,0.529731
"x41","x6",0.403077,0.493327
"x42","x6",0.339036,0.071963
