"","f1","f2"
"x1",0.457704795743471,0.578778614568441
"x2",0.499084656149879,0.550206311716783
"x3",0.382755638428745,0.647991034461956
"x4",0.315590276574022,0.502250929344743
"x5",0.273090720142497,0.386516541461052
"x6",0.386066368883766,0.594615435455321
"x9",0.184053533157702,0.418255932831632
"x12",0.136228453932449,0.781347579103218
"x13",0.10726870381798,0.763431890264239
"x15",0.362348200032518,0.48518307270199
"x17",0.0592065917362214,0.882434512789663
"x18",0.0213670837262838,0.950353835211238
"x19",0.354461342245442,0.263045999854087
"x21",0.258286257377924,0.544661857253189
"x24",0.272143682145477,0.505901028822913
"x26",0.852974449100903,-0.118726859915372
"x27",0.946222404175198,-0.229874200128307
"x28",0.736516079458774,-0.100992563706995
"x29",0.735915417145997,-0.19079857263346
"x30",0.773640092470945,-0.134375274756258
"x31",0.707733485246284,0.0299512728682169
"x32",0.671684025772061,0.0199118302173497
"x33",0.657315032535249,-0.0587311275041915
"x36",0.525873654452785,0.0442313590779801
"x38",0.345930950416408,0.467365111268522
"x39",0.323597007885649,0.395272367565114
"x40",0.472864531185691,0.39386077886161
"x41",0.357940794766334,0.53329326234366
"x42",-0.128017389110444,0.443431925246382
"x43",-0.137590072008822,0.583144261520138
"x44",-0.118283935547385,0.853521390723572
"x45",-0.240060217305797,0.908844202493323
"x46",0.347037598179612,0.600996103656287
"x47",0.444463515494557,0.54107892450871
"x48",0.30055473708027,0.366781793285283
"x49",0.344343015171215,0.364410543902756
"x50",0.410074230566668,0.203119737180248
"x51",-0.0929285081734187,0.752659544042341
"x52",-0.00468708324104155,0.79517101038536
