"","f1","f2"
"x1",0.35180123348972,0.667937907052622
"x2",0.394792021548127,0.644819657156318
"x3",0.271520053296894,0.72783429265726
"x4",0.22830299643596,0.567051333107555
"x5",0.204208394125487,0.441040728820341
"x6",0.282023575214614,0.673248917805945
"x9",0.115816934351432,0.460086379076653
"x12",0.0204930023431592,0.82750953759635
"x13",-0.00435224516929785,0.804555267380992
"x15",0.274777108031708,0.556636715925042
"x17",-0.0661508234032676,0.919988152546664
"x18",-0.111241749355397,0.984266613348707
"x19",0.298049971231855,0.32612722675711
"x21",0.168375005576861,0.602000941329326
"x24",0.186808197886085,0.564125981562872
"x26",0.821162919781126,0.00885058568877178
"x27",0.924506415385873,-0.091512918255037
"x28",0.708837090622192,0.00921558199828279
"x29",0.720687423518759,-0.0835765784532079
"x30",0.748477768954121,-0.0195236953834813
"x31",0.663576910618734,0.139944495704488
"x32",0.630953797310527,0.124028062297732
"x33",0.628270802826276,0.0406375881411672
"x36",0.490025025535225,0.126668720851914
"x38",0.261751693827333,0.535715526540013
"x39",0.250648423737716,0.457859298285692
"x40",0.391671511752946,0.479397274337689
"x41",0.263966939633639,0.60561808032981
"x42",-0.182090410280313,0.437998230107115
"x43",-0.210439187486803,0.580737507662464
"x44",-0.229608334314451,0.862800553862425
"x45",-0.352148578572835,0.901145958220837
"x46",0.244319273695158,0.673822693133096
"x47",0.344521167359487,0.626983650894061
"x48",0.232848217569359,0.424901014733956
"x49",0.274488560643174,0.429199059147568
"x50",0.358804206916896,0.272837403279504
"x51",-0.191740836901006,0.762594930758612
"x52",-0.114366446345697,0.820069968154587
