"","f1","f2","f3"
"x1",0.677501275326479,0.293389105052682,-0.000857232109305807
"x2",0.627120328266868,0.357371651758474,0.00933046603956542
"x3",0.786462434179785,0.172252896205964,-0.0248538755675033
"x4",0.51115466362084,0.204393848726069,0.108830645604554
"x5",0.385072723288911,0.201347951634746,0.0765821746027303
"x6",0.820383068505044,0.14335690011962,-0.146015235644209
"x9",0.55067163563393,0.0204707605780108,-0.0346476379470469
"x12",0.633452467632122,0.00190938093015754,0.397461845311234
"x13",0.572886008595944,-0.00142771015599193,0.430516056236385
"x15",0.740238261808469,0.134685208880676,-0.223841739766257
"x17",0.641644762515444,-0.0833334346367093,0.519370977446024
"x18",0.653671036705318,-0.129333617698619,0.603710174649488
"x19",0.191279008218378,0.344813996741201,0.117729740108546
"x21",0.798374392384121,-0.0073933052979705,-0.156444287146138
"x24",0.774352705344212,0.0125479217518638,-0.180415537315598
"x26",0.0112226526667943,0.874697099602272,-0.28831231920737
"x27",0.00518074510292018,0.947985360378185,-0.449269573874144
"x28",0.113107120228367,0.70867901320747,-0.36861130019746
"x29",-0.0129611238577865,0.750421288576209,-0.362063560018307
"x30",-0.225074949654004,0.881613232356305,-0.0217902790312155
"x31",0.00218889378132986,0.737818375921811,-0.0169187614546062
"x32",-0.0750368502867538,0.72276218759249,0.0714635316361629
"x33",-0.152243192637272,0.742321234050838,0.0183941696819944
"x36",-0.0954988613729184,0.603694888342107,0.105530614579473
"x38",0.391779726854856,0.279327975528529,0.202095701952518
"x39",0.439004952576261,0.20915487535798,0.0643532560009835
"x40",0.405164584742021,0.401225535043692,0.0496896188567817
"x41",0.509497264967329,0.255537704452824,0.153869377896863
"x42",-0.264471238469588,0.222044300292898,0.606418728952189
"x43",-0.161194400686121,0.177659820129919,0.721371848542474
"x44",0.12947221475355,0.109496065761146,0.789596219321924
"x45",0.163839887991724,0.0165053205456432,0.798942657039699
"x46",0.308957359580034,0.370483485314355,0.407069265103375
"x47",0.318670948531617,0.458084592993005,0.301625827038948
"x48",0.374356566814182,0.213450477137937,0.0917577347392759
"x49",0.458160461471232,0.216622992578661,-0.00676175008622576
"x50",0.302178387721256,0.329525591851171,-0.0781884399353519
"x51",0.0165287348552216,0.162443351317734,0.774411135521156
"x52",0.17592624781316,0.190009871654857,0.690117190049851
