	Mean	MCSE	StdDev	5%	50%	95%	N_Eff	N_Eff/s	R_hat
theta[1,1]	-1.1	0.005	0.44	-1.8	-1.0	-0.38	7726.0	6.6	1.0
theta[2,1]	-0.14	0.0033	0.3	-0.65	-0.13	0.34	8762.0	7.5	1.0
theta[3,1]	1.0	0.0033	0.29	0.56	1.0	1.5	7880.0	6.8	1.0
theta[4,1]	-0.047	0.0034	0.3	-0.55	-0.042	0.42	7825.0	6.7	1.0
theta[5,1]	1.3	0.0032	0.28	0.82	1.3	1.8	7740.0	6.7	1.0
theta[6,1]	-0.51	0.0037	0.33	-1.1	-0.5	-0.0086	7752.0	6.7	1.0
theta[7,1]	0.69	0.0029	0.27	0.25	0.69	1.1	8526.0	7.3	1.0
theta[8,1]	0.8	0.0029	0.28	0.35	0.8	1.3	9392.0	8.1	1.0
theta[9,1]	0.77	0.0029	0.26	0.35	0.77	1.2	8367.0	7.2	1.0
theta[10,1]	0.37	0.0028	0.26	-0.065	0.37	0.8	8677.0	7.5	1.0
theta[11,1]	1.0	0.0031	0.27	0.6	1.0	1.5	7598.0	6.5	1.0
theta[12,1]	-1.5	0.007	0.55	-2.5	-1.5	-0.65	6314.0	5.4	1.0
theta[13,1]	3.4	0.0052	0.43	2.8	3.4	4.2	6740.0	5.8	1.0
theta[14,1]	1.2	0.0034	0.29	0.75	1.2	1.7	7196.0	6.2	1.0
theta[15,1]	1.1	0.0029	0.28	0.64	1.1	1.6	8982.0	7.7	1.0
theta[16,1]	-0.81	0.0045	0.41	-1.5	-0.78	-0.18	8288.0	7.1	1.0
theta[17,1]	-0.61	0.0045	0.37	-1.3	-0.59	-0.039	6712.0	5.8	1.0
theta[18,1]	0.23	0.0027	0.27	-0.24	0.23	0.66	10654.0	9.2	1.0
theta[19,1]	-0.64	0.0044	0.37	-1.3	-0.62	-0.078	6790.0	5.8	1.0
theta[20,1]	-0.7	0.0042	0.39	-1.4	-0.68	-0.12	8483.0	7.3	1.0
