"k1","k2","tuominen2022","teicher2015"
"x1","x1",1,1
"x2","x1",0.746435,0.825215
"x3","x1",0.642664,0.693439
"x4","x1",0.516755,0.613694
"x5","x1",0.331867,0.469157
"x6","x1",0.599715,0.589709
"x7","x1",0.611852,0.668236
"x8","x1",0.563717,0.581905
"x9","x1",0.317718,0.410623
"x10","x1",0.229836,0.305724
"x11","x1",0.418099,0.504029
"x12","x1",0.211599,0.563491
"x13","x1",0.197714,0.47114
"x14","x1",0.115108,0.430963
"x15","x1",0.418044,0.558833
"x16","x1",0.276879,0.618301
"x17","x1",0.231968,0.439437
"x18","x1",0.164131,0.380867
"x19","x1",0.209736,0.364124
"x20","x1",0.278841,0.34297
"x21","x1",0.512979,0.589071
"x22","x1",0.537613,0.567932
"x23","x1",0.486851,0.500318
"x24","x1",0.322713,0.531927
"x25","x1",0.374958,0.656509
"x26","x1",0.419969,0.428863
"x27","x1",0.292915,0.333035
"x28","x1",0.314345,0.402858
"x29","x1",0.245058,0.217194
"x30","x1",0.277689,0.322646
"x31","x1",0.216714,0.461125
"x32","x1",0.319696,0.328755
"x33","x1",0.280979,0.303363
"x34","x1",0.24921,0.244374
"x35","x1",0.308018,0.28368
"x36","x1",0.232674,0.332971
"x37","x1",0.158717,0.324656
"x38","x1",0.44147,0.497444
"x39","x1",0.328759,0.437853
"x40","x1",0.495606,0.544923
"x41","x1",0.43423,0.57893
"x42","x1",0.25856,0.224524
"x43","x1",0.33693,0.254128
"x44","x1",0.268471,0.361038
"x45","x1",0.183066,0.423112
"x46","x1",0.464801,0.542538
"x47","x1",0.243948,0.528907
"x48","x1",0.372461,0.378299
"x49","x1",0.339566,0.393977
"x50","x1",0.280018,0.353531
"x51","x1",0.367813,0.413313
"x52","x1",0.447393,0.477276
"x1","x2",0.746435,0.825215
"x2","x2",1,1
"x3","x2",0.674544,0.713261
"x4","x2",0.564772,0.581626
"x5","x2",0.432058,0.420401
"x6","x2",0.534572,0.588798
"x7","x2",0.516625,0.686134
"x8","x2",0.433491,0.536554
"x9","x2",0.314553,0.328234
"x10","x2",0.215839,0.279961
"x11","x2",0.400887,0.397719
"x12","x2",0.323597,0.567054
"x13","x2",0.330006,0.547925
"x14","x2",0.095256,0.397769
"x15","x2",0.454516,0.528898
"x16","x2",0.298685,0.615114
"x17","x2",0.146651,0.464644
"x18","x2",0.21977,0.426713
"x19","x2",0.1967,0.385584
"x20","x2",0.177072,0.302741
"x21","x2",0.424577,0.558349
"x22","x2",0.488719,0.571159
"x23","x2",0.312495,0.511928
"x24","x2",0.387119,0.517062
"x25","x2",0.377579,0.502034
"x26","x2",0.441292,0.458083
"x27","x2",0.515369,0.454076
"x28","x2",0.348188,0.405845
"x29","x2",0.412086,0.325751
"x30","x2",0.300779,0.345353
"x31","x2",0.12713,0.514888
"x32","x2",0.230773,0.350104
"x33","x2",0.251462,0.295928
"x34","x2",0.209951,0.211606
"x35","x2",0.30136,0.301573
"x36","x2",0.269346,0.360542
"x37","x2",0.270753,0.328494
"x38","x2",0.535783,0.536624
"x39","x2",0.396698,0.465254
"x40","x2",0.613669,0.625335
"x41","x2",0.499709,0.608526
"x42","x2",0.210757,0.14839
"x43","x2",0.303116,0.223752
"x44","x2",0.201578,0.400038
"x45","x2",0.121482,0.403312
"x46","x2",0.369417,0.571045
"x47","x2",0.218951,0.473842
"x48","x2",0.426444,0.420906
"x49","x2",0.365282,0.410592
"x50","x2",0.355332,0.339566
"x51","x2",0.390781,0.425765
"x52","x2",0.522101,0.463454
"x1","x3",0.642664,0.693439
"x2","x3",0.674544,0.713261
"x3","x3",1,1
"x4","x3",0.543544,0.602887
"x5","x3",0.355908,0.48946
"x6","x3",0.741237,0.737729
"x7","x3",0.645488,0.762364
"x8","x3",0.537498,0.648866
"x9","x3",0.418802,0.46247
"x10","x3",0.324719,0.415898
"x11","x3",0.464831,0.501736
"x12","x3",0.377225,0.503412
"x13","x3",0.33215,0.48612
"x14","x3",0.132494,0.485723
"x15","x3",0.542666,0.640741
"x16","x3",0.389888,0.666249
"x17","x3",0.184858,0.339331
