name	Mean	MCSE	StdDev	5%	50%	95%	N_Eff	N_Eff/s	R_hat
lp__	-12000.0	0.21	7.3	-12000.0	-12000.0	-12000.0	1300.0	6.8	1.0
tau_pr[1]	1.3	0.0011	0.078	1.2	1.3	1.5	5286.0	28.0	1.0
tau_pr[2]	0.74	0.00063	0.046	0.67	0.74	0.82	5202.0	28.0	1.0
tau_pr[3]	1.9	0.0018	0.12	1.7	1.9	2.1	4342.0	23.0	1.0
tau_pr[4]	4.5	0.0048	0.35	4.0	4.5	5.2	5187.0	28.0	1.0
tau_pr[5]	23.0	0.046	3.3	18.0	22.0	29.0	4956.0	27.0	1.0
tau_pr[6]	28.0	0.13	5.4	20.0	28.0	38.0	1661.0	9.0	1.0
tau_pr[7]	9.7	0.048	1.9	7.0	9.6	13.0	1659.0	8.9	1.0
tau_pr[8]	7.2	0.036	1.5	5.1	7.1	9.8	1669.0	9.0	1.0
tau_pr[9]	2.2	0.004	0.2	1.9	2.2	2.5	2513.0	14.0	1.0
tau_pr[10]	2.0	0.0036	0.18	1.7	2.0	2.3	2526.0	14.0	1.0
tau_pr[11]	1.7	0.003	0.16	1.4	1.7	2.0	2785.0	15.0	1.0
tau_pr[12]	12.0	0.018	1.3	9.9	12.0	14.0	5392.0	29.0	1.0
tau_pr[13]	37.0	0.14	6.9	28.0	37.0	50.0	2420.0	13.0	1.0
tau_pr[14]	1.2	0.0054	0.29	0.76	1.1	1.7	2868.0	15.0	1.0
tau_pr[15]	44.0	0.19	9.4	31.0	43.0	60.0	2394.0	13.0	1.0
tau_pr[16]	8.2	0.039	1.9	5.6	8.0	12.0	2305.0	12.0	1.0
tau_pr[17]	33.0	0.08	5.7	25.0	32.0	43.0	5072.0	27.0	1.0
tau_pr[18]	70.0	0.23	16.0	48.0	68.0	99.0	4556.0	25.0	1.0
tau_pr[19]	26.0	0.078	4.2	20.0	26.0	34.0	2940.0	16.0	1.0
tau_pr[20]	1.3	0.0052	0.28	0.93	1.3	1.8	2891.0	16.0	1.0
tau_pr[21]	29.0	0.13	5.1	22.0	28.0	38.0	1491.0	8.0	1.0
tau_pr[22]	4.5	0.022	0.87	3.3	4.5	6.1	1578.0	8.5	1.0
tau_pr[23]	1.6	0.0084	0.36	1.1	1.6	2.3	1833.0	9.9	1.0
tau_pr[24]	43.0	0.17	8.3	31.0	42.0	58.0	2318.0	12.0	1.0
tau_pr[25]	4.2	0.019	0.9	2.9	4.1	5.8	2345.0	13.0	1.0
tau_pr[26]	0.62	0.00048	0.037	0.55	0.61	0.68	6122.0	33.0	1.0
tau_pr[27]	0.39	0.00036	0.026	0.35	0.39	0.44	5075.0	27.0	1.0
tau_pr[28]	1.0	0.00082	0.06	0.95	1.0	1.1	5210.0	28.0	1.0
tau_pr[29]	1.0	0.00086	0.061	0.94	1.0	1.1	5034.0	27.0	1.0
tau_pr[30]	3.4	0.0033	0.25	3.1	3.4	3.9	5762.0	31.0	1.0
tau_pr[31]	10.0	0.017	1.1	8.8	10.0	12.0	4180.0	23.0	1.0
tau_pr[32]	5.0	0.0053	0.39	4.4	5.0	5.7	5564.0	30.0	1.0
tau_pr[33]	17.0	0.068	2.7	13.0	17.0	22.0	1561.0	8.4	1.0
tau_pr[34]	4.9	0.02	0.79	3.7	4.8	6.3	1588.0	8.6	1.0
tau_pr[35]	2.3	0.0097	0.41	1.7	2.3	3.1	1799.0	9.7	1.0
tau_pr[36]	9.4	0.016	0.95	7.9	9.3	11.0	3620.0	20.0	1.0
tau_pr[37]	0.49	0.0013	0.082	0.36	0.48	0.63	3715.0	20.0	1.0
tau_pr[38]	2.5	0.0022	0.16	2.3	2.5	2.8	5309.0	29.0	1.0
tau_pr[39]	1.6	0.0014	0.095	1.4	1.6	1.8	4508.0	24.0	1.0
tau_pr[40]	1.2	0.0011	0.072	1.1	1.2	1.3	4479.0	24.0	1.0
tau_pr[41]	2.5	0.002	0.15	2.2	2.5	2.7	5728.0	31.0	1.0
tau_pr[42]	12.0	0.018	1.3	9.9	12.0	14.0	5233.0	28.0	1.0
