"","f1","f2"
"x1",0.608231762358621,0.293088425353066
"x2",0.711991176003126,0.243206028866797
"x3",0.614196411710954,0.353026184857132
"x4",0.51706042161053,0.283847184787534
"x5",0.354973128972693,0.328719840194376
"x6",0.551998465595124,0.432190771601753
"x9",0.354475891277392,0.199647348236596
"x12",0.394976102716596,0.395437024229578
"x13",0.317631968092546,0.37074257733131
"x15",0.420710784029732,0.411255001749142
"x17",0.249212485070829,0.551943495007494
"x18",0.312885335687505,0.618734956026232
"x19",0.382418540184757,0.269562718875566
"x21",0.399914329899074,0.403475732242474
"x24",0.394450695796752,0.294551014996865
"x26",0.835089317026904,-0.264885114685368
"x27",0.920262244752703,-0.329324957408391
"x28",0.714405349741815,-0.259137852601405
"x29",0.633877863062125,-0.266488882533557
"x30",0.703647527482724,-0.0667470806344721
"x31",0.471415832841919,0.109371083584932
"x32",0.542379525474045,0.0298316182557292
"x33",0.577627644693505,0.0758578018088709
"x36",0.464227444911771,0.105665832043693
"x38",0.51191862391973,0.424363091187783
"x39",0.452436269853609,0.258473402360576
"x40",0.602499822538438,0.124527869296938
"x41",0.514280284642669,0.299972580486451
"x42",-0.183649091397569,0.967088640054135
"x43",-0.122808693894673,0.907395195490051
"x44",-0.0787015210121283,0.890899445652908
"x45",-0.163216601976681,0.781867669401283
"x46",0.306445840460991,0.467453265643883
"x47",0.21000890837685,0.546610678300305
"x48",0.557592541846442,0.222347328268778
"x49",0.547117017538501,0.130643191042542
"x50",0.527037202333571,0.0295560280226734
"x51",0.0612893991514851,0.898590772462056
"x52",0.215049313369,0.840257046774285
