"","f1","f2"
"x1",0.59054616456218,0.316192792677689
"x2",0.695514811538503,0.26930336974646
"x3",0.593922852735757,0.376898987711181
"x4",0.500557922208688,0.30381772777511
"x5",0.337980111493177,0.343701080059595
"x6",0.52891558229903,0.454737242980329
"x9",0.34294862798167,0.213386334696478
"x12",0.374812550086938,0.412388309710215
"x13",0.299185256759821,0.384875271260425
"x15",0.39965434987746,0.429216297068613
"x17",0.223693045294643,0.565510905153236
"x18",0.283986579733939,0.63506393737489
"x19",0.367690194296024,0.284899179752938
"x21",0.379367733922735,0.420668339498879
"x24",0.378560489629195,0.310526757802067
"x26",0.839042326760433,-0.239499722496947
"x27",0.926201930790274,-0.301705807677129
"x28",0.719163649067666,-0.237729986561102
"x29",0.639646809223885,-0.247841276337486
"x30",0.700358672404263,-0.0438717426059389
"x31",0.462692476246154,0.126159840239922
"x32",0.536405200727244,0.0482360138096828
"x33",0.569399590512254,0.0958769047150415
"x36",0.45572331930736,0.122179237563488
"x38",0.489515156601851,0.445496148936988
"x39",0.437568848293112,0.276043882826694
"x40",0.591996312130438,0.145840120776906
"x41",0.497119625783937,0.320003360733401
"x42",-0.222973938954923,0.970136083527845
"x43",-0.160136304001106,0.911908507339518
"x44",-0.115714340163279,0.896729756631821
"x45",-0.194881721536997,0.783838958136999
"x46",0.284004199667666,0.482130567271159
"x47",0.185055706827401,0.558817641797548
"x48",0.543340147852651,0.243088078537264
"x49",0.53683590237871,0.150163149930025
"x50",0.521207828998223,0.0474452133459392
"x51",0.022734930317205,0.909171272304347
"x52",0.177627286075748,0.855420805621267
