"","f1","f2","f3"
"x1",0.836719342539758,-0.00812446526240089,-0.0408255432285637
"x2",0.839147247063119,0.121136631747283,-0.0886676973034557
"x3",0.806115898095264,0.0342287719063505,0.0393733805149489
"x4",0.593265401204059,0.111608502848345,0.0742712253855621
"x5",0.311914231369312,0.168244548517381,0.247353573086128
"x6",0.783297558806121,-0.0154190210810471,0.140265424330759
"x9",0.514480525336289,-0.0123000592486314,0.00428422998035749
"x12",0.00408728621005569,0.473721732583738,0.456318145462651
"x13",-0.0579399493705441,0.431786971643441,0.448457567449717
"x15",0.626184526823567,-0.0272375136206074,0.181062299150969
"x17",0.0160846411970435,0.310257910609441,0.58794071626063
"x18",0.0413301118438442,0.368099872438738,0.657248770454178
"x19",-0.00901808196085839,0.449613433359459,0.344185817070634
"x21",0.646425331983079,-0.0662809117509125,0.162291242685767
"x24",0.431487509142632,0.109927064786928,0.158110621376069
"x26",0.156127808384665,0.761055964016291,-0.196393764531784
"x27",0.156459001024485,0.856574500250902,-0.255039391815221
"x28",0.172652230649127,0.6324453391923,-0.237749828987217
"x29",0.145572505749599,0.567271377771954,-0.249018363473487
"x30",-0.0382510386270091,0.781739483682721,0.0862839190586991
"x31",-0.0659460152015523,0.563597150449663,0.24329441817915
"x32",0.0246422619113529,0.572634994084118,0.120925076610105
"x33",0.034528543530861,0.596087975641425,0.181687537791626
"x36",0.0301057810812772,0.494673018951569,0.175907517819725
"x38",0.406908114363764,0.281087399413593,0.320920081725605
"x39",0.28032499042655,0.302233381180102,0.202818771103617
"x40",0.515505085620422,0.268679408050585,-0.0448864726513133
"x41",0.327697326008399,0.336969874771515,0.231942770038034
"x42",0.0141395109777396,-0.126044737279881,0.953320267818784
"x43",0.116463469251471,-0.147771301478856,0.859035564837728
"x44",0.0662034173176567,-0.0580786729939905,0.868744586465171
"x45",0.0256145300511658,-0.137775135612025,0.771919481749906
"x46",0.398429877874594,0.0524185452250581,0.343762790469791
"x47",0.222919707275802,0.0956465932888536,0.497191798060068
"x48",0.497924191604575,0.238297340801809,0.0666692426980367
"x49",0.363917670155984,0.327402423069662,0.0424327649562377
"x50",0.255462609790665,0.386188917003136,-0.0132765908680422
"x51",0.146904956201941,0.0423591683246005,0.850037679418014
"x52",0.225064244742594,0.148883470080764,0.779003507386103
