"","f1","f2","f3"
"x1",0.884274162966569,-0.0170944823234737,-0.132109276803778
"x2",0.891525903340137,0.113056475618033,-0.14234588082596
"x3",0.849443897141803,0.00989490141125563,-0.0357910883309928
"x4",0.624998556053523,0.0812130337050556,0.04464514895925
"x5",0.321979017145299,0.110829877128584,0.265089456254981
"x6",0.820056926104183,-0.053669212516576,0.0533808708000178
"x9",0.542319870281643,-0.0223963933298005,-0.0538531362886376
"x12",-0.00539059647575273,0.369892137202772,0.597738950334957
"x13",-0.0713528637128896,0.332832870315335,0.584055127252205
"x15",0.652329937014975,-0.0686840390184019,0.107547648081499
"x17",-0.00169333519499402,0.192940038302916,0.680556544860925
"x18",0.0231762303713803,0.235314490926047,0.764575745881789
"x19",-0.0149371581053977,0.366406918300224,0.479341330954787
"x21",0.673680767029186,-0.102768648559979,0.0750319767558968
"x24",0.450725938580182,0.0685593856696573,0.14554732717942
"x26",0.188692911978996,0.749051330278858,0.0104017609591875
"x27",0.193499970461278,0.849208478450944,-0.0204139087342351
"x28",0.205245959065995,0.634280398476199,-0.0708137153471001
"x29",0.175819829403534,0.57516840902474,-0.0984757836954376
"x30",-0.0279785730931521,0.724416388144433,0.321162907091602
"x31",-0.0683583608488713,0.492290905689,0.417584574539798
"x32",0.0326036828496263,0.519821415410571,0.287677821405724
"x33",0.0409278272621813,0.531467552931924,0.354602148212054
"x36",0.0344261662425369,0.436753864292918,0.319372596987304
"x38",0.421377946849972,0.203064220000942,0.362205283778696
"x39",0.293300381968173,0.245549377624728,0.26317550093554
"x40",0.551262285943246,0.251297183089535,-0.0205600870968796
"x41",0.342749316464449,0.272488439769595,0.297658668945121
"x42",-0.0282578473722072,-0.281087203048,0.919339608422372
"x43",0.0832575984657763,-0.287606984304918,0.807343854577107
"x44",0.0316633295338183,-0.2035626362545,0.848862909030052
"x45",-0.00867000598876353,-0.261608318636472,0.73237711162484
"x46",0.406766987441303,-0.0166115976075311,0.31866291577575
"x47",0.215966616658613,0.00160901279173988,0.504187147901792
"x48",0.527342096447398,0.204016649529564,0.0844507870861056
"x49",0.388832055235448,0.294902649703066,0.100561819163536
"x50",0.277995236495352,0.361995748643872,0.0734017252002401
"x51",0.119658264357339,-0.107107048884218,0.851112380703654
"x52",0.207323975409631,0.0040259356292945,0.802841736852133
