k1,k2,obs,pred,pval
0,0,0.06517643863969755,0.03675755975692267,1.0
1,0,0.33242145954598107,8.96275655303954e-05,1.0
2,0,0.1299003654764672,-0.0017111446944849174,0.9945
2,1,0.08518919570167185,-0.00030666868528845853,0.95325
3,0,0.05064122300385587,-0.0014677049744819324,0.87125
3,1,0.04208911723714173,0.0003795998321042891,0.8395
3,2,0.07833045575285663,0.00011651957410279506,0.94375
4,0,-0.0074933214203567146,-0.0011609535356924738,0.44375
4,1,0.029631443517945624,-0.00023161762974989884,0.78075
4,2,0.0029064573033701917,0.0011246417954128755,0.51225
4,3,0.07949832031097236,-0.001449927034250798,0.94225
5,0,0.16086484577435112,-0.0004546713345235637,0.99975
5,1,-0.007470913288287233,-0.0011999447890509633,0.447
5,2,0.2941448539962498,0.0012718976599430882,1.0
5,3,0.15411669530851593,0.0006087905778764041,1.0
5,4,0.020103471510197764,0.00016300913758376923,0.66225
6,0,0.06248008094520295,0.00016466607076365836,0.92175
6,1,0.015719972185868385,7.364287880070468e-05,0.63625
6,2,0.09519256159460936,0.0004721264413778607,0.98025
6,3,0.003059579440724562,0.00044472147155129814,0.5285
6,4,0.008878280303750697,-0.0006096091284935101,0.587
6,5,0.2875518170240057,0.0009506723227663511,1.0
7,0,-0.13269990640238347,-0.0006432110916096287,0.0015
7,1,-0.02613204239879475,0.0005094306383867185,0.2475
7,2,0.018106634699164126,0.00028311039452803605,0.6515
7,3,0.010795972611631469,-0.0003550952416572822,0.58925
7,4,0.05026768421827195,-0.00016153735304119473,0.813
7,5,-0.0790038164939505,-0.0003917765703742134,0.05975
7,6,-0.04901183542467267,-0.0003264680083496828,0.13425
8,0,-0.09531791239959213,0.0004505283398055282,0.01325
8,1,-0.066488401254181,-0.00014572830000711968,0.04875
8,2,0.008044194568218494,0.0006262765223447449,0.554
8,3,-0.03332475738364851,0.0002603501516318935,0.25825
8,4,-0.09019534882248584,0.0003571128464966105,0.05
8,5,0.005612433518962985,-0.0006117842300712333,0.554
