	Mean	MCSE	StdDev	5%	50%	95%	N_Eff	N_Eff/s	R_hat
theta[1,1]	-0.44	0.0045	0.32	-0.98	-0.42	0.052	4862.0	11.0	1.0
theta[2,1]	0.31	0.0039	0.26	-0.12	0.31	0.74	4531.0	10.0	1.0
theta[3,1]	-0.81	0.0054	0.38	-1.5	-0.78	-0.22	5003.0	11.0	1.0
theta[4,1]	-1.1	0.006	0.43	-1.9	-1.1	-0.45	5263.0	12.0	1.0
theta[5,1]	0.97	0.0036	0.26	0.54	0.97	1.4	5435.0	12.0	1.0
theta[6,1]	-1.8	0.0086	0.57	-2.8	-1.8	-0.96	4338.0	9.6	1.0
theta[7,1]	-1.1	0.0061	0.42	-1.8	-1.1	-0.47	4816.0	11.0	1.0
theta[8,1]	0.67	0.0037	0.27	0.23	0.67	1.1	5176.0	11.0	1.0
theta[9,1]	-0.22	0.0047	0.3	-0.72	-0.21	0.26	4003.0	8.8	1.0
theta[10,1]	0.35	0.0036	0.26	-0.083	0.35	0.77	5272.0	12.0	1.0
theta[11,1]	0.098	0.0038	0.28	-0.38	0.1	0.56	5355.0	12.0	1.0
theta[12,1]	1.2	0.0034	0.25	0.74	1.1	1.6	5501.0	12.0	1.0
theta[13,1]	-0.45	0.0048	0.33	-1.0	-0.43	0.074	4721.0	10.0	1.0
theta[14,1]	-1.8	0.0086	0.56	-2.8	-1.8	-0.97	4218.0	9.3	1.0
theta[15,1]	-0.46	0.0044	0.32	-1.0	-0.45	0.038	5457.0	12.0	1.0
theta[16,1]	0.54	0.0037	0.26	0.11	0.54	0.96	4942.0	11.0	1.0
theta[17,1]	-0.65	0.0049	0.34	-1.2	-0.63	-0.1	4853.0	11.0	1.0
theta[18,1]	-0.49	0.0047	0.33	-1.1	-0.48	0.018	4717.0	10.0	1.0
theta[19,1]	-2.1	0.0086	0.6	-3.1	-2.0	-1.1	4889.0	11.0	1.0
theta[20,1]	-0.85	0.0052	0.37	-1.5	-0.83	-0.28	5157.0	11.0	1.0
theta[21,1]	-0.75	0.0055	0.36	-1.4	-0.74	-0.19	4329.0	9.6	1.0
theta[22,1]	-0.39	0.0045	0.32	-0.93	-0.38	0.11	4886.0	11.0	1.0
theta[23,1]	1.2	0.0037	0.26	0.77	1.2	1.6	4954.0	11.0	1.0
theta[24,1]	-1.2	0.0066	0.44	-2.0	-1.1	-0.53	4548.0	10.0	1.0
theta[25,1]	-1.8	0.0079	0.55	-2.8	-1.8	-0.99	4848.0	11.0	1.0
theta[26,1]	0.47	0.0036	0.25	0.052	0.47	0.89	4956.0	11.0	1.0
theta[27,1]	0.26	0.0035	0.26	-0.16	0.27	0.69	5537.0	12.0	1.0
theta[28,1]	0.75	0.0036	0.25	0.33	0.75	1.2	4913.0	11.0	1.0
theta[29,1]	-0.12	0.0039	0.29	-0.61	-0.12	0.33	5539.0	12.0	1.0
theta[30,1]	0.39	0.0038	0.26	-0.044	0.39	0.81	4695.0	10.0	1.0
theta[31,1]	0.46	0.0033	0.25	0.046	0.46	0.88	5848.0	13.0	1.0
theta[32,1]	-0.67	0.005	0.35	-1.3	-0.66	-0.11	4956.0	11.0	1.0
theta[33,1]	-0.9	0.0055	0.39	-1.6	-0.88	-0.31	5123.0	11.0	1.0
theta[34,1]	-1.6	0.0078	0.53	-2.6	-1.6	-0.82	4698.0	10.0	1.0
theta[35,1]	-0.28	0.0043	0.3	-0.78	-0.27	0.2	4707.0	10.0	1.0
theta[36,1]	-0.65	0.0047	0.35	-1.3	-0.63	-0.099	5398.0	12.0	1.0
theta[37,1]	0.37	0.0035	0.26	-0.062	0.38	0.8	5698.0	13.0	1.0
theta[38,1]	-0.97	0.0055	0.39	-1.7	-0.95	-0.36	5079.0	11.0	1.0
theta[39,1]	-0.44	0.0048	0.32	-0.98	-0.42	0.061	4440.0	9.8	1.0
theta[40,1]	-2.1	0.009	0.59	-3.1	-2.0	-1.1	4294.0	9.5	1.0
