item,subject,response,y_hat,y_pred,loo,ku
0,1052,1.0,0.277,0.285291,-1.447637,0.17581
0,1053,0.0,0.421,0.580544,-0.602565,0.301613
0,1054,0.0,0.1825,0.824152,-0.208513,0.194542
0,1055,0.0,0.11775,0.881821,-0.134769,0.149348
0,1056,1.0,0.8895,0.879076,-0.134232,0.200896
0,1057,0.0,0.045,0.961651,-0.040994,0.247916
0,1058,0.0,0.069,0.931566,-0.074889,0.120618
0,1059,1.0,0.742,0.743223,-0.316995,0.021074
0,1060,0.0,0.181,0.816348,-0.219103,0.087596
0,1061,1.0,0.66925,0.6744,-0.426915,0.044943
0,1062,0.0,0.49675,0.508145,-0.751448,0.154388
0,1064,1.0,0.79475,0.798657,-0.238707,0.203437
0,1065,0.0,0.30025,0.694831,-0.405605,0.269553
0,1066,0.0,0.0425,0.961008,-0.041624,0.109425
0,1068,0.0,0.3,0.705602,-0.383103,0.181403
0,1069,1.0,0.60675,0.612099,-0.537277,0.26134
0,1070,0.0,0.2375,0.783838,-0.264348,0.142356
0,1071,1.0,0.2765,0.276097,-1.507747,0.23997
0,1072,0.0,0.03075,0.971828,-0.029767,0.134782
0,1073,1.0,0.1525,0.165707,-2.193688,0.414874
0,1074,0.0,0.185,0.802477,-0.239437,0.045173
0,1075,0.0,0.3135,0.698037,-0.393968,0.070137
0,1076,1.0,0.87075,0.86793,-0.147717,0.0853
0,1077,0.0,0.10875,0.895242,-0.118131,0.02166
0,1078,0.0,0.03875,0.961145,-0.041578,0.23338
0,1079,1.0,0.66225,0.663692,-0.442802,0.17804
0,1080,1.0,0.49425,0.497451,-0.77589,0.257478
0,1081,1.0,0.725,0.718043,-0.355208,0.108493
0,1082,0.0,0.4285,0.568087,-0.624558,0.114955
0,1083,1.0,0.6795,0.674902,-0.426802,0.122578
0,1084,1.0,0.7005,0.700554,-0.383997,0.055292
0,1085,0.0,0.2285,0.776805,-0.275968,0.094735
0,1086,0.0,0.1615,0.841225,-0.18578,-0.058798
0,1087,0.0,0.05125,0.946495,-0.057765,-0.032275
0,1088,0.0,0.31,0.681888,-0.420039,0.042564
0,1089,0.0,0.228,0.773337,-0.279026,-0.029341
0,1090,1.0,0.68775,0.68163,-0.4147,0.084752
0,1092,0.0,0.134,0.858743,-0.164011,0.243071
0,1094,1.0,0.29325,0.293536,-1.42239,0.272452
0,1095,0.0,0.03075,0.971273,-0.030354,0.087675
0,1096,1.0,0.6695,0.672007,-0.431337,0.204365
0,1097,1.0,0.56725,0.569691,-0.618581,0.156205
0,1098,0.0,0.07675,0.925431,-0.082311,0.050569
0,1100,1.0,0.75975,0.758414,-0.297175,0.134297
0,1101,0.0,0.0805,0.914606,-0.094846,0.045445
0,1102,0.0,0.21525,0.798072,-0.244798,0.095855
0,1104,1.0,0.9895,0.989822,-0.010322,0.058557
0,1105,1.0,0.82975,0.823239,-0.205286,-0.010697
0,1106,0.0,0.0825,0.912817,-0.097738,0.311297
0,1107,0.0,0.28925,0.723996,-0.351725,0.099181
0,1108,1.0,0.56575,0.56295,-0.632948,0.19179
0,1110,1.0,0.7815,0.786457,-0.254548,0.105552
0,1111,0.0,0.05575,0.950326,-0.053544,0.086778
0,1112,0.0,0.16375,0.836483,-0.194345,0.059944
0,1113,0.0,0.472,0.521348,-0.720868,0.109283
0,1114,1.0,0.98475,0.983774,-0.016547,0.157156
0,1115,1.0,0.88975,0.902837,-0.10627,0.03942
0,1116,0.0,0.0265,0.971299,-0.030271,0.088926
0,1117,0.0,0.25975,0.745437,-0.322679,0.103848
0,1118,1.0,0.3665,0.370816,-1.122676,0.145538
0,1119,0.0,0.10475,0.897996,-0.114504,0.190261
0,1120,0.0,0.4215,0.577806,-0.608491,0.072719
0,1121,0.0,0.0405,0.956506,-0.046597,0.230826
0,1122,1.0,0.79375,0.795415,-0.244374,0.111954
0,1123,1.0,0.52225,0.526848,-0.704261,0.002856
0,1124,1.0,0.28125,0.28312,-1.474297,0.293395
0,1125,1.0,0.257,0.257679,-1.605058,0.293102
0,1126,0.0,0.25525,0.753642,-0.30777,0.127431
0,1127,0.0,0.2385,0.75952,-0.299403,0.007525
0,1128,1.0,0.46175,0.46218,-0.874848,0.187423
0,1129,0.0,0.15325,0.847999,-0.178171,0.053057
0,1130,0.0,0.37225,0.633772,-0.502638,0.05534
0,1131,0.0,0.40525,0.608906,-0.549134,0.136072
0,1132,0.0,0.12675,0.869863,-0.14939,0.150951
0,1133,0.0,0.04175,0.956083,-0.047082,0.093109
0,1134,1.0,0.50825,0.513341,-0.744709,0.267646
0,1135,1.0,0.7875,0.790011,-0.250012,0.065868
0,1136,0.0,0.1115,0.890524,-0.124177,0.095872
0,1138,1.0,0.139,0.138192,-2.446088,0.374534
0,1139,0.0,0.27975,0.721266,-0.357958,0.188353
0,1140,1.0,0.95475,0.957011,-0.044978,-0.062626
0,1141,0.0,0.093,0.903752,-0.10844,0.148997
0,1142,0.0,0.20525,0.790308,-0.257811,0.152965
0,1144,1.0,0.65475,0.659992,-0.448919,0.189596
0,1145,0.0,0.59875,0.404887,-1.006688,0.168201
0,1146,0.0,0.6595,0.332901,-1.226875,0.115596
0,1148,0.0,0.04575,0.955668,-0.047745,0.251347
0,1149,0.0,0.528,0.478847,-0.813225,0.191312
0,1150,1.0,0.48025,0.485601,-0.803999,0.21531
0,1151,0.0,0.49875,0.496004,-0.78058,0.073198
0,1152,1.0,0.90775,0.906823,-0.101878,0.00984
0,1153,0.0,0.768,0.228909,-1.675239,0.160422
0,1154,1.0,0.9745,0.973377,-0.027399,0.236326
0,1155,1.0,0.4995,0.491462,-0.790555,0.088835
0,1156,0.0,0.139,0.867578,-0.153123,0.252507
0,1157,0.0,0.06475,0.933984,-0.07209,0.028976
0,1158,0.0,0.703,0.307202,-1.327182,0.183276
0,1159,0.0,0.19075,0.809618,-0.229622,0.046419
0,1160,1.0,0.48325,0.484304,-0.813899,0.166336
0,1161,0.0,0.1495,0.860198,-0.162727,0.068871
0,1162,0.0,0.20475,0.802674,-0.240837,-0.051356
0,1163,0.0,0.5965,0.405684,-1.007871,0.136845
0,1164,1.0,0.718,0.716534,-0.35811,0.090947
0,1165,1.0,0.819,0.819322,-0.21107,0.05855
0,1166,1.0,0.51425,0.525302,-0.712518,0.047805
0,1168,0.0,0.4025,0.580885,-0.606044,0.239623
0,1169,1.0,0.48575,0.489697,-0.795014,0.175128
0,1170,0.0,0.16125,0.830375,-0.201497,0.178208
0,1171,0.0,0.538,0.452882,-0.878587,-0.031027
0,1172,0.0,0.09275,0.906218,-0.104718,0.026393
0,1173,0.0,0.12075,0.876553,-0.141417,0.054189
0,1174,0.0,0.247,0.756821,-0.302004,-0.003939
0,1175,0.0,0.41175,0.574101,-0.612111,0.194183
0,1176,0.0,0.25475,0.737849,-0.330509,0.168302
0,1178,1.0,0.202,0.187852,-2.024599,0.258828
0,1179,1.0,0.52375,0.516543,-0.733456,0.079871
0,1180,0.0,0.10225,0.895491,-0.117901,-0.086205
0,1182,0.0,0.2695,0.737889,-0.330822,0.091301
0,1183,1.0,0.42175,0.425135,-0.960447,-0.015237
0,1184,0.0,0.12,0.878483,-0.13894,0.095165
0,1186,0.0,0.20525,0.799486,-0.242358,0.159269
0,1187,0.0,0.1135,0.875862,-0.142002,0.158643
0,1188,1.0,0.35125,0.352471,-1.184895,0.183443
0,1189,1.0,0.72525,0.707202,-0.374006,0.07292
0,1190,1.0,0.846,0.86012,-0.158221,0.028395
0,1191,1.0,0.36675,0.368514,-1.138221,0.124678
0,1192,0.0,0.05375,0.950474,-0.053495,0.222963
