k1,k2,sk,lb,ub,pval
0,0,0.026771,0.018115,0.026021,0.98425
1,0,0.813333,0.720952,0.779048,1.0
2,0,0.786667,0.752381,0.807619,0.6715
2,1,0.76,0.719048,0.778095,0.73425
3,0,0.755238,0.709524,0.767619,0.8945
3,1,0.673333,0.630476,0.693333,0.72325
3,2,0.757143,0.713333,0.771429,0.8265
4,0,0.708571,0.68,0.737143,0.543
4,1,0.609524,0.581905,0.642857,0.47675
4,2,0.71619,0.688571,0.745714,0.53625
4,3,0.858095,0.827619,0.879048,0.6265
5,0,0.747619,0.721905,0.78,0.383
5,1,0.717143,0.694286,0.753333,0.31475
5,2,0.810476,0.721905,0.781905,1.0
5,3,0.727619,0.697143,0.758095,0.5695
5,4,0.707619,0.672381,0.735238,0.61725
6,0,0.767619,0.730476,0.787619,0.713
6,1,0.700952,0.65619,0.718095,0.79775
6,2,0.80381,0.735238,0.793333,0.99625
6,3,0.82,0.793333,0.844762,0.481
6,4,0.847619,0.820952,0.870476,0.52375
6,5,0.796384,0.711703,0.771646,0.9995
7,0,0.71619,0.684762,0.740952,0.57725
7,1,0.613333,0.584762,0.646667,0.45575
7,2,0.725714,0.690476,0.748571,0.6235
7,3,0.861905,0.833333,0.88381,0.54025
7,4,0.954286,0.928571,0.961905,0.8435
7,5,0.716461,0.676499,0.740247,0.669
7,6,0.870599,0.831589,0.878211,0.90375
8,0,0.56,0.514286,0.588571,0.64625
8,1,0.575238,0.564762,0.633333,0.105
8,2,0.573333,0.515238,0.587619,0.891
8,3,0.454286,0.415238,0.491429,0.57075
8,4,0.392381,0.347619,0.42381,0.6265
8,5,0.585157,0.505233,0.577545,0.987
8,6,0.49001,0.428164,0.50333,0.89175
8,7,0.391056,0.350143,0.426261,0.57025
9,0,0.674286,0.651429,0.715238,0.30575
9,1,0.619048,0.598095,0.664762,0.20625
9,2,0.708571,0.653333,0.71619,0.91325
9,3,0.74,0.704762,0.768571,0.63075
9,4,0.773333,0.730476,0.79619,0.73075
9,5,0.701237,0.642245,0.705043,0.95275
9,6,0.750714,0.706946,0.768792,0.77975
9,7,0.771646,0.732636,0.799239,0.60525
9,8,0.594672,0.435775,0.508088,1.0
10,0,0.731429,0.688571,0.749524,0.81575
10,1,0.653333,0.637143,0.702857,0.138
10,2,0.731429,0.688571,0.749524,0.74675
10,3,0.738095,0.713333,0.774286,0.3275
10,4,0.75619,0.721905,0.787619,0.484
10,5,0.724072,0.67079,0.733587,0.895
10,6,0.794481,0.724072,0.784015,0.99425
10,7,0.764034,0.727878,0.79353,0.54025
10,8,0.607992,0.459562,0.530923,1.0
10,9,0.741199,0.653663,0.717412,0.9995
11,0,0.718095,0.689524,0.746667,0.51025
11,1,0.620952,0.589524,0.651429,0.51675
11,2,0.721905,0.695238,0.753333,0.40375
11,3,0.86,0.834286,0.88381,0.51375
11,4,0.946667,0.92381,0.958095,0.76275
11,5,0.712655,0.681256,0.744053,0.51
11,6,0.85157,0.831589,0.878211,0.3835
11,7,0.94862,0.931494,0.961941,0.5975
11,8,0.394862,0.353949,0.431018,0.5385
11,9,0.76784,0.730733,0.797336,0.54775
11,10,0.76784,0.730733,0.795433,0.618
12,0,0.707619,0.680952,0.738095,0.43575
12,1,0.612381,0.584762,0.645714,0.51725
12,2,0.715238,0.688571,0.745714,0.432
12,3,0.857143,0.834286,0.88381,0.43275
12,4,0.955238,0.928571,0.960952,0.83075
12,5,0.704091,0.673644,0.73549,0.458
12,6,0.85823,0.828735,0.876308,0.66875
12,7,0.957184,0.937203,0.96765,0.733
12,8,0.388202,0.347288,0.423406,0.57025
12,9,0.768792,0.731684,0.797336,0.553
12,10,0.764986,0.725024,0.790676,0.6025
12,11,0.968601,0.930542,0.961941,0.9985
13,0,0.7,0.672381,0.730476,0.42125
13,1,0.599048,0.572381,0.631429,0.41125
13,2,0.709524,0.68,0.738095,0.46125
13,3,0.859048,0.837143,0.888571,0.42475
13,4,0.960952,0.940952,0.971429,0.6935
13,5,0.702188,0.666984,0.730733,0.54725
13,6,0.854424,0.827783,0.875357,0.54975
13,7,0.964795,0.945766,0.97431,0.679
13,8,0.378687,0.335871,0.411989,0.56375
13,9,0.7745,0.734539,0.802093,0.6395
13,10,0.766889,0.725024,0.791627,0.666
13,11,0.970504,0.939106,0.968601,0.98525
13,12,0.982873,0.947669,0.975262,0.9995
14,0,0.747318,0.702026,0.768772,0.758
14,1,0.696067,0.655542,0.727056,0.5415
14,2,0.772348,0.703218,0.771156,0.97075
14,3,0.733015,0.711561,0.778308,0.244
14,4,0.746126,0.710369,0.779499,0.5325
14,5,0.834327,0.684148,0.750894,1.0
14,6,0.775924,0.722288,0.787843,0.85125
14,7,0.756853,0.716329,0.785459,0.62075
14,8,0.505364,0.468415,0.549464,0.41725
14,9,0.678188,0.655542,0.722288,0.31625
14,10,0.712753,0.675805,0.742551,0.59925
14,11,0.74851,0.717521,0.785459,0.4085
14,12,0.733015,0.711561,0.781883,0.19275
14,13,0.738975,0.710369,0.780691,0.35325
15,0,0.718713,0.675805,0.736591,0.777
15,1,0.619785,0.573302,0.637664,0.77175
15,2,0.717521,0.684148,0.744934,0.57875
15,3,0.873659,0.834327,0.887962,0.8165
15,4,0.951132,0.938021,0.970203,0.3835
15,5,0.712753,0.666269,0.734207,0.70975
15,6,0.866508,0.824791,0.876043,0.84875
15,7,0.973778,0.941597,0.972586,0.981
15,8,0.367104,0.337306,0.418355,0.296
15,9,0.771156,0.728248,0.799762,0.569
15,10,0.762813,0.725864,0.794994,0.55125
15,11,0.946365,0.935638,0.967819,0.233
15,12,0.957092,0.942789,0.973778,0.376
15,13,0.970203,0.954708,0.982122,0.5105
15,14,0.759237,0.712753,0.783075,0.734
16,0,0.711561,0.671037,0.731824,0.71625
16,1,0.612634,0.568534,0.632896,0.7105
16,2,0.703218,0.680572,0.740167,0.32875
16,3,0.871275,0.831943,0.885578,0.80975
16,4,0.951132,0.935638,0.970203,0.358
16,5,0.700834,0.667461,0.734207,0.54025
16,6,0.849821,0.8236,0.874851,0.521
16,7,0.954708,0.942789,0.973778,0.33975
16,8,0.367104,0.332539,0.413588,0.34075
16,9,0.77354,0.72944,0.800954,0.63925
16,10,0.760429,0.718713,0.789035,0.55825
16,11,0.967819,0.935638,0.967819,0.979
16,12,0.966627,0.943981,0.97497,0.8055
16,13,0.982122,0.957092,0.983313,0.96075
16,14,0.742551,0.707986,0.778308,0.44875
16,15,0.969011,0.952324,0.98093,0.5805
17,0,0.706794,0.668653,0.72944,0.701
17,1,0.607867,0.56615,0.629321,0.7215
17,2,0.703218,0.675805,0.736591,0.4115
17,3,0.871275,0.830751,0.885578,0.80475
17,4,0.9559,0.942789,0.97497,0.37125
17,5,0.698451,0.66031,0.727056,0.56025
17,6,0.854589,0.8236,0.873659,0.67125
17,7,0.961859,0.946365,0.976162,0.50125
17,8,0.362336,0.327771,0.40882,0.33875
17,9,0.77354,0.730632,0.802145,0.63625
17,10,0.760429,0.718713,0.790226,0.57725
