k1,k2,stat,lb,ub,pval
0,0,0.002326,0.003037,0.003448,0.00025
1,0,-0.005861,0.02965,0.051232,0.0
2,0,-0.002145,0.0006,0.020474,0.00875
2,1,-1.6e-05,0.003653,0.022991,0.00275
3,0,-0.001547,0.005417,0.022175,0.00025
3,1,-0.004442,0.002875,0.017899,0.0
3,2,0.002141,-0.000666,0.01519,0.0785
4,0,-0.000764,-0.00321,0.004872,0.22125
4,1,-0.001975,-0.002591,0.004444,0.05125
4,2,-0.001697,-0.001517,0.006494,0.0255
4,3,0.000135,-0.003182,0.006247,0.28325
5,0,-0.002246,-0.002612,0.017023,0.03675
5,1,-0.001201,-3e-05,0.019925,0.01025
5,2,0.013435,0.008694,0.02923,0.151
5,3,-0.002982,-0.001881,0.014661,0.01525
5,4,-0.000959,-0.002608,0.006092,0.09875
6,0,-0.001393,-0.004329,0.011618,0.09375
6,1,0.003815,-0.002437,0.010946,0.43825
6,2,0.011101,0.002419,0.018549,0.56475
6,3,-0.004385,-0.003531,0.012264,0.012
6,4,-0.002108,-0.002301,0.006677,0.03825
6,5,0.011996,0.00414,0.020854,0.46175
7,0,0.000499,-0.002718,0.004386,0.41125
7,1,-3.6e-05,-0.002106,0.003558,0.28325
7,2,0.001483,-0.001334,0.005469,0.33275
7,3,-0.001001,-0.00279,0.006182,0.11225
7,4,0.002026,-0.001901,0.004356,0.739
7,5,0.002153,-0.001845,0.005361,0.54325
7,6,0.006448,-0.001306,0.007431,0.94075
8,0,0.005381,-0.005663,0.009984,0.7925
8,1,-0.003125,-0.006168,0.0108,0.097
8,2,-0.000419,-0.006299,0.009028,0.32125
8,3,0.000404,-0.005735,0.00725,0.428
8,4,0.001449,-0.003035,0.003763,0.791
8,5,-0.004689,0.003297,0.021324,0.0
8,6,-0.00448,0.001118,0.012642,0.0
8,7,-0.000138,-0.00216,0.003129,0.31875
9,0,0.001812,-0.007564,0.010847,0.53
9,1,0.004499,-0.00771,0.010068,0.7665
9,2,0.007305,-0.010418,0.007456,0.9685
9,3,0.001955,-0.008497,0.008317,0.673
9,4,0.002681,-0.005069,0.004644,0.882
9,5,-0.000273,0.000874,0.021954,0.01775
9,6,-0.01039,0.003405,0.021727,0.0
9,7,-0.000395,-0.003989,0.005552,0.297
9,8,0.009039,0.016651,0.032226,0.00025
10,0,0.010225,-0.005255,0.013045,0.9245
10,1,-0.001981,-0.005026,0.012694,0.0955
10,2,-0.001168,-0.005823,0.01247,0.17475
10,3,-0.003772,-0.006989,0.010386,0.09725
10,4,-0.002443,-0.004107,0.005281,0.1085
10,5,-0.008345,0.003588,0.024631,0.0
10,6,0.002593,0.00583,0.023938,0.006
10,7,-0.000783,-0.003294,0.005649,0.1655
10,8,0.006068,0.016906,0.031852,0.00025
10,9,-0.014952,0.030368,0.054575,0.0
11,0,-5.6e-05,-0.002898,0.005244,0.283
11,1,-0.000539,-0.002187,0.004134,0.15925
11,2,-0.002965,-0.000236,0.00722,0.00125
11,3,-3.2e-05,-0.002901,0.007413,0.17025
11,4,0.000469,-0.001878,0.004955,0.303
11,5,-0.002029,-0.001404,0.006996,0.0175
11,6,-0.003027,-0.001456,0.008243,0.00425
11,7,-0.001754,-0.001579,0.005624,0.016
11,8,-0.000188,-0.003103,0.003309,0.43425
11,9,-0.001487,-0.005355,0.00459,0.328
11,10,0.00107,-0.004656,0.005069,0.596
12,0,-0.000674,-0.003026,0.004167,0.226
12,1,0.00024,-0.002131,0.003371,0.354
12,2,-0.002094,-0.000878,0.006169,0.00325
12,3,-0.001829,-0.002189,0.006865,0.038
12,4,0.001135,-0.001902,0.004435,0.49275
12,5,-0.002714,-0.001606,0.005802,0.00475
12,6,0.000504,-0.001792,0.006813,0.2045
12,7,-0.001122,-0.001619,0.004955,0.051
12,8,6.7e-05,-0.002899,0.002851,0.51325
12,9,-0.003018,-0.004608,0.004188,0.1125
12,10,-0.000769,-0.004191,0.004289,0.33725
12,11,0.006952,-0.001017,0.006227,0.9885
13,0,-0.000951,-0.002177,0.002934,0.15225
13,1,-0.001518,-0.001553,0.002397,0.03125
13,2,-0.001158,-0.000975,0.003754,0.0235
13,3,-0.001897,-0.002386,0.004279,0.0395
13,4,-0.000802,-0.001629,0.003417,0.11175
13,5,-0.000454,-0.001477,0.003771,0.10425
13,6,-0.001299,-0.001706,0.004594,0.04475
13,7,-0.001463,-0.001488,0.003752,0.0265
13,8,-0.000196,-0.002073,0.002114,0.43275
13,9,-0.001656,-0.003526,0.003412,0.178
13,10,0.000172,-0.003029,0.003442,0.49225
13,11,0.004455,-0.001354,0.004234,0.97475
13,12,0.006582,-0.001027,0.00417,0.9995
14,0,0.007102,-0.004647,0.016671,0.64625
14,1,-0.003299,-0.003171,0.01804,0.0225
14,2,0.008017,0.000552,0.024819,0.20525
14,3,-0.005794,-0.00441,0.014771,0.014
14,4,-0.000129,-0.003461,0.00697,0.244
14,5,0.045389,-0.001345,0.023092,1.0
14,6,0.004559,-0.003672,0.016198,0.3535
14,7,0.003096,-0.002959,0.006739,0.6745
14,8,-0.005046,-0.009622,0.008981,0.12475
14,9,-0.003889,-0.011429,0.011077,0.2915
14,10,0.000465,-0.010153,0.012668,0.41275
14,11,-0.002552,-0.00255,0.008462,0.03
14,12,-0.007753,-0.002712,0.007344,0.0
14,13,-0.003814,-0.002093,0.004971,0.00375
15,0,0.000109,-0.002491,0.003868,0.3655
15,1,0.000798,-0.002232,0.002682,0.6065
15,2,0.001922,-0.001757,0.004178,0.67
15,3,-0.000159,-0.003146,0.005307,0.2545
15,4,-0.000507,-0.002216,0.004019,0.2235
15,5,0.002,-0.002451,0.004222,0.70925
15,6,0.003777,-0.002324,0.005559,0.86975
15,7,0.007851,-0.002089,0.004701,0.9995
15,8,-0.000672,-0.002568,0.002528,0.25725
15,9,-0.001074,-0.004335,0.004385,0.29975
15,10,0.002303,-0.003476,0.004685,0.83475
15,11,-0.002767,-0.002208,0.005015,0.00675
15,12,-0.002645,-0.0022,0.004489,0.011
15,13,-0.00219,-0.002023,0.003491,0.01325
15,14,0.005955,-0.001819,0.008595,0.856
16,0,-0.00056,-0.002725,0.003701,0.24775
16,1,-0.000676,-0.002178,0.003221,0.19025
16,2,-0.002735,-0.002242,0.003887,0.0105
16,3,-0.000964,-0.003667,0.004303,0.21825
16,4,-0.001783,-0.002316,0.003418,0.0625
16,5,-0.001977,-0.002736,0.004002,0.067
16,6,-0.00394,-0.002759,0.004805,0.00425
16,7,-0.00255,-0.002151,0.003885,0.008
16,8,-0.000258,-0.002503,0.002571,0.3865
16,9,-0.000294,-0.004441,0.003711,0.477
16,10,0.0011,-0.003759,0.003928,0.67825
16,11,0.007197,-0.002677,0.00385,0.9995
16,12,0.000845,-0.002756,0.003476,0.69025
16,13,0.002685,-0.002274,0.00298,0.959
16,14,-0.001941,-0.002091,0.005874,0.0375
16,15,-0.001492,-0.001786,0.004054,0.022
17,0,-0.000552,-0.002553,0.002873,0.273
17,1,-0.000214,-0.001912,0.002578,0.302
17,2,-0.0003,-0.001865,0.003103,0.2155
17,3,-0.000477,-0.002828,0.004042,0.2755
17,4,-0.002298,-0.002264,0.002908,0.01775
17,5,-0.000964,-0.002285,0.003412,0.12525
17,6,-4.8e-05,-0.00217,0.004202,0.291
17,7,-0.000895,-0.002093,0.003352,0.142
17,8,-0.000107,-0.001905,0.002351,0.33825
17,9,-0.001078,-0.003607,0.003521,0.25575
17,10,0.000826,-0.002926,0.003794,0.61625
17,11,0.001336,-0.002057,0.003546,0.7225
17,12,0.002178,-0.002557,0.00281,0.91225
17,13,0.003367,-0.0021,0.002541,0.993
17,14,-0.000357,-0.002027,0.004737,0.181
17,15,-0.001073,-0.000896,0.004445,0.02175
17,16,0.003768,-0.00093,0.004453,0.92525
18,0,-0.001126,-0.005026,0.009011,0.19525
18,1,-0.002624,-0.003709,0.009449,0.053
18,2,-0.002653,-0.001358,0.012666,0.011
18,3,0.001599,-0.004441,0.009453,0.41175
18,4,0.001886,-0.003082,0.005275,0.66625
18,5,0.000157,-0.002985,0.011814,0.11525
18,6,-0.006688,-0.003452,0.009851,0.00125
18,7,-0.003291,-0.003222,0.005284,0.012
18,8,0.002315,-0.004962,0.007078,0.68975
18,9,-7.8e-05,-0.007512,0.007452,0.48575
18,10,0.002704,-0.005992,0.009059,0.665
18,11,0.001459,-0.00249,0.007024,0.3645
18,12,0.00173,-0.002494,0.005685,0.51
18,13,-0.000461,-0.002271,0.004037,0.17775
18,14,-0.009603,-0.00505,0.013052,0.0005
18,15,0.001273,-0.003305,0.00458,0.6115
18,16,-0.002023,-0.003168,0.004342,0.09575
18,17,-0.001439,-0.002751,0.003851,0.119
19,0,-0.0006,-0.00392,0.00465,0.295
19,1,-0.001631,-0.003113,0.004625,0.11325
19,2,-0.001986,-0.003054,0.005638,0.05675
19,3,-0.000806,-0.003628,0.004994,0.27475
19,4,-0.001799,-0.00264,0.002985,0.074
19,5,-0.002991,-0.003264,0.005589,0.03325
19,6,-0.001378,-0.003506,0.005101,0.1355
19,7,-0.001365,-0.002369,0.003096,0.103
19,8,0.001456,-0.003466,0.004076,0.693
19,9,-0.000442,-0.004403,0.004871,0.404
19,10,0.002057,-0.003866,0.005195,0.733
19,11,0.001793,-0.002366,0.004246,0.73025
19,12,-0.000746,-0.002508,0.003178,0.25375
19,13,-8.1e-05,-0.002017,0.00258,0.42475
19,14,-0.003356,-0.004482,0.00641,0.056
19,15,-0.000398,-0.002323,0.003042,0.36625
19,16,-0.000124,-0.001915,0.003027,0.41075
19,17,0.001066,-0.00195,0.002621,0.78825
19,18,0.020447,-0.001717,0.008208,1.0
20,0,0.001173,-0.005242,0.008078,0.515
20,1,0.000385,-0.004134,0.007766,0.33125
20,2,0.001888,-0.002939,0.010885,0.2555
20,3,0.001887,-0.005479,0.008107,0.5595
20,4,0.001378,-0.003589,0.004615,0.68125
