name	Mean	MCSE	StdDev	5%	50%	95%	N_Eff	N_Eff/s	R_hat
theta[1,1]	-0.945	0.00742	0.48	-1.77	-0.919	-0.211	4182.0	0.449	1.0
theta[2,1]	-0.0797	0.011	0.944	-1.71	-0.0645	1.43	7321.0	0.786	0.999
theta[3,1]	1.48	0.00908	0.697	0.346	1.46	2.62	5890.0	0.632	0.999
theta[4,1]	-0.0737	0.0113	0.967	-1.71	-0.0306	1.48	7357.0	0.79	0.999
theta[5,1]	0.518	0.00774	0.55	-0.36	0.501	1.44	5045.0	0.542	1.0
theta[6,1]	-0.101	0.0117	0.949	-1.65	-0.0911	1.44	6539.0	0.702	0.999
theta[7,1]	-0.165	0.0101	0.812	-1.58	-0.121	1.06	6512.0	0.699	1.0
theta[8,1]	-0.928	0.00855	0.644	-2.08	-0.865	0.0536	5671.0	0.609	1.0
theta[9,1]	0.00573	0.0119	0.972	-1.62	0.0158	1.6	6686.0	0.718	1.0
theta[10,1]	-0.116	0.0114	0.954	-1.72	-0.109	1.43	7020.0	0.754	1.0
theta[11,1]	-0.0508	0.0124	0.975	-1.68	-0.0337	1.5	6150.0	0.66	1.0
theta[1,2]	-0.286	0.00562	0.367	-0.91	-0.277	0.293	4257.0	0.457	1.0
theta[2,2]	-0.135	0.011	0.956	-1.74	-0.111	1.36	7552.0	0.811	0.999
theta[3,2]	-0.592	0.00951	0.778	-1.91	-0.573	0.64	6683.0	0.718	0.999
theta[4,2]	-0.088	0.0104	0.914	-1.64	-0.0591	1.36	7759.0	0.833	1.0
theta[5,2]	-0.959	0.00932	0.648	-2.12	-0.885	-0.0124	4840.0	0.52	1.0
theta[6,2]	1.5	0.0109	0.755	0.291	1.49	2.78	4806.0	0.516	1.0
theta[7,2]	-0.589	0.0103	0.824	-2.03	-0.542	0.682	6452.0	0.693	1.0
theta[8,2]	1.03	0.00861	0.654	0.0165	0.979	2.15	5764.0	0.619	1.0
theta[9,2]	-0.117	0.0108	0.948	-1.68	-0.114	1.41	7653.0	0.822	0.999
theta[10,2]	-0.121	0.0113	0.909	-1.68	-0.0737	1.26	6477.0	0.695	1.0
theta[11,2]	0.0201	0.0115	1.01	-1.61	0.0154	1.69	7747.0	0.832	0.999
theta[1,3]	1.3	0.00396	0.267	0.843	1.31	1.73	4545.0	0.488	1.0
theta[2,3]	-0.412	0.011	0.87	-1.89	-0.382	0.961	6215.0	0.667	1.0
theta[3,3]	0.279	0.00943	0.725	-0.861	0.241	1.54	5906.0	0.634	0.999
theta[4,3]	-0.199	0.0126	0.828	-1.62	-0.154	1.12	4314.0	0.463	1.0
theta[5,3]	0.281	0.00918	0.636	-0.728	0.253	1.37	4794.0	0.515	0.999
theta[6,3]	0.0882	0.0103	0.844	-1.23	0.0796	1.55	6751.0	0.725	1.0
theta[7,3]	-0.868	0.00926	0.702	-2.09	-0.818	0.22	5759.0	0.618	1.0
theta[8,3]	-0.207	0.00749	0.58	-1.1	-0.254	0.81	6007.0	0.645	1.0
theta[9,3]	-0.271	0.011	0.9	-1.78	-0.26	1.17	6713.0	0.721	1.0
theta[10,3]	0.959	0.00678	0.489	0.154	0.975	1.74	5215.0	0.56	1.0
theta[11,3]	0.187	0.0313	0.898	-1.31	0.187	1.65	825.0	0.0886	1.01
theta[1,4]	0.131	0.00473	0.311	-0.387	0.135	0.629	4328.0	0.465	0.999
theta[2,4]	1.77	0.00924	0.623	0.694	1.81	2.72	4541.0	0.488	1.0
theta[3,4]	-0.733	0.00954	0.766	-2.01	-0.703	0.452	6444.0	0.692	1.0
theta[4,4]	-0.352	0.0116	0.928	-1.97	-0.332	1.14	6406.0	0.688	1.0
theta[5,4]	-1.11	0.00853	0.599	-2.16	-1.06	-0.227	4924.0	0.529	0.999
theta[6,4]	0.334	0.0169	0.767	-0.945	0.338	1.57	2052.0	0.22	1.0
theta[7,4]	1.61	0.00613	0.462	0.853	1.6	2.37	5692.0	0.611	1.0
