sample,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52
0,49,36,74,71,65,71,77,69,62,51,38,43,43,33,33,32,37,19,24,19,20,16,12,13,15,5,5,1,2,1,2,3,2,0,1,1,0,1,1,1,2,0,0,0,0,1,0,0,0,0,0,0,0
1,38,49,62,63,72,80,68,54,60,60,55,54,36,34,44,30,24,26,16,25,15,9,14,7,9,10,8,10,2,1,3,2,2,1,1,0,0,2,1,2,0,1,0,0,0,0,0,1,0,0,0,0,0
2,33,58,75,57,75,70,64,67,52,66,50,43,49,27,38,34,21,30,28,18,17,11,11,5,9,5,5,6,8,2,4,1,1,3,2,1,0,0,2,1,0,1,0,0,1,0,0,0,0,0,0,0,0
3,39,46,65,68,61,83,76,64,54,59,46,46,35,34,34,36,36,26,26,20,17,11,17,4,11,9,7,1,4,4,1,2,1,0,1,0,0,2,1,2,0,1,0,0,0,0,0,0,1,0,0,0,0
4,38,39,67,84,73,77,64,56,60,51,43,55,45,39,37,37,21,27,20,19,20,16,10,3,11,2,6,7,6,3,2,3,2,2,0,1,1,2,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
5,29,63,59,61,70,80,62,83,53,59,53,49,37,37,29,26,28,30,23,24,20,14,16,12,3,7,3,2,4,0,2,1,1,1,2,0,1,2,3,0,0,0,1,0,0,1,0,0,0,0,0,0,0
6,44,57,61,72,69,59,70,72,66,57,46,46,39,36,41,26,22,21,25,23,15,10,13,10,10,6,7,7,2,3,3,2,1,2,1,2,0,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0
7,22,54,75,65,90,66,75,58,69,46,50,39,54,34,30,25,23,23,25,24,17,18,15,6,5,13,5,8,1,3,1,4,1,0,1,0,1,0,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0
8,32,65,69,82,60,60,79,64,57,48,48,39,30,40,36,33,34,35,19,25,15,16,12,11,8,7,6,4,2,2,0,2,2,2,1,0,1,1,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0
9,31,48,64,74,80,73,59,74,69,46,44,45,44,34,33,31,35,22,17,16,21,22,16,10,10,8,4,3,2,1,3,0,2,4,0,2,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,29,64,73,69,65,66,67,58,64,44,60,47,36,41,39,30,24,26,24,19,24,9,10,5,22,8,3,6,4,3,1,0,0,1,1,3,0,0,0,0,2,2,0,1,1,0,0,0,0,0,0,0,0
11,23,56,66,81,71,90,60,70,55,48,58,40,40,33,37,28,27,19,18,23,19,12,8,13,9,9,10,5,5,3,4,2,1,1,0,1,1,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
12,42,59,61,61,66,68,78,68,61,56,44,47,38,34,38,23,26,28,21,21,19,17,17,13,6,5,8,7,3,2,2,1,1,1,1,0,2,1,2,2,0,0,0,0,0,1,0,0,0,0,0,0,0
13,30,45,69,67,82,64,72,79,67,50,32,54,39,32,38,31,27,25,29,20,17,10,10,25,5,6,2,7,3,2,1,0,3,0,2,1,1,0,0,1,1,0,2,0,0,0,0,0,0,0,0,0,0
14,25,67,65,62,66,69,76,59,62,55,43,57,33,38,30,32,29,22,26,26,24,19,8,13,8,8,6,4,5,4,1,2,1,1,1,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
15,33,54,57,61,84,73,71,81,62,54,54,41,30,34,38,32,29,17,18,15,26,14,17,18,4,6,5,5,3,1,3,1,2,0,0,2,3,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0
16,21,61,71,74,80,79,63,70,47,54,44,48,46,34,39,26,38,22,24,15,17,10,13,9,6,9,7,4,3,2,3,4,0,1,1,1,0,1,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0
17,27,59,69,63,61,79,77,72,54,69,34,57,39,37,44,22,27,23,14,27,17,5,16,7,10,8,6,11,3,3,2,1,1,1,1,1,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0
18,26,75,50,60,74,68,82,59,65,52,52,47,43,43,35,31,26,24,17,20,17,20,17,12,8,5,7,2,4,0,0,1,0,2,2,0,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0
19,29,51,71,66,76,73,76,62,56,56,48,47,37,33,42,28,33,26,29,19,13,11,10,13,7,6,8,6,3,4,1,2,1,1,0,1,1,1,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0
20,37,57,71,68,56,84,70,63,74,56,43,42,42,37,28,32,18,28,19,23,19,13,12,14,7,6,10,5,2,2,1,2,2,1,2,1,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0
21,35,54,63,69,72,69,79,63,53,52,49,39,46,38,33,34,29,25,23,20,12,23,14,13,7,4,4,5,1,4,6,1,2,2,0,1,0,2,0,3,1,0,0,1,0,0,0,0,0,0,0,0,0
22,24,56,68,79,74,64,91,46,48,53,63,41,42,30,29,36,34,23,28,28,16,15,15,8,4,7,4,2,5,2,3,3,2,0,2,1,1,0,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0
23,30,60,61,73,61,88,63,73,63,58,52,52,25,27,36,31,20,35,26,21,21,12,11,11,10,8,5,3,2,2,1,1,1,2,0,0,0,2,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0
24,45,53,64,65,72,72,65,66,65,53,47,42,40,34,32,32,31,29,22,27,22,14,10,11,8,6,2,3,2,5,0,1,2,3,0,0,0,0,0,0,3,0,1,0,1,0,1,0,0,0,0,0,0
25,30,44,65,59,78,77,85,76,59,53,58,43,29,34,37,25,30,30,23,16,18,10,10,12,10,9,7,6,5,0,3,2,1,2,1,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
26,31,60,60,67,72,79,62,70,57,58,39,39,47,40,37,40,32,21,27,21,17,8,8,13,13,8,2,1,4,3,3,2,1,2,1,0,0,0,0,0,2,2,1,1,0,0,0,0,0,0,0,0,0
27,35,53,66,84,70,54,70,77,57,56,44,46,35,39,24,33,28,26,24,31,21,18,10,11,5,7,6,2,2,4,2,0,1,3,0,1,1,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0
28,30,52,69,73,68,81,67,58,54,61,51,51,41,38,20,37,32,21,23,18,11,22,14,7,12,6,8,5,7,3,2,3,0,0,0,0,1,0,1,0,1,1,0,1,0,0,1,0,0,0,0,0,0
29,30,48,54,73,86,79,64,67,72,55,44,45,40,33,30,31,28,26,26,18,12,21,15,2,14,7,4,6,5,2,3,1,1,0,1,1,1,2,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0
30,40,45,61,66,77,74,72,63,52,62,43,53,40,25,47,39,25,21,19,22,21,12,19,12,8,5,6,6,0,6,1,1,1,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
31,31,53,68,73,68,64,82,68,55,54,40,38,47,50,33,26,32,18,32,21,14,12,13,8,9,11,4,5,4,5,1,1,2,0,0,1,1,3,0,1,0,2,0,0,0,0,1,0,0,0,0,0,0
32,29,56,65,76,82,63,69,62,60,47,54,48,32,27,31,42,32,25,23,29,10,11,14,17,8,10,4,3,9,0,2,1,3,1,3,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
33,31,54,64,81,68,64,69,68,47,61,51,45,35,37,34,39,28,32,22,20,18,12,12,10,8,6,6,4,5,2,4,3,1,2,3,0,0,3,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
