subject,item,item_id,subscale,response,n_years
00az6gt8iq5hfctoiwex16d6,1,Swore,PVA,1.0,3.0
00az6gt8iq5hfctoiwex16d6,2,Hurtful,PVA,1.0,3.0
00az6gt8iq5hfctoiwex16d6,3,Afraid,PVA,0.0,0.0
00az6gt8iq5hfctoiwex16d6,4,Leave,PVA,0.0,0.0
00az6gt8iq5hfctoiwex16d6,5,Closet,NVEA,0.0,0.0
00az6gt8iq5hfctoiwex16d6,6,Pushed,PPhysA,0.0,0.0
00az6gt8iq5hfctoiwex16d6,7,Hit,PPhysA,0.0,0.0
00az6gt8iq5hfctoiwex16d6,8,Hit_med,PPhysA,0.0,0.0
00az6gt8iq5hfctoiwex16d6,9,Spank_open,PPhysA,0.0,0.0
00az6gt8iq5hfctoiwex16d6,10,Spanked_bare,PPhysA,0.0,0.0
00az6gt8iq5hfctoiwex16d6,11,Spanked_strap,PPhysA,0.0,0.0
00az6gt8iq5hfctoiwex16d6,12,Sex_comment,SexA,0.0,0.0
00az6gt8iq5hfctoiwex16d6,13,Fondled,SexA,0.0,0.0
00az6gt8iq5hfctoiwex16d6,14,Touch_them,SexA,0.0,0.0
00az6gt8iq5hfctoiwex16d6,15,Push_sib,WSV,,
00az6gt8iq5hfctoiwex16d6,16,Hit_sib_med,WSV,,
00az6gt8iq5hfctoiwex16d6,17,Sex_comment_sib,WSV,,
00az6gt8iq5hfctoiwex16d6,18,Fondled_sib,WSV,,
00az6gt8iq5hfctoiwex16d6,19,o_fondled,SexA,0.0,0.0
00az6gt8iq5hfctoiwex16d6,20,o_intercourse,SexA,0.0,0.0
00az6gt8iq5hfctoiwex16d6,21,Adults_push_m,WIPV,1.0,4.0
00az6gt8iq5hfctoiwex16d6,22,Adults_hit_m,WIPV,0.0,0.0
00az6gt8iq5hfctoiwex16d6,23,Adults_hit_med_m,WIPV,0.0,0.0
00az6gt8iq5hfctoiwex16d6,24,Adults_push_f,WIPV,0.0,0.0
00az6gt8iq5hfctoiwex16d6,25,Adults_hit_f,WIPV,0.0,0.0
00az6gt8iq5hfctoiwex16d6,26,peer_swore,PeerVA,0.0,0.0
00az6gt8iq5hfctoiwex16d6,27,Peer_hurtful,PeerVA,0.0,0.0
00az6gt8iq5hfctoiwex16d6,28,Peer_Rumors,PeerVA,0.0,0.0
