name	Mean	MCSE	StdDev	5%	50%	95%	N_Eff	N_Eff/s	R_hat
theta[1,1]	-0.317	0.00613	0.371	-0.973	-0.292	0.25	3662.0	0.644	1.0
theta[2,1]	-0.279	0.0127	0.848	-1.73	-0.229	1.03	4480.0	0.788	1.0
theta[3,1]	-0.404	0.0116	0.846	-1.86	-0.373	0.937	5278.0	0.928	0.999
theta[4,1]	-0.227	0.0116	0.936	-1.82	-0.198	1.27	6556.0	1.15	0.999
theta[5,1]	-1.12	0.0103	0.68	-2.33	-1.06	-0.107	4364.0	0.767	0.999
theta[6,1]	1.02	0.0108	0.74	-0.166	0.993	2.27	4692.0	0.825	1.0
theta[7,1]	-0.269	0.0109	0.762	-1.61	-0.215	0.873	4895.0	0.861	1.0
theta[8,1]	-0.958	0.00769	0.542	-1.87	-0.934	-0.112	4967.0	0.873	0.999
theta[9,1]	-0.192	0.0115	0.813	-1.62	-0.132	1.04	4993.0	0.878	0.999
theta[10,1]	1.31	0.00994	0.61	0.251	1.31	2.28	3766.0	0.662	0.999
theta[11,1]	0.00978	0.0121	0.997	-1.67	0.016	1.66	6736.0	1.18	0.999
theta[1,2]	0.369	0.00529	0.289	-0.113	0.373	0.834	2971.0	0.522	1.0
theta[2,2]	1.04	0.00729	0.509	0.199	1.04	1.86	4871.0	0.856	1.0
theta[3,2]	0.689	0.0107	0.73	-0.48	0.679	1.9	4623.0	0.813	1.0
theta[4,2]	1.31	0.0109	0.662	0.165	1.32	2.38	3705.0	0.651	1.0
theta[5,2]	-1.21	0.00859	0.6	-2.26	-1.16	-0.289	4888.0	0.859	0.999
theta[6,2]	-1.25	0.0109	0.692	-2.4	-1.24	-0.16	3997.0	0.703	1.0
theta[7,2]	-0.29	0.00992	0.65	-1.39	-0.253	0.704	4289.0	0.754	0.999
theta[8,2]	-0.49	0.0073	0.502	-1.29	-0.514	0.382	4734.0	0.832	0.999
theta[9,2]	1.95	0.00677	0.493	1.2	1.93	2.84	5314.0	0.934	1.0
theta[10,2]	-0.41	0.0113	0.79	-1.77	-0.349	0.791	4907.0	0.863	1.0
theta[11,2]	-0.00867	0.0126	0.979	-1.65	-0.0052	1.56	6021.0	1.06	0.999
theta[1,3]	-0.636	0.00666	0.4	-1.32	-0.614	-0.0209	3613.0	0.635	1.0
theta[2,3]	-0.0551	0.0119	0.859	-1.55	-0.000709	1.25	5189.0	0.912	1.0
theta[3,3]	-0.533	0.0113	0.844	-1.93	-0.525	0.826	5561.0	0.978	1.0
theta[4,3]	-0.119	0.0123	0.952	-1.68	-0.104	1.4	6024.0	1.06	1.0
theta[5,3]	-0.951	0.00968	0.676	-2.16	-0.892	0.0505	4877.0	0.857	0.999
theta[6,3]	-0.461	0.012	0.792	-1.81	-0.434	0.791	4382.0	0.77	1.0
theta[7,3]	1.58	0.00705	0.492	0.788	1.57	2.4	4880.0	0.858	0.999
theta[8,3]	0.162	0.00805	0.509	-0.631	0.152	1.03	3992.0	0.702	0.999
theta[9,3]	1.92	0.00692	0.45	1.2	1.91	2.68	4228.0	0.743	1.0
theta[10,3]	-0.0733	0.0121	0.872	-1.58	-0.0372	1.3	5170.0	0.909	0.999
theta[11,3]	-0.0191	0.0144	0.992	-1.65	-0.0385	1.64	4718.0	0.829	1.0
theta[1,4]	-1.07	0.00761	0.472	-1.89	-1.06	-0.353	3840.0	0.675	1.0
theta[2,4]	-0.106	0.012	0.917	-1.64	-0.0792	1.3	5881.0	1.03	0.999
theta[3,4]	-0.342	0.0122	0.894	-1.86	-0.32	1.09	5372.0	0.944	1.0
theta[4,4]	-0.0424	0.0139	0.972	-1.67	-0.0201	1.53	4906.0	0.863	1.0
theta[5,4]	0.286	0.00786	0.546	-0.592	0.276	1.19	4837.0	0.85	1.0
theta[6,4]	-0.344	0.0113	0.843	-1.77	-0.318	0.975	5569.0	0.979	1.0
theta[7,4]	1.8	0.00743	0.486	1.02	1.79	2.61	4276.0	0.752	1.0
theta[8,4]	0.213	0.00791	0.525	-0.614	0.201	1.11	4403.0	0.774	1.0
theta[9,4]	-0.235	0.0121	0.92	-1.82	-0.207	1.22	5766.0	1.01	0.999
theta[10,4]	0.0131	0.0121	0.925	-1.56	0.0385	1.48	5849.0	1.03	0.999
theta[11,4]	0.00205	0.0127	1.02	-1.67	-0.0123	1.68	6504.0	1.14	0.999
theta[1,5]	1.26	0.00478	0.281	0.804	1.26	1.72	3452.0	0.607	1.0
theta[2,5]	-0.951	0.0109	0.716	-2.19	-0.909	0.189	4353.0	0.765	1.0
theta[3,5]	-0.741	0.0196	0.758	-1.97	-0.751	0.535	1492.0	0.262	1.0
theta[4,5]	-0.805	0.0109	0.759	-2.05	-0.788	0.38	4862.0	0.855	1.0
theta[5,5]	-1.15	0.0079	0.505	-2.0	-1.14	-0.34	4088.0	0.719	1.0
theta[6,5]	0.213	0.0125	0.853	-1.15	0.198	1.66	4667.0	0.82	1.0
theta[7,5]	0.643	0.00675	0.474	-0.151	0.641	1.43	4918.0	0.865	1.0
theta[8,5]	-0.0422	0.00921	0.652	-1.03	-0.0792	1.09	5000.0	0.879	0.999
theta[9,5]	0.635	0.00768	0.43	-0.0718	0.638	1.32	3138.0	0.552	1.0
theta[10,5]	1.01	0.00791	0.551	0.119	1.0	1.92	4849.0	0.852	0.999
theta[11,5]	0.0398	0.0142	0.919	-1.48	0.0659	1.49	4211.0	0.74	0.999
theta[1,6]	-1.67	0.00898	0.59	-2.7	-1.64	-0.762	4321.0	0.76	1.0
theta[2,6]	-0.127	0.0122	0.969	-1.72	-0.116	1.4	6352.0	1.12	1.0
theta[3,6]	-0.171	0.0117	0.945	-1.76	-0.139	1.35	6495.0	1.14	1.0
theta[4,6]	-0.045	0.0129	0.984	-1.7	-0.0323	1.54	5810.0	1.02	1.0
