sample,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52
0,17,22,30,23,27,43,29,34,25,23,25,34,27,30,23,19,23,12,14,10,16,12,8,11,9,6,7,3,2,2,6,4,2,0,0,0,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1,7,29,34,37,18,33,22,42,28,29,28,29,26,25,14,14,15,29,24,13,10,9,14,7,5,5,6,4,7,6,3,1,3,3,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2,10,24,19,31,27,39,31,29,38,42,25,23,28,30,18,17,15,16,11,21,16,7,11,9,7,6,3,3,2,4,3,2,4,2,4,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,11,17,23,42,38,35,29,23,31,23,29,27,33,18,22,24,24,14,20,10,13,13,12,5,7,6,5,8,5,1,4,0,1,4,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,8,28,22,30,34,34,30,22,37,32,33,20,36,19,24,23,18,24,16,10,7,12,11,6,8,4,9,5,4,3,3,1,3,1,1,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0
5,10,16,28,36,28,40,34,33,25,31,30,31,29,21,26,19,11,11,9,17,9,14,19,13,8,6,2,6,1,2,6,3,4,1,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
6,17,21,23,19,43,25,29,29,39,34,29,26,32,23,21,19,16,18,20,16,14,11,9,11,8,3,3,3,4,2,3,2,2,2,0,2,0,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0
7,10,18,35,29,34,34,26,38,31,28,21,40,31,21,19,17,14,18,15,18,13,12,6,17,5,5,8,4,4,2,0,0,3,3,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,10,23,27,36,35,32,18,35,26,39,30,21,23,29,27,19,18,14,15,18,10,9,9,12,6,9,5,4,3,5,4,3,2,1,1,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
9,7,27,31,39,26,32,30,20,32,31,24,30,23,19,21,26,18,24,13,14,10,15,11,11,4,12,2,8,2,3,7,4,2,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,7,13,29,26,30,32,35,37,30,33,28,33,30,21,29,21,11,20,16,12,8,16,9,7,9,9,6,4,4,3,1,0,0,4,3,2,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
11,9,19,32,27,30,37,23,40,29,31,28,34,26,20,23,21,22,15,11,14,15,14,11,9,9,5,2,5,2,5,5,1,4,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,10,26,30,25,33,34,28,34,37,25,25,32,22,23,28,17,17,16,15,18,10,5,10,10,6,6,7,6,7,5,2,2,1,6,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
13,12,21,34,30,27,44,33,26,27,30,25,30,27,19,29,18,21,13,16,16,11,9,11,9,13,5,1,5,4,4,2,2,0,1,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,14,17,24,28,32,25,36,27,47,32,28,31,20,15,19,27,13,22,15,16,14,11,9,15,10,5,3,4,5,6,3,0,2,2,0,0,2,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0
15,5,24,27,23,35,29,36,30,37,33,34,27,25,19,22,30,20,12,19,11,7,10,11,17,10,3,3,3,3,7,3,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
16,5,23,30,35,34,18,38,31,36,24,28,32,25,22,27,26,17,11,12,17,17,9,12,8,9,5,5,9,4,4,2,2,2,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
17,12,23,21,26,34,27,31,43,39,42,21,23,24,27,18,17,16,18,18,5,13,13,15,7,14,3,5,8,1,2,5,4,1,1,3,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
18,13,15,23,28,24,39,47,25,21,33,27,37,26,18,26,17,18,19,21,17,8,13,15,4,9,8,4,4,4,5,4,2,2,0,2,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
19,10,15,33,30,37,34,32,23,30,32,29,29,26,20,30,23,20,10,24,10,4,12,10,12,7,6,5,3,7,7,4,1,2,1,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0
20,13,21,27,28,32,34,27,47,30,26,36,25,20,19,14,21,19,21,20,16,19,11,5,5,5,5,6,3,3,3,3,6,3,3,1,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,15,29,32,29,25,33,29,40,27,20,30,23,26,28,25,22,18,15,12,12,12,7,11,8,6,11,4,7,4,2,4,6,3,1,2,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,7,26,29,34,25,27,31,41,25,30,34,20,34,27,24,14,18,19,14,9,9,11,6,9,14,9,8,7,2,4,1,2,2,3,2,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
23,11,17,27,31,32,44,31,29,33,27,28,20,29,24,30,9,19,26,14,19,12,6,11,10,4,3,6,7,5,6,1,3,1,1,1,2,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
24,11,15,27,37,34,38,32,37,30,27,26,28,24,18,27,20,21,16,14,12,11,11,10,8,12,5,7,2,3,3,3,2,4,2,0,2,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
25,7,24,26,30,37,35,34,37,26,27,29,22,22,22,20,20,23,21,17,12,16,7,12,5,7,9,4,7,3,4,5,2,2,3,2,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
26,12,25,29,26,29,44,31,30,35,32,21,17,25,28,21,22,19,14,14,13,18,13,10,4,12,3,6,6,3,3,6,2,4,1,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,13,19,27,26,36,30,39,42,30,38,30,26,22,15,26,17,20,15,13,11,13,9,10,11,8,5,6,4,5,3,5,2,1,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,17,17,27,39,33,26,42,34,21,20,32,28,20,24,25,26,17,14,14,13,17,7,7,6,12,9,4,6,6,5,4,3,3,0,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
29,8,19,29,23,34,32,31,40,28,35,23,20,29,25,30,14,20,17,11,17,9,8,15,14,10,3,11,4,7,2,6,1,1,2,0,0,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
30,4,24,32,24,36,36,28,29,29,27,26,26,19,37,26,20,10,19,19,20,14,16,6,9,6,5,7,3,4,4,4,6,1,1,2,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
31,15,15,32,36,37,33,31,33,25,32,23,30,24,27,19,16,17,19,19,19,9,10,8,9,8,6,8,7,3,1,3,1,1,1,1,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
32,7,21,30,25,31,28,34,29,40,27,37,33,26,23,22,19,21,18,8,13,15,10,13,3,11,4,6,3,8,3,2,5,3,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,9,29,35,32,24,28,34,34,35,45,23,26,19,16,24,18,20,19,10,17,14,8,9,7,5,11,9,6,2,3,1,4,0,0,1,1,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
34,8,28,33,30,28,34,29,23,34,34,30,21,20,30,19,30,19,15,9,16,14,10,13,11,10,5,3,3,4,3,2,4,1,2,1,2,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
35,8,26,25,34,27,34,31,31,35,25,24,27,27,31,25,16,15,16,20,11,21,8,14,7,3,8,7,7,2,1,6,2,0,2,4,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
36,13,24,21,34,27,27,36,32,29,36,28,30,33,22,22,14,16,19,11,15,14,17,11,11,3,5,9,6,2,3,3,0,1,2,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,14,21,27,31,27,31,31,38,26,32,31,34,22,22,25,22,20,16,17,10,12,9,11,7,7,5,7,3,3,3,6,4,2,0,1,1,0,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0
38,11,20,19,29,41,35,32,38,37,35,32,25,21,22,26,16,20,17,8,12,13,9,11,10,6,9,7,8,0,4,1,0,3,3,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
39,11,16,34,31,31,35,29,26,33,29,32,35,29,24,19,21,16,15,9,22,14,9,8,7,7,10,6,5,4,2,2,1,2,5,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
40,11,18,24,37,31,31,32,30,29,34,37,37,26,19,22,17,16,9,10,16,7,16,16,9,8,4,11,4,4,3,5,0,2,1,1,1,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
41,13,20,38,27,28,22,27,40,31,38,31,24,20,23,30,19,20,18,10,14,12,13,8,10,8,7,5,5,5,2,1,1,1,6,2,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
42,8,22,30,31,26,28,39,26,35,34,38,31,25,24,20,19,22,10,13,8,13,14,16,5,11,6,6,2,2,3,1,5,3,2,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,10,20,21,31,46,27,41,25,32,28,23,33,27,28,28,21,17,17,12,8,12,12,10,9,3,12,4,5,3,4,3,2,1,2,1,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0
44,15,20,36,34,25,28,30,32,35,33,25,34,25,19,21,18,18,18,17,16,16,7,4,8,5,7,2,6,7,6,3,1,5,2,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
45,9,21,33,25,35,30,40,36,23,23,28,29,27,17,25,27,22,22,19,8,16,10,7,9,7,6,6,4,4,3,4,2,0,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
46,13,15,28,36,30,41,31,25,22,31,35,18,25,28,32,14,24,16,15,20,8,12,8,3,9,7,11,0,5,4,6,2,2,1,2,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
47,12,24,21,26,35,27,40,34,32,30,23,27,21,16,19,22,19,26,22,15,17,6,13,8,12,4,3,4,3,6,1,4,1,3,0,2,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
