k1,k2,stat,lb,ub,pval
0,0,0.005109,0.004784,0.005557,0.41925
1,0,0.043681,0.004259,0.034328,0.999
2,0,0.009832,0.00663,0.035983,0.06525
2,1,0.006196,0.00349,0.030626,0.04975
3,0,0.002116,-0.003822,0.020767,0.15125
3,1,0.004044,-0.002303,0.017638,0.25325
3,2,0.003234,-0.001619,0.022418,0.1225
4,0,-0.002245,-0.004467,0.008416,0.098
4,1,0.00192,-0.003815,0.007053,0.53025
4,2,-0.002351,-0.004313,0.008552,0.0715
4,3,0.004611,-0.004995,0.009423,0.7685
5,0,0.006433,0.003428,0.033259,0.064
5,1,-0.008314,0.00344,0.030252,0.0
5,2,0.028883,0.006229,0.034979,0.8635
5,3,0.008008,-0.003922,0.021416,0.40525
5,4,-0.000219,-0.003938,0.009282,0.23025
6,0,0.009368,3.3e-05,0.024557,0.2925
6,1,-0.006034,7.6e-05,0.02045,0.00225
6,2,0.004953,0.003567,0.029158,0.03275
6,3,0.00486,-0.001941,0.023078,0.21525
6,4,0.000993,-0.005012,0.008862,0.3355
6,5,0.026332,0.000761,0.026817,0.96475
7,0,0.002289,-0.003256,0.005747,0.70725
7,1,-0.000772,-0.00301,0.004,0.16275
7,2,0.002671,-0.003414,0.005574,0.738
7,3,0.003532,-0.003594,0.008392,0.6925
7,4,-0.002145,-0.003469,0.004792,0.08375
7,5,0.003748,-0.003658,0.006261,0.83775
7,6,0.004212,-0.003327,0.007145,0.8125
8,0,0.002569,-0.007818,0.02314,0.25175
8,1,-0.004523,-0.004349,0.025977,0.02325
8,2,0.007461,-0.006491,0.020412,0.55525
8,3,0.000191,-0.007377,0.015457,0.2615
8,4,0.002648,-0.005683,0.007334,0.6945
8,5,0.019234,-0.006739,0.021204,0.95775
8,6,0.022757,-0.007333,0.015473,0.99875
8,7,0.001295,-0.004016,0.005035,0.5745
9,0,-0.012041,-0.007213,0.021175,0.0025
9,1,-0.013641,-0.005576,0.019766,0.0005
9,2,-0.009279,-0.005,0.021145,0.0045
9,3,-0.005483,-0.009141,0.016815,0.0915
9,4,-0.001296,-0.006433,0.00839,0.266
9,5,0.008737,-0.006886,0.020188,0.594
9,6,0.014696,-0.007,0.019029,0.9115
9,7,0.001453,-0.005381,0.006538,0.60075
9,8,0.051114,-0.011055,0.016659,1.0
10,0,0.009829,-0.006634,0.025226,0.4735
10,1,0.005886,-0.003229,0.026391,0.239
10,2,0.008443,-0.004368,0.025069,0.37075
10,3,-0.007584,-0.007678,0.020085,0.028
10,4,-0.001933,-0.006621,0.009153,0.17975
10,5,0.020291,-0.005258,0.025117,0.90375
10,6,0.031638,-0.005304,0.021671,0.9995
10,7,0.002292,-0.004968,0.006943,0.65475
10,8,0.072281,-0.009032,0.022381,1.0
10,9,0.052054,-0.010533,0.01938,1.0
11,0,-0.01012,-0.004344,0.012584,0.00075
11,1,0.000246,-0.003118,0.010759,0.15575
11,2,0.006013,-0.00276,0.01391,0.54925
11,3,0.002126,-0.006418,0.012599,0.438
11,4,0.003614,-0.004695,0.007244,0.79575
11,5,-0.001334,-0.003844,0.01361,0.08575
11,6,-0.004436,-0.004109,0.01392,0.019
11,7,-0.000819,-0.004182,0.006334,0.249
11,8,-0.0041,-0.006658,0.009989,0.093
11,9,0.00022,-0.0066,0.012837,0.29325
11,10,-0.005127,-0.006696,0.01288,0.057
12,0,-0.008579,-0.003912,0.010656,0.00175
12,1,-0.004486,-0.003668,0.007952,0.0135
12,2,1.1e-05,-0.002332,0.011731,0.12525
12,3,-0.005348,-0.005902,0.010396,0.0295
12,4,-0.004745,-0.00408,0.006398,0.01175
12,5,-0.003949,-0.004038,0.011022,0.0245
12,6,-0.000515,-0.004123,0.01077,0.143
12,7,-0.002721,-0.004017,0.005527,0.0665
12,8,-0.003431,-0.005406,0.008318,0.101
12,9,0.007548,-0.006064,0.010612,0.897
12,10,-0.005622,-0.006358,0.010317,0.03625
12,11,0.018278,-0.004395,0.008723,1.0
13,0,-0.009333,-0.003723,0.007043,0.0005
13,1,-0.007264,-0.003013,0.005893,0.00125
13,2,-0.00399,-0.002808,0.007663,0.01025
13,3,-0.005269,-0.005187,0.006874,0.0185
13,4,-0.002156,-0.003383,0.004563,0.0925
13,5,-0.003683,-0.003642,0.007525,0.0245
13,6,-0.000617,-0.004135,0.007319,0.20575
13,7,-0.002098,-0.003041,0.004294,0.08275
13,8,-0.002512,-0.004909,0.005754,0.11725
13,9,0.004018,-0.004959,0.007568,0.81725
13,10,-0.004564,-0.005292,0.007659,0.044
13,11,0.005816,-0.003438,0.006775,0.95125
13,12,0.020557,-0.003559,0.005519,1.0
14,0,-0.016941,-0.01177,0.029626,0.00425
14,1,-0.008561,-0.010508,0.025254,0.034
14,2,-0.001714,-0.007925,0.033445,0.10275
14,3,-0.003938,-0.015679,0.024547,0.1845
14,4,-0.0036,-0.009576,0.012201,0.17
14,5,0.003041,-0.01175,0.02962,0.278
14,6,0.037622,-0.012916,0.026864,0.996
14,7,-0.001499,-0.0078,0.009513,0.2555
14,8,0.013561,-0.016003,0.022443,0.85925
14,9,0.006119,-0.016322,0.02452,0.608
14,10,0.017852,-0.016372,0.02779,0.87325
14,11,-0.006732,-0.010428,0.018365,0.09125
14,12,-0.008566,-0.009783,0.014033,0.034
14,13,-0.002906,-0.007663,0.010803,0.17
15,0,-0.004916,-0.008043,0.011479,0.07875
15,1,0.00287,-0.007129,0.010309,0.69625
15,2,0.001236,-0.007486,0.011604,0.476
15,3,0.010007,-0.009415,0.01176,0.94375
15,4,-0.000691,-0.007107,0.008075,0.418
15,5,-0.003309,-0.009305,0.010843,0.142
15,6,-0.00233,-0.008526,0.011531,0.21825
15,7,0.004828,-0.006784,0.007355,0.911
15,8,-0.004254,-0.009624,0.010567,0.16525
15,9,-0.001143,-0.008989,0.013807,0.36025
15,10,0.004138,-0.011761,0.012089,0.73925
15,11,-0.000748,-0.008687,0.010087,0.366
15,12,-0.003278,-0.007367,0.009181,0.15725
15,13,-0.00711,-0.005567,0.007557,0.00475
15,14,0.006079,-0.007606,0.012895,0.812
16,0,-0.006504,-0.009709,0.015403,0.075
16,1,-0.006035,-0.008739,0.012536,0.0555
16,2,0.000317,-0.009408,0.014416,0.34475
16,3,-0.002729,-0.010539,0.016067,0.286
16,4,-0.002308,-0.007937,0.009613,0.273
16,5,0.003141,-0.009317,0.016302,0.55475
16,6,0.001893,-0.010062,0.014882,0.48975
16,7,0.003352,-0.007477,0.008832,0.781
16,8,0.00616,-0.012226,0.012419,0.8055
16,9,-0.003189,-0.012502,0.014753,0.25725
16,10,-0.00669,-0.012756,0.015727,0.121
16,11,0.008756,-0.009362,0.013118,0.8895
16,12,0.011762,-0.008073,0.011224,0.97325
16,13,0.003004,-0.006076,0.009088,0.74425
16,14,-0.001427,-0.009686,0.015691,0.263
16,15,0.001418,-0.008041,0.009353,0.5385
17,0,-0.004635,-0.009497,0.009896,0.1065
17,1,-0.001595,-0.006548,0.009046,0.1915
17,2,0.001538,-0.00837,0.009639,0.6375
17,3,-0.004814,-0.009626,0.012118,0.1195
17,4,-0.00321,-0.006632,0.00876,0.1475
17,5,0.001754,-0.009247,0.010913,0.59725
17,6,0.004468,-0.008869,0.011159,0.7945
17,7,0.003526,-0.00505,0.009192,0.7835
17,8,0.002943,-0.008716,0.010462,0.6195
17,9,0.001419,-0.011981,0.011532,0.5745
17,10,-0.001579,-0.011176,0.012306,0.316
17,11,0.006867,-0.008582,0.011378,0.89
17,12,0.005278,-0.0077,0.00961,0.8705
17,13,0.001913,-0.005874,0.007687,0.73025
17,14,0.006461,-0.0096,0.0109,0.89225
17,15,0.001869,-0.008612,0.007625,0.741
17,16,0.013221,-0.008804,0.010363,0.9895
18,0,-0.01238,-0.004765,0.012678,0.0
18,1,-0.008658,-0.004471,0.010556,0.0015
18,2,-0.003514,-0.003735,0.013123,0.0295
18,3,-0.010725,-0.007134,0.010985,0.00175
18,4,-0.002482,-0.004661,0.00641,0.121
18,5,-0.010663,-0.005142,0.013197,0.0005
18,6,-0.006988,-0.004991,0.012413,0.00775
18,7,-0.004952,-0.004631,0.005217,0.01375
18,8,-0.00422,-0.008291,0.00939,0.1165
18,9,0.000379,-0.007976,0.011458,0.35225
18,10,-0.012818,-0.007252,0.012909,0.00125
18,11,0.004445,-0.004455,0.009786,0.72825
18,12,0.01065,-0.004236,0.008255,0.99675
18,13,0.01327,-0.003422,0.006123,1.0
18,14,0.000281,-0.010808,0.016985,0.4025
18,15,-0.00685,-0.007258,0.010829,0.0285
18,16,0.002645,-0.008444,0.012669,0.63
18,17,0.000755,-0.009492,0.009068,0.6015
19,0,-0.003211,-0.004032,0.00889,0.04525
19,1,-0.009203,-0.003625,0.006591,0.0
19,2,-0.002816,-0.00319,0.009164,0.0335
19,3,-0.000158,-0.005186,0.00953,0.28775
19,4,-0.002204,-0.00396,0.005778,0.10725
19,5,-0.008594,-0.003758,0.009448,0.00125
19,6,-0.003753,-0.003684,0.010119,0.0265
19,7,-0.001728,-0.003507,0.005431,0.12975
19,8,-0.001761,-0.005426,0.007005,0.1885
19,9,-0.001106,-0.006039,0.008774,0.25325
19,10,-0.00715,-0.006365,0.009075,0.01275
19,11,0.007207,-0.00461,0.007665,0.95975
19,12,0.009164,-0.004018,0.007073,0.99425
19,13,0.00906,-0.003265,0.005127,0.99925
19,14,0.001966,-0.010295,0.012036,0.537
19,15,-0.001695,-0.006871,0.008985,0.29925
19,16,0.001712,-0.008139,0.010203,0.605
19,17,0.007659,-0.006753,0.009565,0.94075
19,18,0.027141,-0.004902,0.006705,1.0
20,0,0.004542,-0.001093,0.024895,0.13125
20,1,-0.011325,-0.002712,0.018856,0.00025
20,2,0.01346,0.002726,0.027262,0.41325
20,3,0.003702,-0.005882,0.018953,0.31475
20,4,-0.00381,-0.005706,0.008846,0.05825
20,5,-0.001932,-0.000926,0.025484,0.0145
20,6,0.003966,-0.000931,0.024104,0.1115
20,7,-0.003752,-0.004742,0.006866,0.05
20,8,-0.008309,-0.008709,0.014971,0.028
20,9,-0.013406,-0.006769,0.019447,0.00275
20,10,-0.003367,-0.007356,0.021155,0.079
20,11,-0.005417,-0.004752,0.013907,0.017
20,12,-0.00339,-0.003794,0.012287,0.03725
20,13,-0.002678,-0.003751,0.007901,0.0525
20,14,0.00273,-0.013541,0.026258,0.34225
